model,R2,RMSE,MAE,MASE,WAPE,Correlation
RF,-0.0673,51.5449,34.0825,1.0238,1.0278,0.402
XGB,0.0027,51.2321,33.0796,0.9683,0.9639,0.372
LightGBM,-0.0138,51.368,33.2505,0.9784,0.9782,0.3842
SARIMAX,-0.0392,52.3886,35.2255,1.0377,1.0473,0.3793
Ensemble_unweighted,0.0116,50.9644,33.177,0.9752,0.9774,0.3962
Ensemble_MASEweighted,0.0113,50.9635,33.1681,0.9749,0.9769,0.396
TFT,-0.2276,54.4797,33.4298,1.0139,1.0201,0.3148
TabPFN,-0.0058,54.189,30.4589,0.8621,0.8595,0.3908
