bin,n,R2,MAE,MASE,model,alpha,anchor_year
8-30,21,-1.103,18.281,1.4464,RF,1.0,2020
31-90,37,-0.096,31.407,1.1887,RF,1.0,2020
91-180,42,0.039,16.492,0.9756,RF,1.0,2020
181-270,79,0.112,49.943,0.9796,RF,1.0,2020
271-365,80,0.232,35.142,0.8962,RF,1.0,2020
1-7,4,-4.321,15.885,1.4114,RF,0.5,2020
8-30,21,-0.581,12.849,1.0166,RF,0.5,2020
31-90,37,-0.161,29.529,1.1176,RF,0.5,2020
91-180,42,-0.187,18.596,1.1001,RF,0.5,2020
181-270,79,0.143,46.065,0.9035,RF,0.5,2020
271-365,80,0.157,35.935,0.9164,RF,0.5,2020
1-7,4,-3.111,14.24,1.2653,RF,0.0,2020
8-30,21,-0.781,14.569,1.1528,RF,0.0,2020
31-90,37,-0.174,29.172,1.1041,RF,0.0,2020
91-180,42,-0.467,20.953,1.2395,RF,0.0,2020
181-270,79,0.151,44.246,0.8678,RF,0.0,2020
271-365,80,0.158,36.088,0.9203,RF,0.0,2020
1-7,4,-6.158,18.534,1.6468,XGB,1.0,2020
8-30,21,-0.431,13.287,1.0513,XGB,1.0,2020
31-90,37,-0.121,30.907,1.1697,XGB,1.0,2020
91-180,42,-0.005,16.443,0.9728,XGB,1.0,2020
181-270,79,0.097,48.07,0.9428,XGB,1.0,2020
271-365,80,0.143,39.833,1.0158,XGB,1.0,2020
1-7,4,-4.121,16.173,1.437,XGB,0.5,2020
8-30,21,-0.321,11.727,0.9279,XGB,0.5,2020
31-90,37,-0.152,28.833,1.0913,XGB,0.5,2020
91-180,42,-0.217,18.873,1.1165,XGB,0.5,2020
181-270,79,0.107,46.489,0.9118,XGB,0.5,2020
271-365,80,0.111,38.23,0.975,XGB,0.5,2020
1-7,4,-1.569,11.427,1.0153,XGB,0.0,2020
8-30,21,-0.437,12.878,1.0189,XGB,0.0,2020
31-90,37,-0.135,27.893,1.0557,XGB,0.0,2020
91-180,42,-0.562,21.705,1.284,XGB,0.0,2020
181-270,79,0.115,44.623,0.8752,XGB,0.0,2020
271-365,80,0.108,37.694,0.9613,XGB,0.0,2020
1-7,4,-5.556,17.701,1.5727,LightGBM,1.0,2020
8-30,21,-0.603,14.546,1.1509,LightGBM,1.0,2020
31-90,37,-0.116,31.577,1.1951,LightGBM,1.0,2020
91-180,42,0.032,16.448,0.973,LightGBM,1.0,2020
181-270,79,0.105,48.826,0.9577,LightGBM,1.0,2020
271-365,80,0.145,39.23,1.0004,LightGBM,1.0,2020
1-7,4,-4.513,16.52,1.4678,LightGBM,0.5,2020
8-30,21,-0.406,12.624,0.9988,LightGBM,0.5,2020
31-90,37,-0.154,29.563,1.1189,LightGBM,0.5,2020
91-180,42,-0.306,19.34,1.1441,LightGBM,0.5,2020
181-270,79,0.112,46.625,0.9145,LightGBM,0.5,2020
271-365,80,0.108,37.596,0.9588,LightGBM,0.5,2020
1-7,4,-1.8,11.927,1.0597,LightGBM,0.0,2020
8-30,21,-0.49,13.754,1.0882,LightGBM,0.0,2020
31-90,37,-0.122,28.177,1.0664,LightGBM,0.0,2020
