track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded
A,1,4,DLinear,145.975,76.807,-0.134,2.895,1160,-0.029,-0.045,1.6155,1.4858,1.5129,7.6514,81
A,6,4,DLinear,139.97,86.092,-0.424,5.346,1166,0.068,-0.174,1.8012,1.3115,1.5499,8.1091,68
A,12,4,DLinear,142.019,85.567,-0.465,8.045,1165,-0.111,-0.191,1.7905,1.3652,1.5463,7.7107,68
A,24,4,DLinear,155.255,102.078,-0.75,21.723,1165,-0.071,-0.302,2.1361,1.5758,1.5894,10.4363,68
A,48,4,DLinear,140.766,86.4,-0.437,12.805,1163,0.037,-0.18,1.8067,1.2695,1.5371,8.4388,68
A,1,9,DLinear,154.237,78.56,-0.043,-3.725,984,-0.025,-0.031,1.4024,1.3996,1.4311,5.9971,54
A,6,9,DLinear,152.599,87.604,-0.217,-4.839,980,0.112,-0.116,1.5417,1.1954,1.4822,7.3607,55
A,12,9,DLinear,148.143,80.534,-0.147,-14.331,980,0.154,-0.083,1.4173,1.0062,1.4832,6.6021,55
A,24,9,DLinear,152.12,93.375,-0.209,-0.263,980,0.109,-0.112,1.6433,1.2966,1.5041,9.324,55
A,48,9,DLinear,149.046,83.04,-0.161,-2.898,980,0.115,-0.09,1.4614,1.1247,1.4717,6.8779,55
A,1,2,DLinear,133.0,87.789,-1.508,-42.984,485,0.119,-0.656,2.3616,2.5023,1.7221,8.7415,31
A,6,2,DLinear,196.587,99.882,-0.379,2.686,498,-0.083,-0.175,2.4175,1.9111,1.5161,12.516,28
A,12,2,DLinear,205.04,101.913,-0.503,-4.098,499,-0.028,-0.227,2.4715,1.7576,1.545,12.9493,29
A,24,2,DLinear,192.279,98.855,-0.321,-9.701,499,0.135,-0.149,2.3978,1.7791,1.5826,12.564,30
A,48,2,DLinear,197.948,106.942,-0.397,-43.824,498,0.151,-0.182,2.5937,1.9241,1.6328,13.4574,30
B,1,4,DLinear,53.087,34.291,0.404,1.097,566,-0.049,0.246,0.8978,1.1381,1.2006,3.1364,29
B,3,4,DLinear,56.694,36.708,0.323,5.046,564,0.073,0.196,0.9584,1.0153,1.1936,3.2943,29
B,7,4,DLinear,59.826,38.434,0.25,2.826,560,0.168,0.154,0.9985,0.9138,1.208,3.2829,29
B,14,4,DLinear,62.255,41.52,0.196,8.696,554,0.243,0.124,1.0723,0.8765,1.2415,3.5517,29
B,1,9,DLinear,54.115,33.317,0.321,-4.51,457,-0.007,0.139,0.8123,1.0683,1.1618,2.3533,25
B,3,9,DLinear,55.045,33.946,0.297,-0.048,457,0.088,0.125,0.8276,0.9341,1.1379,2.5131,25
