track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded
B,7,9,DLinear,57.152,34.79,0.248,-3.076,453,0.153,0.094,0.8448,0.8614,1.1419,2.7894,25
B,14,9,DLinear,59.611,39.506,0.189,7.039,447,0.03,0.061,0.9489,0.9859,1.1395,3.5028,25
B,1,2,DLinear,50.292,33.892,-0.197,4.127,246,-0.111,-0.039,1.1586,1.3948,1.2681,3.2235,15
B,3,2,DLinear,57.277,39.245,-0.542,19.356,244,-0.168,-0.181,1.3347,1.5122,1.1907,4.5129,15
B,7,2,DLinear,50.406,35.03,-0.417,11.104,240,-0.125,-0.108,1.2448,1.348,1.2023,4.2929,15
B,14,2,DLinear,77.876,59.187,-2.434,-33.739,233,-0.752,-0.702,2.1883,2.2036,1.6783,4.8322,15
A,1,4,LSTM,138.694,67.307,-0.024,10.373,1160,0.022,0.007,1.4157,1.3021,1.4795,6.0063,81
A,6,4,LSTM,141.335,67.269,-0.452,4.445,1166,0.059,-0.186,1.4074,1.0248,1.441,4.9486,68
A,12,4,LSTM,140.71,71.811,-0.438,9.334,1165,-0.1,-0.18,1.5027,1.1458,1.4685,6.2555,68
A,24,4,LSTM,138.46,70.868,-0.392,8.058,1165,0.045,-0.161,1.483,1.094,1.466,5.9152,68
A,48,4,LSTM,139.357,71.091,-0.408,8.234,1163,0.046,-0.168,1.4865,1.0446,1.464,5.9618,68
A,1,9,LSTM,166.188,79.519,-0.211,12.958,984,-0.104,-0.111,1.4195,1.4166,1.4032,4.6684,54
A,6,9,LSTM,154.898,73.103,-0.253,3.496,980,0.098,-0.133,1.2865,0.9975,1.4089,5.6301,55
A,12,9,LSTM,147.33,70.785,-0.134,-2.573,980,0.158,-0.077,1.2457,0.8843,1.408,4.8023,55
A,24,9,LSTM,147.916,69.657,-0.143,-3.426,980,0.134,-0.082,1.2259,0.9672,1.4024,4.7735,55
A,48,9,LSTM,147.537,69.618,-0.137,-3.484,980,0.124,-0.079,1.2252,0.9429,1.4056,5.0178,55
A,1,2,LSTM,95.299,51.324,-0.288,-22.616,485,0.369,-0.187,1.3807,1.4629,1.5725,3.8753,31
A,6,2,LSTM,171.884,47.841,-0.054,-10.263,498,0.053,-0.028,1.1579,0.9154,1.3024,3.4767,28
A,12,2,LSTM,172.499,49.392,-0.064,-6.403,499,0.135,-0.032,1.1978,0.8518,1.3292,3.8214,29
A,24,2,LSTM,175.543,50.599,-0.101,-5.192,499,0.211,-0.049,1.2273,0.9106,1.3313,3.9581,30
A,48,2,LSTM,176.237,50.826,-0.108,-5.11,498,0.244,-0.052,1.2327,0.9145,1.3345,3.9853,30
B,1,4,LSTM,77.686,47.014,-0.276,13.882,566,-0.536,-0.104,1.2309,1.5603,1.2088,3.7525,29
B,3,4,LSTM,73.958,43.673,-0.153,12.432,564,-0.21,-0.049,1.1402,1.208,1.2361,3.77,29
B,7,4,LSTM,64.235,38.665,0.135,4.973,560,0.107,0.092,1.0045,0.9193,1.1866,2.7742,29
B,14,4,LSTM,61.504,37.2,0.215,3.579,554,0.252,0.135,0.9608,0.7853,1.1613,2.9536,29
B,1,9,LSTM,70.182,43.552,-0.142,-4.473,457,-0.305,-0.116,1.0618,1.3965,1.3275,2.7225,25
B,3,9,LSTM,70.459,44.602,-0.151,-2.859,457,-0.168,-0.121,1.0874,1.2272,1.3643,3.1216,25
B,7,9,LSTM,67.466,40.223,-0.048,-9.212,453,0.001,-0.069,0.9767,0.9959,1.349,2.5922,25
B,14,9,LSTM,68.247,42.01,-0.062,-8.434,447,-0.11,-0.075,1.0091,1.0483,1.3491,2.7994,25
B,1,2,LSTM,49.404,31.495,-0.155,-3.495,246,-0.091,-0.021,1.0766,1.2961,1.2905,2.7128,15
B,3,2,LSTM,48.961,31.607,-0.127,-3.841,244,0.002,-0.01,1.0749,1.2179,1.333,2.8503,15
B,7,2,LSTM,44.796,30.037,-0.119,-5.058,240,0.0,0.015,1.0673,1.1559,1.3489,2.6624,15
B,14,2,LSTM,44.311,29.1,-0.112,-4.197,233,0.003,0.031,1.0759,1.0835,1.3438,2.6023,15
A,1,4,LSTM_VSN,167.496,79.21,-0.493,19.861,1160,-0.181,-0.199,1.6661,1.5323,1.4709,7.5062,81
A,6,4,LSTM_VSN,129.065,60.719,-0.211,-1.791,1166,0.141,-0.083,1.2703,0.925,1.4157,4.5138,68
A,12,4,LSTM_VSN,138.126,67.369,-0.385,4.117,1165,-0.08,-0.159,1.4098,1.0749,1.4568,5.4198,68
A,24,4,LSTM_VSN,139.278,66.536,-0.409,2.678,1165,0.039,-0.168,1.3923,1.0271,1.4539,5.6799,68
A,48,4,LSTM_VSN,142.728,67.154,-0.477,3.02,1163,0.023,-0.196,1.4042,0.9867,1.4587,5.6773,68
A,1,9,LSTM_VSN,166.022,74.254,-0.209,11.482,984,-0.103,-0.11,1.3255,1.3228,1.3818,4.3522,54
A,6,9,LSTM_VSN,149.759,67.44,-0.172,-7.406,980,0.128,-0.095,1.1868,0.9202,1.4263,4.2617,55
A,12,9,LSTM_VSN,148.857,68.831,-0.158,-6.232,980,0.149,-0.089,1.2113,0.8599,1.4303,4.4654,55
A,24,9,LSTM_VSN,155.989,70.554,-0.271,-4.908,980,0.087,-0.141,1.2416,0.9797,1.4399,5.1829,55
A,48,9,LSTM_VSN,155.883,70.41,-0.269,-4.881,980,0.074,-0.14,1.2391,0.9537,1.4379,5.1771,55
A,1,2,LSTM_VSN,93.981,50.532,-0.252,-10.955,485,0.378,-0.17,1.3594,1.4403,1.4673,4.8968,31
A,6,2,LSTM_VSN,175.001,49.448,-0.093,-11.288,498,0.036,-0.046,1.1968,0.9461,1.3466,3.7293,28
A,12,2,LSTM_VSN,176.871,50.634,-0.118,-9.242,499,0.113,-0.059,1.2279,0.8732,1.3327,3.9807,29
A,24,2,LSTM_VSN,178.831,51.029,-0.143,-9.742,499,0.196,-0.069,1.2378,0.9184,1.3368,3.9168,30
A,48,2,LSTM_VSN,179.629,51.487,-0.151,-9.526,498,0.229,-0.072,1.2487,0.9264,1.3375,3.9271,30
B,1,4,LSTM_VSN,81.236,44.122,-0.395,-2.981,566,-0.606,-0.154,1.1552,1.4643,1.2486,2.6995,29
B,3,4,LSTM_VSN,71.628,42.457,-0.081,-1.221,564,-0.172,-0.016,1.1085,1.1744,1.2889,2.7344,29
B,7,4,LSTM_VSN,76.002,45.326,-0.211,2.901,560,-0.057,-0.075,1.1775,1.0777,1.2877,3.0197,29
B,14,4,LSTM_VSN,68.564,44.309,0.025,4.737,554,0.167,0.036,1.1444,0.9353,1.3042,3.1246,29
B,1,9,LSTM_VSN,69.071,43.02,-0.106,-12.668,457,-0.285,-0.099,1.0488,1.3794,1.4243,2.6856,25
B,3,9,LSTM_VSN,69.416,40.291,-0.118,-10.131,457,-0.15,-0.104,0.9823,1.1086,1.3342,2.3342,25
B,7,9,LSTM_VSN,69.139,39.987,-0.101,-9.756,453,-0.024,-0.096,0.971,0.99,1.296,2.2841,25
B,14,9,LSTM_VSN,70.296,42.809,-0.127,-2.952,447,-0.144,-0.107,1.0283,1.0683,1.2937,2.7598,25
B,1,2,LSTM_VSN,51.991,35.557,-0.28,-2.617,246,-0.149,-0.074,1.2155,1.4633,1.3692,3.2774,15
B,3,2,LSTM_VSN,52.952,34.618,-0.318,-12.268,244,-0.08,-0.092,1.1773,1.3339,1.4982,2.5749,15
B,7,2,LSTM_VSN,49.68,33.474,-0.377,-13.771,240,-0.109,-0.092,1.1895,1.2881,1.5097,2.4104,15
B,14,2,LSTM_VSN,48.791,32.117,-0.348,-12.683,233,-0.098,-0.067,1.1874,1.1958,1.4809,2.3218,15
