date,TabPFN,TabICLv2,y_true,y_gapfilled,persistence,tower,anchor_year,variant
2018-12-17,12.473426818847656,26.794544,18.70908835605556,20.960429166666668,54.91721666666666,2,2018,A_removal
2018-12-18,12.844021797180176,32.581406,35.149889121928574,32.9244375,54.91721666666666,2,2018,A_removal
2018-12-19,10.135108947753906,15.6039715,20.564511855705884,21.9152625,54.91721666666666,2,2018,A_removal
2018-12-20,8.775219917297363,16.139753,21.31585997685,59.83865,54.91721666666666,2,2018,A_removal
2018-12-21,1.489536166191101,6.9808025,8.646292532607143,10.355054166666667,54.91721666666666,2,2018,A_removal
2018-12-22,2.669188976287842,3.9403062,4.645622667038461,5.962599999999999,54.91721666666666,2,2018,A_removal
2018-12-23,1.0775822401046753,5.203001,,81.17115416666667,54.91721666666666,2,2018,A_removal
2018-12-24,1.4882378578186035,2.2713838,,11.309029166666669,54.91721666666666,2,2018,A_removal
2018-12-25,1.0659422874450684,3.3626447,23.430924851857142,21.3093375,54.91721666666666,2,2018,A_removal
2018-12-26,3.089106321334839,3.3888435,20.941292970611112,14.657541666666669,54.91721666666666,2,2018,A_removal
2018-12-27,3.132711887359619,0.7634878,26.19202691092857,21.390625,54.91721666666666,2,2018,A_removal
2018-12-28,4.006126880645752,1.5941858,29.94466230940909,30.324125,54.91721666666666,2,2018,A_removal
2018-12-29,2.0528671741485596,1.777679,1.0451481868888888,3.606079166666667,54.91721666666666,2,2018,A_removal
2018-12-30,2.299583673477173,0.95373344,,6.131912499999999,54.91721666666666,2,2018,A_removal
2018-12-31,1.7539974451065063,0.85765696,2.3515349025416667,3.102370833333333,54.91721666666666,2,2018,A_removal
2019-01-01,1.6865990161895752,3.6765642,-5.369030695966667,-2.6617875,54.91721666666666,2,2018,A_removal
2019-01-02,1.5688984394073486,2.5566773,1.6130913782857144,6.143154166666666,54.91721666666666,2,2018,A_removal
2019-01-03,1.5285284519195557,1.8431497,25.9850464875,20.74059583333333,54.91721666666666,2,2018,A_removal
2019-01-04,1.1155133247375488,1.8958187,-4.380738653249999,4.5301125,54.91721666666666,2,2018,A_removal
2019-01-05,1.5505318641662598,2.5408874,2.7963399130416664,5.033554166666667,54.91721666666666,2,2018,A_removal
2019-01-06,1.1288522481918335,3.1537833,3.1412098474545456,3.1575166666666665,54.91721666666666,2,2018,A_removal
2019-01-07,2.1302013397216797,3.751021,4.396572144333333,6.2659125,54.91721666666666,2,2018,A_removal
2019-01-08,2.280125856399536,3.7512894,3.1346549570769238,3.106208333333333,54.91721666666666,2,2018,A_removal
2019-01-09,3.0870156288146973,3.3882084,16.851149742666667,11.953895833333334,54.91721666666666,2,2018,A_removal
2019-01-10,2.5624043941497803,2.639339,7.1774120194375,6.562220833333334,54.91721666666666,2,2018,A_removal
2019-01-11,4.545018196105957,4.3056517,-0.4730029913333335,1.5214875,54.91721666666666,2,2018,A_removal
2019-01-12,4.4738874435424805,4.825558,5.846134107666667,5.821558333333333,54.91721666666666,2,2018,A_removal
2019-01-13,5.333310127258301,6.059572,6.104765118727273,6.952233333333333,54.91721666666666,2,2018,A_removal
2019-01-14,2.8206801414489746,5.7224503,2.1329866241785718,2.909558333333333,54.91721666666666,2,2018,A_removal
2019-01-15,3.547494888305664,7.2430553,2.2440845584,3.629925,54.91721666666666,2,2018,A_removal
2019-01-16,2.6316583156585693,6.8899765,7.618485403499999,7.1197875,54.91721666666666,2,2018,A_removal
2019-01-17,2.6613643169403076,4.4431605,7.6029276680625,8.611983333333333,54.91721666666666,2,2018,A_removal
2019-01-18,1.617479920387268,4.515859,47.92393224357142,28.46534583333333,54.91721666666666,2,2018,A_removal
2019-01-19,2.385704755783081,5.289668,24.86850198355556,17.846983333333334,54.91721666666666,2,2018,A_removal
2019-01-20,1.9305834770202637,4.634726,17.4627153565625,13.149675,54.91721666666666,2,2018,A_removal
2019-01-21,1.4431686401367188,3.788237,-12.724279198928574,-4.2037125,54.91721666666666,2,2018,A_removal
2019-01-22,1.0829039812088013,3.9420538,4.337085952833333,6.4629625,54.91721666666666,2,2018,A_removal
2019-01-23,2.3929288387298584,4.6844354,1.5778612148928572,3.477591666666666,54.91721666666666,2,2018,A_removal
2019-01-24,2.1299872398376465,4.616579,,13.412779166666668,54.91721666666666,2,2018,A_removal
2019-01-25,3.1469433307647705,6.839595,4.680099354454547,5.937991666666666,54.91721666666666,2,2018,A_removal
2019-01-26,1.4962083101272583,5.528462,-0.1596002495,8.154216666666667,54.91721666666666,2,2018,A_removal
2019-01-27,2.0200510025024414,3.4430194,5.2462252687,14.440466666666666,54.91721666666666,2,2018,A_removal
2019-01-28,1.7105634212493896,3.6099763,2.2563893023,5.128345833333333,54.91721666666666,2,2018,A_removal
2019-01-29,1.0144513845443726,3.3156238,10.0498731726875,9.319275,54.91721666666666,2,2018,A_removal
2019-01-30,0.6615297198295593,2.595923,15.474247531375,13.059829166666669,54.91721666666666,2,2018,A_removal
2019-01-31,1.3362888097763062,2.7472095,0.4904963130500012,6.3016125,54.91721666666666,2,2018,A_removal
2019-02-01,0.8305580615997314,2.5212874,8.4084680965,7.477216666666667,54.91721666666666,2,2018,A_removal
2019-02-02,1.6984893083572388,3.6614518,2.5245367430714287,4.454875,54.91721666666666,2,2018,A_removal
2019-02-03,1.4075933694839478,3.8602152,37.99870940657692,30.64916666666667,54.91721666666666,2,2018,A_removal
2019-02-04,2.1418051719665527,5.226907,2.751413063416667,42.05817916666667,54.91721666666666,2,2018,A_removal
2019-02-05,2.9349257946014404,6.9977283,13.844363808277778,14.795058333333335,54.91721666666666,2,2018,A_removal
2019-02-06,4.406827449798584,6.0775895,4.802799604607143,9.7471375,54.91721666666666,2,2018,A_removal
2019-02-07,3.8531668186187744,4.6145916,8.550348829666666,81.27637916666667,54.91721666666666,2,2018,A_removal
2019-02-08,5.859750270843506,7.8991785,10.0407205624375,99.99124166666668,54.91721666666666,2,2018,A_removal
2019-02-09,6.065240859985352,6.250271,4.558041702222223,42.32086666666667,54.91721666666666,2,2018,A_removal
2019-02-10,5.1069512367248535,5.1111155,-13.936746767458336,6.174041666666668,54.91721666666666,2,2018,A_removal
2019-02-11,6.414945602416992,6.5837984,3.574882973166667,11.252024999999998,54.91721666666666,2,2018,A_removal
2019-02-12,8.194397926330566,9.812229,7.3720592872,11.42425,54.91721666666666,2,2018,A_removal
2019-02-13,7.720376968383789,9.43258,17.668619972,15.229354166666669,54.91721666666666,2,2018,A_removal
2019-02-14,6.897339344024658,9.42749,,9.924945833333334,54.91721666666666,2,2018,A_removal
2019-02-15,8.045940399169922,13.348668,,17.54305,54.91721666666666,2,2018,A_removal
2019-02-16,6.388452529907227,13.428814,,20.577075,54.91721666666666,2,2018,A_removal
2019-02-17,5.414226531982422,9.836667,,26.980966666666664,54.91721666666666,2,2018,A_removal
2019-02-18,4.608125686645508,7.6254854,,19.49338333333333,54.91721666666666,2,2018,A_removal
2019-02-19,3.8623623847961426,7.785461,-8.054775097375,9.620433333333333,54.91721666666666,2,2018,A_removal
2019-02-20,4.879734516143799,8.144174,,28.917179166666667,54.91721666666666,2,2018,A_removal
2019-02-21,7.208892822265625,8.118147,14.482375459785716,24.851904166666667,54.91721666666666,2,2018,A_removal
2019-02-22,5.168872356414795,6.3585854,,18.7001375,54.91721666666666,2,2018,A_removal
2019-02-23,5.207494735717773,7.4414754,,20.1319375,54.91721666666666,2,2018,A_removal
2019-02-24,7.081734657287598,6.1546,16.341520738,19.9438875,54.91721666666666,2,2018,A_removal
2019-02-25,5.3969268798828125,5.3931866,34.227751317312496,28.408058333333333,54.91721666666666,2,2018,A_removal
2019-02-26,4.663997650146484,5.568088,,14.693295833333332,54.91721666666666,2,2018,A_removal
2019-02-27,4.424402236938477,5.6154757,,23.190841666666667,54.91721666666666,2,2018,A_removal
2019-02-28,2.4866693019866943,3.289559,,44.40732916666667,54.91721666666666,2,2018,A_removal
2019-03-01,3.3500258922576904,3.9000888,,18.09773333333333,54.91721666666666,2,2018,A_removal
2019-03-02,3.370302438735962,4.082573,,39.84482083333334,54.91721666666666,2,2018,A_removal
2019-03-03,3.375200033187866,3.4667258,,66.66335,54.91721666666666,2,2018,A_removal
2019-03-04,3.2169582843780518,2.820466,,23.234841666666668,54.91721666666666,2,2018,A_removal
2019-03-05,3.2369322776794434,3.2625623,,39.91052916666667,54.91721666666666,2,2018,A_removal
2019-03-06,4.1590681076049805,3.8723645,,36.213725,54.91721666666666,2,2018,A_removal
2019-03-07,3.731304407119751,3.328279,,27.88972083333333,54.91721666666666,2,2018,A_removal
2019-03-08,6.622974395751953,4.7332387,,26.92539583333333,54.91721666666666,2,2018,A_removal
2019-03-09,5.665317058563232,4.216932,,13.137116666666666,54.91721666666666,2,2018,A_removal
2019-03-10,5.716704368591309,3.9372978,,52.637575,54.91721666666666,2,2018,A_removal
2019-03-11,4.781114101409912,4.2367578,,13.2311125,54.91721666666666,2,2018,A_removal
2019-03-12,4.349830150604248,4.5168877,,89.4043125,54.91721666666666,2,2018,A_removal
2019-03-13,4.905865669250488,5.510169,,17.736741666666667,54.91721666666666,2,2018,A_removal
2019-03-14,4.779628276824951,5.28697,,53.478033333333336,54.91721666666666,2,2018,A_removal
2019-03-15,4.2841925621032715,6.501461,,85.62972916666666,54.91721666666666,2,2018,A_removal
2019-03-16,4.719694137573242,6.1218934,,40.35592916666666,54.91721666666666,2,2018,A_removal
2019-03-17,4.010701656341553,4.7473745,,8.507304166666666,54.91721666666666,2,2018,A_removal
2019-03-18,3.895904541015625,4.677724,,8.097033333333334,54.91721666666666,2,2018,A_removal
2019-03-19,4.705228805541992,6.190758,,12.7325125,54.91721666666666,2,2018,A_removal
2019-03-20,6.628283977508545,6.4343767,13.634843732,12.9369625,54.91721666666666,2,2018,A_removal
2019-03-21,6.515542030334473,5.84108,,16.528679166666667,54.91721666666666,2,2018,A_removal
2019-03-22,6.320496559143066,6.2607455,1.7614277388846156,5.266008333333333,54.91721666666666,2,2018,A_removal
2019-03-23,5.34502649307251,5.988687,21.583323005291664,16.152620833333334,54.91721666666666,2,2018,A_removal
2019-03-24,5.598829746246338,5.281037,13.3042925518,15.0424,54.91721666666666,2,2018,A_removal
2019-03-25,5.2451887130737305,5.212539,8.5653645699375,13.5013625,54.91721666666666,2,2018,A_removal
2019-03-26,5.265577793121338,5.5702195,-0.3992032035833331,4.749524999999999,54.91721666666666,2,2018,A_removal
2019-03-27,4.998022079467773,5.6305394,-19.56766726491667,3.706458333333334,54.91721666666666,2,2018,A_removal
2019-03-28,5.917886257171631,5.8273525,-26.284096359214285,0.2363583333333333,54.91721666666666,2,2018,A_removal
2019-03-29,5.327333450317383,6.1953,-22.02776036808333,0.6702375000000002,54.91721666666666,2,2018,A_removal
2019-03-30,4.833120346069336,5.795078,,7.1489375,54.91721666666666,2,2018,A_removal
2019-03-31,4.173585891723633,5.905533,-2.0187472686428576,4.924445833333333,54.91721666666666,2,2018,A_removal
2019-04-01,7.760160446166992,7.884783,0.5529197632142859,1.9180625,54.91721666666666,2,2018,A_removal
