model,R2,RMSE,MAE,MASE,WAPE,Correlation
DLinear,-6.1537,74.2227,53.6792,1.8664,2.0365,0.2427
LSTM,-0.4387,59.8251,37.2669,1.1057,1.1046,0.2278
