track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded
A,48,9,clim,138.811,65.52,-0.031,1.924,5848,0.206,0.0,1.2126,0.8793,1.4104,4.2192,325
A,48,9,RF,133.997,63.639,0.039,10.826,5848,0.233,0.035,1.1778,0.854,1.3336,3.9541,325
A,48,9,XGB,136.006,65.226,0.01,9.653,5848,0.222,0.02,1.2072,0.8753,1.3692,4.111,325
A,48,2,persist,134.197,45.629,-0.686,4.799,2880,0.0,-0.206,1.257,1.0,1.1965,4.44,178
A,48,2,clim,111.302,44.388,-0.16,4.344,2880,0.171,0.0,1.2228,0.9728,1.2363,4.0108,178
A,48,2,RF,102.009,35.535,0.026,-12.409,2880,0.24,0.083,0.9789,0.7788,1.2028,1.9992,178
A,48,2,XGB,108.428,44.123,-0.101,3.338,2880,0.192,0.026,1.2155,0.967,1.2582,3.7309,178
B,1,4,persist,51.418,30.285,0.44,2.462,567,0.0,0.26,0.7937,1.0,1.0558,2.3291,29
B,1,4,clim,69.466,40.622,-0.022,0.109,567,-0.351,0.0,1.0646,1.3413,1.1843,3.3462,29
B,1,4,RF,59.261,35.87,0.256,6.404,567,-0.153,0.147,0.94,1.1844,1.1252,2.5992,29
B,1,4,XGB,59.011,38.341,0.263,11.77,567,-0.148,0.151,1.0048,1.266,1.1734,3.2548,29
B,1,9,persist,57.512,32.145,0.231,1.467,458,0.0,0.103,0.7845,1.0,1.0626,1.9623,25
B,1,9,clim,64.099,41.771,0.045,2.897,458,-0.115,0.0,1.0195,1.2995,1.1425,3.3842,25
B,1,9,RF,54.722,34.223,0.304,6.191,458,0.049,0.146,0.8353,1.0647,1.105,2.7506,25
B,1,9,XGB,59.062,37.029,0.189,12.684,458,-0.027,0.079,0.9037,1.1519,1.1273,3.1466,25
B,1,2,persist,47.861,26.483,-0.088,5.635,247,0.0,0.127,0.909,1.0,0.9669,2.2533,16
B,1,2,clim,54.812,31.479,-0.426,8.375,247,-0.145,0.0,1.0804,1.1886,1.0476,3.3952,16
B,1,2,RF,46.124,25.605,-0.01,-10.331,247,0.036,0.159,0.8788,0.9668,1.1201,1.6478,16
B,1,2,XGB,47.648,28.605,-0.078,-1.319,247,0.004,0.131,0.9818,1.0801,1.0819,2.5804,16
B,3,4,persist,64.969,37.704,0.106,4.066,567,0.0,0.065,0.9881,1.0,1.185,3.0422,29
B,3,4,clim,69.466,40.622,-0.022,0.109,567,-0.069,0.0,1.0646,1.0774,1.1843,3.3462,29
B,3,4,RF,61.394,38.415,0.202,11.701,567,0.055,0.116,1.0067,1.0188,1.1484,2.9996,29
B,3,4,XGB,62.828,41.985,0.164,17.694,567,0.033,0.096,1.1003,1.1135,1.1801,3.7815,29
B,3,9,persist,72.868,40.14,-0.234,4.634,458,0.0,-0.137,0.9797,1.0,1.147,2.8174,25
B,3,9,clim,64.099,41.771,0.045,2.897,458,0.12,0.0,1.0195,1.0407,1.1425,3.3842,25
B,3,9,RF,58.611,36.674,0.202,6.398,458,0.196,0.086,0.8951,0.9137,1.1444,3.0375,25
B,3,9,XGB,64.164,40.619,0.043,11.069,458,0.119,-0.001,0.9914,1.0119,1.1206,3.532,25
B,3,2,persist,51.411,27.696,-0.255,6.309,247,0.0,0.062,0.9506,1.0,0.9889,2.0432,16
B,3,2,clim,54.812,31.479,-0.426,8.375,247,-0.066,0.0,1.0804,1.1366,1.0476,3.3952,16
B,3,2,RF,46.679,26.216,-0.035,-10.005,247,0.092,0.148,0.8998,0.9466,1.1342,1.7526,16
