bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
8-30,23,-0.188,10.093,7.658,1.0272,0.5653,-0.264,SARIMAX,2021,4,B_resample,0.8260869565217391
31-90,60,-0.161,14.02,8.83,0.9612,0.5324,0.006,SARIMAX,2021,4,B_resample,0.8333333333333334
91-180,90,0.158,65.365,41.609,0.6994,0.604,0.418,SARIMAX,2021,4,B_resample,1.0
181-270,90,0.271,70.632,50.461,0.8107,0.7465,0.545,SARIMAX,2021,4,B_resample,0.9777777777777777
271-365,95,0.391,25.627,18.577,0.8534,0.7276,0.708,SARIMAX,2021,4,B_resample,0.9578947368421052
1-7,7,-0.889,2.546,2.189,1.3669,0.2002,-0.225,Ensemble_unweighted,2021,4,B_resample,0.42857142857142855
8-30,23,-0.161,9.976,7.446,0.9988,0.5496,0.149,Ensemble_unweighted,2021,4,B_resample,0.8260869565217391
31-90,60,-0.218,14.36,9.124,0.9933,0.5502,-0.017,Ensemble_unweighted,2021,4,B_resample,0.8333333333333334
91-180,90,0.141,66.016,40.702,0.6841,0.5908,0.409,Ensemble_unweighted,2021,4,B_resample,1.0
181-270,90,0.237,72.222,52.547,0.8442,0.7774,0.523,Ensemble_unweighted,2021,4,B_resample,0.9777777777777777
271-365,95,0.398,25.481,18.386,0.8446,0.7201,0.693,Ensemble_unweighted,2021,4,B_resample,0.9578947368421052
1-7,7,-0.908,2.559,2.199,1.3735,0.2012,-0.196,Ensemble_MASEweighted,2021,4,B_resample,0.42857142857142855
8-30,23,-0.164,9.991,7.447,0.9989,0.5497,0.153,Ensemble_MASEweighted,2021,4,B_resample,0.8260869565217391
31-90,60,-0.223,14.39,9.148,0.9958,0.5516,-0.023,Ensemble_MASEweighted,2021,4,B_resample,0.8333333333333334
91-180,90,0.14,66.034,40.707,0.6842,0.5909,0.408,Ensemble_MASEweighted,2021,4,B_resample,1.0
181-270,90,0.237,72.24,52.565,0.8445,0.7776,0.523,Ensemble_MASEweighted,2021,4,B_resample,0.9777777777777777
271-365,95,0.397,25.494,18.399,0.8452,0.7207,0.692,Ensemble_MASEweighted,2021,4,B_resample,0.9578947368421052
