bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
181-270,0,,,,,,,DLinear,2021,2,A_removal
271-365,0,,,,,,,DLinear,2021,2,A_removal
1-7,0,,,,,,,LSTM,2021,2,A_removal
8-30,0,,,,,,,LSTM,2021,2,A_removal
31-90,0,,,,,,,LSTM,2021,2,A_removal
91-180,0,,,,,,,LSTM,2021,2,A_removal
181-270,0,,,,,,,LSTM,2021,2,A_removal
271-365,0,,,,,,,LSTM,2021,2,A_removal
1-7,3,-7.0,6.842,5.085,2.0488,0.5748,-0.979,TFT,2021,4,A_removal
8-30,19,-0.367,20.209,14.71,1.1574,0.9819,-0.272,TFT,2021,4,A_removal
31-90,50,-0.151,22.003,14.952,1.1515,0.8661,0.182,TFT,2021,4,A_removal
91-180,90,-0.04,101.367,64.466,0.9934,0.8833,0.229,TFT,2021,4,A_removal
181-270,88,0.056,98.103,69.84,1.0299,0.979,0.28,TFT,2021,4,A_removal
271-365,91,-0.578,41.051,27.686,1.329,1.2474,0.479,TFT,2021,4,A_removal
1-7,3,-8.961,7.635,6.973,2.8093,0.7882,-0.945,DLinear,2021,4,A_removal
8-30,19,-1.166,25.44,20.453,1.6093,1.3653,0.402,DLinear,2021,4,A_removal
31-90,50,-0.397,24.237,15.896,1.2242,0.9208,0.281,DLinear,2021,4,A_removal
91-180,90,0.133,92.537,64.656,0.9964,0.8859,0.37,DLinear,2021,4,A_removal
181-270,88,0.332,82.502,62.256,0.9181,0.8727,0.582,DLinear,2021,4,A_removal
271-365,91,-0.525,40.356,30.165,1.448,1.3591,0.374,DLinear,2021,4,A_removal
1-7,3,-13.791,9.303,8.362,3.3687,0.9452,-0.971,LSTM,2021,4,A_removal
8-30,19,-3.737,37.622,30.847,2.4272,2.0591,0.066,LSTM,2021,4,A_removal
31-90,50,-0.107,21.574,14.724,1.1339,0.8529,0.027,LSTM,2021,4,A_removal
91-180,90,-0.116,104.995,68.586,1.0569,0.9398,0.201,LSTM,2021,4,A_removal
181-270,88,0.251,87.384,62.149,0.9165,0.8712,0.528,LSTM,2021,4,A_removal
271-365,91,-6.484,89.406,51.921,2.4924,2.3393,0.384,LSTM,2021,4,A_removal
1-7,1,,,,,,,TFT,2021,9,A_removal
8-30,12,-0.252,20.511,16.28,0.6498,1.1852,0.112,TFT,2021,9,A_removal
31-90,35,-0.207,16.878,11.8,0.4906,1.1562,-0.125,TFT,2021,9,A_removal
91-180,85,0.214,90.492,57.298,0.741,0.6226,0.496,TFT,2021,9,A_removal
181-270,47,-0.31,71.232,58.801,1.2626,0.9116,0.203,TFT,2021,9,A_removal
271-365,0,,,,,,,TFT,2021,9,A_removal
1-7,1,,,,,,,DLinear,2021,9,A_removal
8-30,12,-0.181,19.925,13.857,0.5531,1.0088,0.433,DLinear,2021,9,A_removal
31-90,35,-0.215,16.931,10.886,0.4527,1.0667,-0.017,DLinear,2021,9,A_removal
91-180,85,0.248,88.542,55.996,0.7242,0.6084,0.519,DLinear,2021,9,A_removal
181-270,47,-0.029,63.129,47.002,1.0093,0.7287,0.147,DLinear,2021,9,A_removal
271-365,0,,,,,,,DLinear,2021,9,A_removal
1-7,1,,,,,,,LSTM,2021,9,A_removal
8-30,12,-1.874,31.079,19.726,0.7874,1.4361,-0.598,LSTM,2021,9,A_removal
31-90,35,-0.146,16.442,10.187,0.4236,0.9982,0.029,LSTM,2021,9,A_removal
91-180,85,-0.097,106.922,72.969,0.9437,0.7928,0.304,LSTM,2021,9,A_removal
181-270,47,-0.547,77.417,59.946,1.2872,0.9294,-0.051,LSTM,2021,9,A_removal
271-365,0,,,,,,,LSTM,2021,9,A_removal
1-7,0,,,,,,,TFT,2021,2,B_resample
8-30,0,,,,,,,TFT,2021,2,B_resample
31-90,0,,,,,,,TFT,2021,2,B_resample
91-180,0,,,,,,,TFT,2021,2,B_resample
181-270,0,,,,,,,TFT,2021,2,B_resample
271-365,0,,,,,,,TFT,2021,2,B_resample
1-7,0,,,,,,,DLinear,2021,2,B_resample
8-30,0,,,,,,,DLinear,2021,2,B_resample
31-90,0,,,,,,,DLinear,2021,2,B_resample
91-180,0,,,,,,,DLinear,2021,2,B_resample
181-270,0,,,,,,,DLinear,2021,2,B_resample
271-365,0,,,,,,,DLinear,2021,2,B_resample
1-7,0,,,,,,,LSTM,2021,2,B_resample
8-30,0,,,,,,,LSTM,2021,2,B_resample
31-90,0,,,,,,,LSTM,2021,2,B_resample
91-180,0,,,,,,,LSTM,2021,2,B_resample
181-270,0,,,,,,,LSTM,2021,2,B_resample
271-365,0,,,,,,,LSTM,2021,2,B_resample
1-7,3,-17.747,10.474,10.163,4.0944,1.1488,-0.094,TFT,2021,4,B_resample
8-30,19,-0.271,19.484,15.168,1.1934,1.0125,0.34,TFT,2021,4,B_resample
