bin,n,R2,MAE,MASE,model,anchor_year
8-30,21,-6.764,34.403,2.722,DLinear,2020
31-90,37,-0.102,29.886,1.1311,DLinear,2020
91-180,42,-3.153,34.823,2.0601,DLinear,2020
181-270,79,-0.095,61.688,1.2099,DLinear,2020
271-365,80,0.019,58.775,1.4989,DLinear,2020
1-7,4,-3.262,15.105,1.3421,LSTM,2020
8-30,21,-0.013,10.646,0.8423,LSTM,2020
31-90,37,-0.084,27.438,1.0385,LSTM,2020
91-180,42,-3.199,32.159,1.9025,LSTM,2020
181-270,79,0.002,52.856,1.0367,LSTM,2020
271-365,80,-0.032,49.24,1.2557,LSTM,2020
1-7,4,-2.229,11.255,1.0,Persistence,2020
8-30,21,-0.256,12.639,1.0,Persistence,2020
31-90,37,-0.021,26.422,1.0,Persistence,2020
91-180,42,-0.013,16.904,1.0,Persistence,2020
181-270,79,-0.224,50.985,1.0,Persistence,2020
271-365,80,-0.03,39.213,1.0,Persistence,2020
1-7,4,-2.444,11.985,1.0649,Climatology,2020
8-30,21,-1.064,17.626,1.3946,Climatology,2020
31-90,37,-0.129,26.629,1.0078,Climatology,2020
91-180,42,-1.759,28.738,1.7001,Climatology,2020
181-270,79,-0.063,49.542,0.9717,Climatology,2020
271-365,80,-0.054,41.371,1.055,Climatology,2020
1-7,3,-3.127,3.965,1.5974,RF,2021
8-30,19,-0.732,18.178,1.4303,RF,2021
31-90,50,-0.182,17.646,1.3589,RF,2021
91-180,90,0.209,52.998,0.8167,RF,2021
181-270,88,0.222,68.949,1.0168,RF,2021
271-365,91,-0.594,33.074,1.5877,RF,2021
1-7,3,-1.803,3.57,1.4383,XGB,2021
8-30,19,-0.17,15.013,1.1813,XGB,2021
31-90,50,-0.098,15.677,1.2073,XGB,2021
91-180,90,0.137,58.427,0.9004,XGB,2021
181-270,88,0.322,65.564,0.9669,XGB,2021
271-365,91,-0.514,31.416,1.508,XGB,2021
1-7,3,-0.606,2.728,1.0991,LightGBM,2021
8-30,19,-0.214,14.677,1.1549,LightGBM,2021
31-90,50,-0.056,14.612,1.1253,LightGBM,2021
91-180,90,0.193,55.597,0.8568,LightGBM,2021
181-270,88,0.335,65.155,0.9608,LightGBM,2021
271-365,91,-0.582,32.368,1.5538,LightGBM,2021
1-7,3,-5.577,5.171,2.0832,SARIMAX,2021
8-30,19,0.013,12.58,0.9898,SARIMAX,2021
31-90,50,0.016,13.56,1.0442,SARIMAX,2021
91-180,90,0.111,56.891,0.8767,SARIMAX,2021
181-270,88,0.207,64.547,0.9519,SARIMAX,2021
271-365,91,-0.271,28.541,1.37,SARIMAX,2021
1-7,3,-109.197,22.374,9.0138,DLinear,2021
8-30,19,-4.724,33.555,2.6402,DLinear,2021
31-90,50,-2.837,31.008,2.3879,DLinear,2021
91-180,90,0.25,61.478,0.9474,DLinear,2021
181-270,88,0.446,57.813,0.8526,DLinear,2021
271-365,91,-1.353,39.11,1.8774,DLinear,2021
1-7,3,-15.351,8.849,3.565,LSTM,2021
8-30,19,-0.658,19.267,1.5159,LSTM,2021
31-90,50,-0.141,14.215,1.0947,LSTM,2021
91-180,90,-0.123,62.529,0.9636,LSTM,2021
181-270,88,0.181,59.63,0.8793,LSTM,2021
271-365,91,-0.642,29.484,1.4153,LSTM,2021
1-7,3,-0.313,2.482,1.0,Persistence,2021
8-30,19,-0.0,12.709,1.0,Persistence,2021
31-90,50,-0.077,12.985,1.0,Persistence,2021
91-180,90,-0.383,64.892,1.0,Persistence,2021
181-270,88,-0.254,67.812,1.0,Persistence,2021
271-365,91,-0.009,20.832,1.0,Persistence,2021
1-7,3,0.02,2.25,0.9065,Climatology,2021
8-30,19,-0.331,14.458,1.1376,Climatology,2021
31-90,50,-0.223,16.697,1.2859,Climatology,2021
91-180,90,-0.141,52.721,0.8124,Climatology,2021
181-270,88,-0.192,78.447,1.1568,Climatology,2021
271-365,91,-0.274,24.985,1.1994,Climatology,2021
1-7,0,,,,RF,2022
8-30,0,,,,RF,2022
31-90,1,,,,RF,2022
91-180,75,0.018,26.392,1.2171,RF,2022
181-270,74,0.121,38.694,1.0875,RF,2022
271-365,74,0.179,22.152,0.9796,RF,2022
1-7,0,,,,XGB,2022
8-30,0,,,,XGB,2022
31-90,1,,,,XGB,2022
91-180,75,0.156,22.745,1.0489,XGB,2022
181-270,74,0.098,39.229,1.1025,XGB,2022
271-365,74,0.173,22.071,0.976,XGB,2022
1-7,0,,,,LightGBM,2022
8-30,0,,,,LightGBM,2022
31-90,1,,,,LightGBM,2022
91-180,75,0.075,24.154,1.1139,LightGBM,2022
181-270,74,-0.085,45.956,1.2915,LightGBM,2022
271-365,74,0.171,22.08,0.9764,LightGBM,2022
1-7,0,,,,SARIMAX,2022
8-30,0,,,,SARIMAX,2022
31-90,1,,,,SARIMAX,2022
91-180,75,0.202,23.248,1.0721,SARIMAX,2022
181-270,74,0.044,41.001,1.1523,SARIMAX,2022
271-365,74,-0.058,25.482,1.1268,SARIMAX,2022
1-7,0,,,,DLinear,2022
8-30,0,,,,DLinear,2022
31-90,1,,,,DLinear,2022
91-180,75,-0.799,33.15,1.5287,DLinear,2022
181-270,74,-0.093,47.534,1.3359,DLinear,2022
271-365,74,-1.086,38.959,1.7228,DLinear,2022
1-7,0,,,,LSTM,2022
8-30,0,,,,LSTM,2022
31-90,1,,,,LSTM,2022
91-180,75,-0.198,25.079,1.1565,LSTM,2022
181-270,74,-0.848,56.925,1.5998,LSTM,2022
271-365,74,-0.35,25.516,1.1284,LSTM,2022
1-7,0,,,,Persistence,2022
8-30,0,,,,Persistence,2022
31-90,1,,,,Persistence,2022
91-180,75,-0.208,21.685,1.0,Persistence,2022
181-270,74,-0.139,35.582,1.0,Persistence,2022
271-365,74,-0.22,22.613,1.0,Persistence,2022
1-7,0,,,,Climatology,2022
8-30,0,,,,Climatology,2022
31-90,1,,,,Climatology,2022
91-180,75,-1.238,40.199,1.8538,Climatology,2022
181-270,74,-0.424,51.873,1.4579,Climatology,2022
271-365,74,-0.463,30.373,1.3431,Climatology,2022
