bin,n,R2,MAE,MASE,model,anchor_year,eval_tower
181-270,0,,,,XGB_tuned,2019,2
271-365,0,,,,XGB_tuned,2019,2
1-7,0,,,,LightGBM_tuned,2019,2
8-30,0,,,,LightGBM_tuned,2019,2
31-90,0,,,,LightGBM_tuned,2019,2
91-180,0,,,,LightGBM_tuned,2019,2
181-270,0,,,,LightGBM_tuned,2019,2
271-365,0,,,,LightGBM_tuned,2019,2
1-7,0,,,,SARIMAX,2019,2
8-30,0,,,,SARIMAX,2019,2
31-90,0,,,,SARIMAX,2019,2
91-180,0,,,,SARIMAX,2019,2
181-270,0,,,,SARIMAX,2019,2
271-365,0,,,,SARIMAX,2019,2
1-7,0,,,,Ensemble_4model_tuned,2019,2
8-30,0,,,,Ensemble_4model_tuned,2019,2
31-90,0,,,,Ensemble_4model_tuned,2019,2
91-180,0,,,,Ensemble_4model_tuned,2019,2
181-270,0,,,,Ensemble_4model_tuned,2019,2
271-365,0,,,,Ensemble_4model_tuned,2019,2
1-7,0,,,,RF_tuned,2019,4
8-30,8,-3.715,61.289,1.6027,RF_tuned,2019,4
31-90,32,-0.475,21.381,0.977,RF_tuned,2019,4
91-180,62,0.175,49.359,0.6491,RF_tuned,2019,4
181-270,61,0.521,18.902,0.671,RF_tuned,2019,4
271-365,66,0.151,21.162,0.8002,RF_tuned,2019,4
1-7,0,,,,XGB_tuned,2019,4
8-30,8,-3.319,57.59,1.506,XGB_tuned,2019,4
31-90,32,-0.343,19.719,0.9011,XGB_tuned,2019,4
91-180,62,0.21,49.481,0.6507,XGB_tuned,2019,4
181-270,61,0.491,19.13,0.6791,XGB_tuned,2019,4
271-365,66,0.124,20.793,0.7863,XGB_tuned,2019,4
1-7,0,,,,LightGBM_tuned,2019,4
8-30,8,-2.126,46.698,1.2211,LightGBM_tuned,2019,4
31-90,32,-0.106,16.913,0.7729,LightGBM_tuned,2019,4
91-180,62,0.177,50.721,0.667,LightGBM_tuned,2019,4
181-270,61,0.592,16.413,0.5827,LightGBM_tuned,2019,4
271-365,66,0.193,20.315,0.7682,LightGBM_tuned,2019,4
1-7,0,,,,SARIMAX,2019,4
8-30,8,-2.528,51.76,1.3535,SARIMAX,2019,4
31-90,32,-0.037,17.857,0.816,SARIMAX,2019,4
91-180,62,0.224,53.891,0.7087,SARIMAX,2019,4
181-270,61,0.415,19.317,0.6858,SARIMAX,2019,4
271-365,66,0.16,22.618,0.8553,SARIMAX,2019,4
1-7,0,,,,Ensemble_4model_tuned,2019,4
8-30,8,-2.889,54.334,1.4208,Ensemble_4model_tuned,2019,4
31-90,32,-0.146,17.838,0.8151,Ensemble_4model_tuned,2019,4
91-180,62,0.214,50.335,0.662,Ensemble_4model_tuned,2019,4
181-270,61,0.556,17.32,0.6149,Ensemble_4model_tuned,2019,4
271-365,66,0.178,19.863,0.7511,Ensemble_4model_tuned,2019,4
1-7,0,,,,RF_tuned,2019,9
8-30,0,,,,RF_tuned,2019,9
31-90,16,-0.714,21.908,1.325,RF_tuned,2019,9
91-180,81,0.277,43.968,0.775,RF_tuned,2019,9
181-270,49,0.008,45.066,1.167,RF_tuned,2019,9
271-365,49,0.091,56.819,0.8018,RF_tuned,2019,9
1-7,0,,,,XGB_tuned,2019,9
8-30,0,,,,XGB_tuned,2019,9
31-90,16,-0.771,21.415,1.2952,XGB_tuned,2019,9
91-180,81,0.258,44.582,0.7858,XGB_tuned,2019,9
181-270,49,0.03,43.679,1.1311,XGB_tuned,2019,9
271-365,49,0.079,57.729,0.8147,XGB_tuned,2019,9
1-7,0,,,,LightGBM_tuned,2019,9
8-30,0,,,,LightGBM_tuned,2019,9
31-90,16,-2.446,28.169,1.7037,LightGBM_tuned,2019,9
91-180,81,0.264,45.933,0.8096,LightGBM_tuned,2019,9
181-270,49,0.149,40.639,1.0523,LightGBM_tuned,2019,9
271-365,49,0.155,56.037,0.7908,LightGBM_tuned,2019,9
1-7,0,,,,SARIMAX,2019,9
8-30,0,,,,SARIMAX,2019,9
31-90,16,-0.109,15.279,0.9241,SARIMAX,2019,9
91-180,81,0.328,40.103,0.7069,SARIMAX,2019,9
181-270,49,0.143,37.473,0.9704,SARIMAX,2019,9
271-365,49,0.096,56.631,0.7992,SARIMAX,2019,9
1-7,0,,,,Ensemble_4model_tuned,2019,9
8-30,0,,,,Ensemble_4model_tuned,2019,9
31-90,16,-0.69,21.268,1.2863,Ensemble_4model_tuned,2019,9
91-180,81,0.305,42.994,0.7578,Ensemble_4model_tuned,2019,9
181-270,49,0.114,39.77,1.0298,Ensemble_4model_tuned,2019,9
271-365,49,0.116,54.783,0.7731,Ensemble_4model_tuned,2019,9
1-7,0,,,,RF_tuned,2020,2
8-30,0,,,,RF_tuned,2020,2
31-90,0,,,,RF_tuned,2020,2
91-180,0,,,,RF_tuned,2020,2
181-270,0,,,,RF_tuned,2020,2
271-365,0,,,,RF_tuned,2020,2
1-7,0,,,,XGB_tuned,2020,2
8-30,0,,,,XGB_tuned,2020,2
31-90,0,,,,XGB_tuned,2020,2
91-180,0,,,,XGB_tuned,2020,2
