,RF_monthly,XGB_monthly,LightGBM_monthly,SARIMAX_monthly
2021-12-01,17.100251046465512,13.285877227783203,11.468697643975512,13.165819726625834
2022-01-01,13.22693048086578,13.396190643310547,14.00474378883053,9.525661796991468
2022-02-01,25.07372529546264,31.947343826293945,33.44468482562157,24.5739955371
2022-03-01,15.460901888927117,16.2546329498291,14.76558188423479,4.251044744687017
2022-04-01,35.072216822616106,38.46918869018555,45.52383785723586,60.45838558499377
2022-05-01,80.68791507065184,85.32979583740234,87.81981619105674,85.29440448258667
2022-06-01,52.80343286434721,51.30148696899414,51.253773715239724,63.65339346835335
2022-07-01,30.08842654256684,21.467763900756836,26.810721328389462,26.292588685524013
2022-08-01,88.59507824001335,94.63446807861328,95.28348920728689,73.9164987236848
2022-09-01,38.223669917776014,38.062660217285156,32.28203164823718,59.44643485716124
2022-10-01,32.461154675939206,31.426250457763672,33.34791335928581,28.48172755828198
2022-11-01,31.362482295660843,30.150665283203125,23.550993301452927,36.84692672018673
2022-12-01,14.476939535052818,13.290371894836426,10.717689373419873,7.709349145353476
