anchor_year,eval_tower,model,date,q05,median,q95,y_true
2018,2,RF,2018-12-17,14.934107024429562,34.11724219927536,80.89757573517124,18.70908835605556
2018,2,RF,2018-12-18,20.406546908602152,53.32601566708754,100.05300686097749,35.149889121928574
2018,2,RF,2018-12-19,17.148770942460317,36.96892123015873,70.92997907407407,20.564511855705884
2018,2,RF,2018-12-20,16.835744855850166,35.40083366294793,76.29998073611111,21.31585997685
2018,2,RF,2018-12-21,8.660789331140352,27.406786284722223,53.51609467757936,8.646292532607143
2018,2,RF,2018-12-22,5.611961828070175,14.478681614583333,36.320797450396825,4.645622667038461
2018,2,RF,2018-12-23,8.614117168560606,25.570820187621834,64.76173931547618,
2018,2,RF,2018-12-24,4.654520607638888,14.177638151041666,49.17727069731798,
2018,2,RF,2018-12-25,5.6771310590277775,11.919236418650794,24.486049221014486,23.430924851857142
2018,2,RF,2018-12-26,5.6937918796296305,11.606477852049911,23.86773741032267,20.941292970611112
2018,2,RF,2018-12-27,5.847701768253969,11.603172559966914,22.945689718137253,26.19202691092857
2018,2,RF,2018-12-28,5.594144130124327,10.932788315826329,21.72314149166665,29.94466230940909
2018,2,RF,2018-12-29,6.840612959595959,12.732890104166666,32.847861672619025,1.0451481868888888
2018,2,RF,2018-12-30,5.956895035800553,11.120493654684095,23.22363056617647,
2018,2,RF,2018-12-31,5.847701768253969,10.571153766025642,18.06747426199495,2.3515349025416667
2018,2,RF,2019-01-01,6.422994773148148,10.768925462962962,18.449921397321422,-5.369030695966667
2018,2,RF,2019-01-02,6.153414945064233,10.915846979166666,18.821950911458316,1.6130913782857144
2018,2,RF,2019-01-03,6.457563906400966,10.970427097111994,21.649417613224603,25.9850464875
2018,2,RF,2019-01-04,6.346788535805627,10.559095014880953,18.445114810416666,-4.380738653249999
2018,2,RF,2019-01-05,6.060292663089225,10.516454093340233,18.020651864583332,2.7963399130416664
2018,2,RF,2019-01-06,5.787614802314814,10.249622567175019,18.49531592023809,3.1412098474545456
2018,2,RF,2019-01-07,6.9891301684027765,12.927605244755245,33.34661734068627,4.396572144333333
2018,2,RF,2019-01-08,6.349736331018519,11.081799310378088,17.78225243402777,3.1346549570769238
2018,2,RF,2019-01-09,6.240814649509803,10.640626351540616,17.69460911904761,16.851149742666667
2018,2,RF,2019-01-10,6.6483222031250016,10.903030555555556,18.81171242812499,7.1774120194375
2018,2,RF,2019-01-11,5.989769500868055,10.49980115131579,16.68169658459595,-0.4730029913333335
2018,2,RF,2019-01-12,7.26777149621212,13.912356758578433,33.12717788855819,5.846134107666667
2018,2,RF,2019-01-13,7.699050788690476,16.637696717171714,39.65378384722221,6.104765118727273
2018,2,RF,2019-01-14,5.785541417592592,12.259210529761905,25.661034151041655,2.1329866241785718
2018,2,RF,2019-01-15,6.437998225308643,11.380750101495725,17.551086632812495,2.2440845584
2018,2,RF,2019-01-16,7.564482395833333,13.360742187500001,31.20222777777775,7.618485403499999
2018,2,RF,2019-01-17,7.130590082989928,12.208648205266956,17.77814412599206,7.6029276680625
2018,2,RF,2019-01-18,7.673303108878968,15.208107448018193,34.46770538281247,47.92393224357142
2018,2,RF,2019-01-19,7.523239576149424,13.180154143688725,19.284527663690472,24.86850198355556
2018,2,RF,2019-01-20,6.717413741304349,12.028528125,17.867244498991937,17.4627153565625
2018,2,RF,2019-01-21,7.528744767156862,12.385860630580357,19.97382997222222,-12.724279198928574
2018,2,RF,2019-01-22,7.359244986869747,12.360038124999999,19.960567780671287,4.337085952833333
2018,2,RF,2019-01-23,7.450507671568627,12.014473533950618,19.453935974877453,1.5778612148928572
2018,2,RF,2019-01-24,7.773498791783543,12.615107585470085,19.536367989309195,
2018,2,RF,2019-01-25,7.786547706035539,12.6649326171875,19.748436237234447,4.680099354454547
2018,2,RF,2019-01-26,10.402692729166667,20.54054522868774,49.80824172959432,-0.1596002495
2018,2,RF,2019-01-27,9.050389535256413,19.873735590277775,46.243490357142825,5.2462252687
2018,2,RF,2019-01-28,7.117241251803753,14.10423802700922,26.33553425595238,2.2563893023
2018,2,RF,2019-01-29,9.037981087962963,13.961544554093567,24.641922299342102,10.0498731726875
2018,2,RF,2019-01-30,8.468473697916666,15.347981827705938,32.923961684027766,15.474247531375
