anchor_year,eval_tower,model,bin,date,feature,lime_weight
2018,2,RF,1-7,2018-12-18,fx_lsu_dens,12.478749039521473
2018,2,RF,1-7,2018-12-18,ar_ch4_drm7,2.7545073019623034
2018,2,RF,1-7,2018-12-18,fx_PRECIP_sum,1.4458969617303594
2018,2,RF,1-7,2018-12-18,fx_USTAR_mean,1.2607878242799355
2018,2,RF,1-7,2018-12-18,ar_ch4_dlag2,0.9098673177244133
2018,2,RF,1-7,2018-12-18,fx_WS_mean,0.7236460736303266
2018,2,RF,1-7,2018-12-18,fx_DOY_cos,-0.6997587990116366
2018,2,RF,1-7,2018-12-18,fx_grazing_active,0.6720273984659646
2018,2,RF,1-7,2018-12-18,fx_wd_sin,0.6216415985532362
2018,2,RF,1-7,2018-12-18,fx_VPD_mean,0.5025523664281503
2018,2,RF,1-7,2018-12-18,fx_SWIN_mean,-0.3198051009991494
2018,2,RF,1-7,2018-12-18,fx_SWC_lag21,-0.29941489197837406
2018,2,RF,1-7,2018-12-18,fx_days_since_grazing,-0.23151724071871058
2018,2,RF,1-7,2018-12-18,fx_is_growing,0.22429154462812853
2018,2,RF,1-7,2018-12-18,fx_SWC_lag7,-0.21712138480778614
2018,2,RF,1-7,2018-12-18,fx_RN_mean,0.21515891765502818
2018,2,RF,1-7,2018-12-18,fx_TS_lag7,-0.2110241072739405
2018,2,RF,1-7,2018-12-18,fx_TA_mean,0.18447212277741243
2018,2,RF,1-7,2018-12-18,fx_SWC_roll7,-0.18246203328240834
2018,2,RF,1-7,2018-12-18,ar_ch4_dlag7,0.18165708644785641
2018,2,RF,1-7,2018-12-18,fx_TS_lag14,-0.174997608101471
2018,2,RF,1-7,2018-12-18,fx_TA_min,0.1730636215570411
2018,2,RF,1-7,2018-12-18,fx_SWC_lag28,-0.15031939760783272
2018,2,RF,1-7,2018-12-18,fx_TS_mean,-0.14295052964111704
2018,2,RF,1-7,2018-12-18,is_t4,-0.13924268035428686
2018,2,RF,1-7,2018-12-18,fx_TA_max,0.10494677075084778
2018,2,RF,1-7,2018-12-18,fx_SWC_mean,-0.09745002626369803
2018,2,RF,1-7,2018-12-18,fx_PPFD_mean,-0.09131212165371946
2018,2,RF,1-7,2018-12-18,is_t9,0.08616580860429401
2018,2,RF,1-7,2018-12-18,fx_SHF_mean,0.07436381269723126
2018,2,RF,1-7,2018-12-18,fx_TS_lag28,0.06997230405200787
2018,2,RF,1-7,2018-12-18,fx_DOY_sin,0.06788533526724431
2018,2,RF,1-7,2018-12-18,ar_fc_dlag1,-0.059525710144909066
2018,2,RF,1-7,2018-12-18,fx_SWC_roll14,-0.048103933288613475
2018,2,RF,1-7,2018-12-18,fx_is_winter,0.04665586884063264
2018,2,RF,1-7,2018-12-18,is_t2,-0.03647409597543895
2018,2,RF,1-7,2018-12-18,fx_wd_cos,0.03574572413482588
2018,2,RF,1-7,2018-12-18,fx_SWC_lag14,-0.03539553244663266
2018,2,RF,1-7,2018-12-18,fx_TS_roll7,-0.030449036132796824
2018,2,RF,1-7,2018-12-18,fx_TS_roll14,0.03004553745050982
2018,2,RF,1-7,2018-12-18,fx_TS_lag21,0.028447628940032818
2018,2,RF,1-7,2018-12-18,ar_ch4_dlag3,0.015400028741469965
2018,2,RF,1-7,2018-12-18,ar_ch4_dlag1,0.0032441204496375586
2018,2,RF,1-7,2018-12-18,ar_ch4_dlag14,0.0
2018,2,XGB,1-7,2018-12-18,fx_lsu_dens,11.04912517208926
2018,2,XGB,1-7,2018-12-18,ar_ch4_drm7,2.568395262737962
2018,2,XGB,1-7,2018-12-18,fx_PRECIP_sum,1.3285403292303202
2018,2,XGB,1-7,2018-12-18,fx_wd_sin,1.0937138743215307
