model,config,RMSE,MASE,R2
DLinear,BASE,64.93075738252915,1.4886139264365812,-3.0661821596021204
DLinear,BASE+ALL,65.72786618917011,1.479858719859378,-1.9253750599241595
DLinear,BASE+arable,62.220968477560845,1.3957998804806082,-1.9374897353245768
DLinear,BASE+bodyweight,61.52193648272318,1.3742594414400906,-1.8357513341784846
DLinear,BASE+flow,67.33173201194057,1.551598827840254,-4.0080616988484845
DLinear,BASE+mgmt,62.792143750846755,1.42187306748558,-1.7019827578319855
DLinear,BASE+species,63.99472110664952,1.4471147526297696,-2.058314666878908
Ensemble_MASEweighted,BASE,51.507150961718494,0.9169845423715905,-0.16497034951925427
Ensemble_MASEweighted,BASE+ALL,51.72759045346538,0.92194953845122,-0.16759175124122963
Ensemble_MASEweighted,BASE+arable,51.57422824550199,0.9199749857368873,-0.16876394631945119
Ensemble_MASEweighted,BASE+bodyweight,51.75274670638301,0.9208258243738339,-0.16953595586887504
Ensemble_MASEweighted,BASE+flow,51.64983781347429,0.9224863761153188,-0.17162478056703945
Ensemble_MASEweighted,BASE+mgmt,51.674236862137604,0.925360094909971,-0.16951543270184255
Ensemble_MASEweighted,BASE+species,51.557933838443034,0.9161977294882024,-0.1665320798895473
Ensemble_unweighted,BASE,51.513946552633186,0.916933560000075,-0.16515756971676565
Ensemble_unweighted,BASE+ALL,51.73300468053368,0.9217478522219315,-0.1677341660737675
Ensemble_unweighted,BASE+arable,51.57997449723363,0.9198257286763996,-0.16875568587986695
Ensemble_unweighted,BASE+bodyweight,51.75811536974762,0.9206797851875631,-0.16957330580196286
Ensemble_unweighted,BASE+flow,51.65612612638515,0.9223420772914487,-0.1716148045359712
Ensemble_unweighted,BASE+mgmt,51.67599566851982,0.9250685496302908,-0.16936184428888207
Ensemble_unweighted,BASE+species,51.565438608205,0.9160822325507828,-0.1666048975963954
LSTM,BASE,63.14885567376113,1.149697923543166,-1.3550585469222
LSTM,BASE+ALL,60.89971727512125,1.1440519680948351,-0.764976740008054
LSTM,BASE+arable,61.42933279666185,1.1662429391914766,-1.1735498981996293
LSTM,BASE+bodyweight,61.887893628996494,1.1297114598058493,-0.9837289909246423
LSTM,BASE+flow,62.40171665523428,1.1973886179157223,-1.2537829360819184
LSTM,BASE+mgmt,61.74583551244821,1.1733199710638065,-1.0874933539897422
LSTM,BASE+species,61.16282032775181,1.0860242375817797,-0.6215686552272361
LightGBM,BASE,52.02211021877368,0.9392700213347991,-0.20621095234541698
LightGBM,BASE+ALL,52.763994623504665,0.9623809038495109,-0.22512264788499686
LightGBM,BASE+arable,52.23893580405015,0.9463968701269987,-0.22796595803899788
LightGBM,BASE+bodyweight,52.23002786090457,0.9446639778136892,-0.21541081656823344
LightGBM,BASE+flow,52.4020005289575,0.9493586379657006,-0.22000182771785654
LightGBM,BASE+mgmt,52.1251276106413,0.9508247184350858,-0.21150827705593253
LightGBM,BASE+species,52.15867275028241,0.9416374337411257,-0.21766037857389775
RF,BASE,52.169890977212276,0.9670560174425062,-0.24051300084721264
RF,BASE+ALL,52.567950273759834,0.9687792979205131,-0.23618802332360658
RF,BASE+arable,52.22438406093511,0.9664064920913219,-0.2359249930499682
RF,BASE+bodyweight,52.541425472242054,0.9702293188122357,-0.24099675934717854
RF,BASE+flow,52.56757883679364,0.9804660803145436,-0.2584231485776808
RF,BASE+mgmt,52.30798575052146,0.9687821524361133,-0.22828540591894858
RF,BASE+species,52.34878161556369,0.9634925123525176,-0.23980352922762965
SARIMAX,BASE,53.71964818392962,0.97428618710822,-0.3595429299866632
SARIMAX,BASE+ALL,53.71964818392962,0.97428618710822,-0.3595429299866632
SARIMAX,BASE+arable,53.71964818392962,0.97428618710822,-0.3595429299866632
SARIMAX,BASE+bodyweight,53.71964818392962,0.97428618710822,-0.3595429299866632
SARIMAX,BASE+flow,53.71964818392962,0.97428618710822,-0.3595429299866632
SARIMAX,BASE+mgmt,53.71964818392962,0.97428618710822,-0.3595429299866632
SARIMAX,BASE+species,53.71964818392962,0.97428618710822,-0.3595429299866632
TFT,BASE,57.61357427352709,1.0625337097688188,-0.6607925171701154
TFT,BASE+ALL,55.12373158156072,0.9413704351364531,-0.25086291543784567
TFT,BASE+arable,56.48802973865512,0.9743226132520766,-0.396801315229842
TFT,BASE+bodyweight,57.13601419369959,0.9905309119401412,-0.39766375300079865
TFT,BASE+flow,58.15358672080392,1.0541447446647247,-0.6222438015002278
TFT,BASE+mgmt,58.46722029688855,1.053448706426721,-0.5305136967694477
TFT,BASE+species,56.40076742088384,0.9630979521360995,-0.3380423513724052
TabICLv2,BASE,57.980275492221736,0.9282772438555054,-0.3294405556236492
TabICLv2,BASE+ALL,56.024455522047354,0.8711472953013566,-0.15478193325786282
TabICLv2,BASE+arable,57.980275492221736,0.9282772438555054,-0.3294405556236492
TabICLv2,BASE+bodyweight,56.77039321738189,0.8876335534458258,-0.2013328126578231
TabICLv2,BASE+flow,57.60485070237665,0.9117470102749851,-0.2637369947569964
TabICLv2,BASE+mgmt,58.1210945047315,0.9246772305135,-0.31122404704085205
TabICLv2,BASE+species,56.12355997693237,0.8800113336679578,-0.17857965013601032
TabPFN,BASE,56.060453968050844,0.85377780931014,-0.12235100426427217
TabPFN,BASE+ALL,55.76662931831019,0.841305818565296,-0.09177712151359904
TabPFN,BASE+arable,56.060453968050844,0.85377780931014,-0.12235100426427217
TabPFN,BASE+bodyweight,55.56471740715499,0.840266449554776,-0.10405347495435022
TabPFN,BASE+flow,56.07183434442335,0.849867242289277,-0.1068655603523283
TabPFN,BASE+mgmt,55.797009428389174,0.8487724624650813,-0.11100514895624884
TabPFN,BASE+species,55.58312483066358,0.839973275556774,-0.08366865921520682
XGB,BASE,51.51015288071826,0.920640350331062,-0.18383888337718016
XGB,BASE+ALL,51.51265249992257,0.918530883119631,-0.19150398142458205
