bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
31-90,50,-0.069,21.203,13.483,1.0383,0.781,-0.098,SARIMAX,2021,4,B_resample
91-180,90,0.088,94.944,57.105,0.88,0.7824,0.319,SARIMAX,2021,4,B_resample
181-270,88,0.204,90.099,63.854,0.9416,0.8951,0.48,SARIMAX,2021,4,B_resample
271-365,91,-0.042,33.354,24.22,1.1626,1.0912,0.515,SARIMAX,2021,4,B_resample
1-7,3,-0.005,2.425,2.135,0.8601,0.2413,0.995,Ensemble_unweighted,2021,4,B_resample
8-30,19,-0.001,17.292,12.511,0.9844,0.8351,0.07,Ensemble_unweighted,2021,4,B_resample
31-90,50,-0.074,21.247,13.196,1.0162,0.7644,-0.048,Ensemble_unweighted,2021,4,B_resample
91-180,90,0.074,95.622,55.983,0.8627,0.7671,0.31,Ensemble_unweighted,2021,4,B_resample
181-270,88,0.178,91.551,65.705,0.9689,0.9211,0.462,Ensemble_unweighted,2021,4,B_resample
271-365,91,-0.008,32.819,23.666,1.136,1.0663,0.488,Ensemble_unweighted,2021,4,B_resample
1-7,3,-0.001,2.421,2.125,0.856,0.2402,1.0,Ensemble_MASEweighted,2021,4,B_resample
8-30,19,-0.001,17.294,12.503,0.9838,0.8346,0.071,Ensemble_MASEweighted,2021,4,B_resample
31-90,50,-0.075,21.263,13.183,1.0152,0.7636,-0.051,Ensemble_MASEweighted,2021,4,B_resample
91-180,90,0.074,95.638,55.982,0.8627,0.7671,0.309,Ensemble_MASEweighted,2021,4,B_resample
181-270,88,0.177,91.568,65.718,0.9691,0.9212,0.462,Ensemble_MASEweighted,2021,4,B_resample
271-365,91,-0.008,32.82,23.663,1.1359,1.0661,0.487,Ensemble_MASEweighted,2021,4,B_resample
