bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
1-7,1,,,,,,,Ensemble_unweighted,2018,4
8-30,7,-0.689,11.103,10.557,0.6959,1.5096,0.658,Ensemble_unweighted,2018,4
31-90,33,0.052,15.615,12.953,0.7886,1.0617,0.405,Ensemble_unweighted,2018,4
91-180,83,-0.582,24.129,18.24,1.0009,1.4763,0.222,Ensemble_unweighted,2018,4
181-270,72,0.122,74.682,57.457,0.9404,0.8224,0.35,Ensemble_unweighted,2018,4
271-365,67,0.009,61.717,34.206,1.1236,1.1129,0.166,Ensemble_unweighted,2018,4
1-7,1,,,,,,,Ensemble_MASEweighted,2018,4
8-30,7,-0.672,11.047,10.498,0.692,1.5012,0.66,Ensemble_MASEweighted,2018,4
31-90,33,0.053,15.602,12.911,0.7861,1.0583,0.402,Ensemble_MASEweighted,2018,4
91-180,83,-0.576,24.082,18.17,0.997,1.4706,0.222,Ensemble_MASEweighted,2018,4
181-270,72,0.122,74.689,57.394,0.9394,0.8215,0.35,Ensemble_MASEweighted,2018,4
271-365,67,0.011,61.646,34.085,1.1197,1.109,0.169,Ensemble_MASEweighted,2018,4
1-7,1,,,,,,,TFT,2018,4
8-30,7,0.19,7.69,5.454,0.3595,0.7799,0.494,TFT,2018,4
31-90,33,-0.198,17.547,11.451,0.6972,0.9386,-0.074,TFT,2018,4
91-180,83,-0.264,21.56,15.86,0.8703,1.2837,0.393,TFT,2018,4
181-270,72,-0.153,85.606,57.287,0.9376,0.82,0.28,TFT,2018,4
271-365,67,-0.148,66.418,29.167,0.9581,0.949,-0.15,TFT,2018,4
1-7,1,,,,,,,TabPFN,2018,4
8-30,7,-0.295,9.722,6.004,0.3958,0.8586,0.101,TabPFN,2018,4
31-90,33,-0.351,18.638,11.651,0.7093,0.955,0.199,TabPFN,2018,4
91-180,83,-0.226,21.241,14.759,0.8098,1.1945,-0.002,TabPFN,2018,4
181-270,72,-0.199,87.306,57.593,0.9426,0.8243,0.186,TabPFN,2018,4
271-365,67,-0.091,64.734,27.548,0.9049,0.8963,0.013,TabPFN,2018,4
1-7,0,,,,,,,RF,2018,9
8-30,0,,,,,,,RF,2018,9
31-90,0,,,,,,,RF,2018,9
91-180,0,,,,,,,RF,2018,9
181-270,0,,,,,,,RF,2018,9
271-365,0,,,,,,,RF,2018,9
1-7,0,,,,,,,XGB,2018,9
8-30,0,,,,,,,XGB,2018,9
31-90,0,,,,,,,XGB,2018,9
91-180,0,,,,,,,XGB,2018,9
181-270,0,,,,,,,XGB,2018,9
271-365,0,,,,,,,XGB,2018,9
1-7,0,,,,,,,LightGBM,2018,9
8-30,0,,,,,,,LightGBM,2018,9
31-90,0,,,,,,,LightGBM,2018,9
91-180,0,,,,,,,LightGBM,2018,9
181-270,0,,,,,,,LightGBM,2018,9
271-365,0,,,,,,,LightGBM,2018,9
1-7,0,,,,,,,SARIMAX,2018,9
8-30,0,,,,,,,SARIMAX,2018,9
31-90,0,,,,,,,SARIMAX,2018,9
91-180,0,,,,,,,SARIMAX,2018,9
181-270,0,,,,,,,SARIMAX,2018,9
271-365,0,,,,,,,SARIMAX,2018,9
1-7,0,,,,,,,Ensemble_unweighted,2018,9
8-30,0,,,,,,,Ensemble_unweighted,2018,9
31-90,0,,,,,,,Ensemble_unweighted,2018,9
91-180,0,,,,,,,Ensemble_unweighted,2018,9
181-270,0,,,,,,,Ensemble_unweighted,2018,9
271-365,0,,,,,,,Ensemble_unweighted,2018,9
1-7,0,,,,,,,Ensemble_MASEweighted,2018,9
8-30,0,,,,,,,Ensemble_MASEweighted,2018,9
31-90,0,,,,,,,Ensemble_MASEweighted,2018,9
91-180,0,,,,,,,Ensemble_MASEweighted,2018,9
181-270,0,,,,,,,Ensemble_MASEweighted,2018,9
271-365,0,,,,,,,Ensemble_MASEweighted,2018,9
1-7,0,,,,,,,TFT,2018,9
8-30,0,,,,,,,TFT,2018,9
31-90,0,,,,,,,TFT,2018,9
91-180,0,,,,,,,TFT,2018,9
181-270,0,,,,,,,TFT,2018,9
271-365,0,,,,,,,TFT,2018,9
1-7,0,,,,,,,TabPFN,2018,9
8-30,0,,,,,,,TabPFN,2018,9
31-90,0,,,,,,,TabPFN,2018,9
91-180,0,,,,,,,TabPFN,2018,9
181-270,0,,,,,,,TabPFN,2018,9
271-365,0,,,,,,,TabPFN,2018,9
1-7,0,,,,,,,RF,2019,2
8-30,0,,,,,,,RF,2019,2
31-90,0,,,,,,,RF,2019,2
91-180,0,,,,,,,RF,2019,2
181-270,0,,,,,,,RF,2019,2
271-365,0,,,,,,,RF,2019,2
1-7,0,,,,,,,XGB,2019,2
8-30,0,,,,,,,XGB,2019,2
31-90,0,,,,,,,XGB,2019,2
91-180,0,,,,,,,XGB,2019,2
181-270,0,,,,,,,XGB,2019,2
271-365,0,,,,,,,XGB,2019,2
1-7,0,,,,,,,LightGBM,2019,2
8-30,0,,,,,,,LightGBM,2019,2
31-90,0,,,,,,,LightGBM,2019,2
91-180,0,,,,,,,LightGBM,2019,2
181-270,0,,,,,,,LightGBM,2019,2
271-365,0,,,,,,,LightGBM,2019,2
1-7,0,,,,,,,SARIMAX,2019,2
8-30,0,,,,,,,SARIMAX,2019,2
31-90,0,,,,,,,SARIMAX,2019,2
91-180,0,,,,,,,SARIMAX,2019,2
181-270,0,,,,,,,SARIMAX,2019,2
271-365,0,,,,,,,SARIMAX,2019,2
1-7,0,,,,,,,Ensemble_unweighted,2019,2
8-30,0,,,,,,,Ensemble_unweighted,2019,2
31-90,0,,,,,,,Ensemble_unweighted,2019,2
91-180,0,,,,,,,Ensemble_unweighted,2019,2
181-270,0,,,,,,,Ensemble_unweighted,2019,2
271-365,0,,,,,,,Ensemble_unweighted,2019,2
1-7,0,,,,,,,Ensemble_MASEweighted,2019,2
8-30,0,,,,,,,Ensemble_MASEweighted,2019,2
31-90,0,,,,,,,Ensemble_MASEweighted,2019,2
91-180,0,,,,,,,Ensemble_MASEweighted,2019,2
181-270,0,,,,,,,Ensemble_MASEweighted,2019,2
271-365,0,,,,,,,Ensemble_MASEweighted,2019,2
1-7,0,,,,,,,TFT,2019,2
8-30,0,,,,,,,TFT,2019,2
31-90,0,,,,,,,TFT,2019,2
91-180,0,,,,,,,TFT,2019,2
181-270,0,,,,,,,TFT,2019,2
271-365,0,,,,,,,TFT,2019,2
1-7,0,,,,,,,TabPFN,2019,2
8-30,0,,,,,,,TabPFN,2019,2
31-90,0,,,,,,,TabPFN,2019,2
91-180,0,,,,,,,TabPFN,2019,2
181-270,0,,,,,,,TabPFN,2019,2
271-365,0,,,,,,,TabPFN,2019,2
