bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
1-7,7,-1.018,36.223,24.32,0.7968,0.7302,0.026,gapfilled,TabPFN,BASE+arable,2018,2
8-30,23,-0.939,10.903,8.375,0.1808,0.9498,0.57,gapfilled,TabPFN,BASE+arable,2018,2
31-90,60,-1.11,32.096,22.162,0.6373,0.8784,-0.458,gapfilled,TabPFN,BASE+arable,2018,2
91-180,90,-0.193,9.793,7.368,0.1483,0.9355,-0.307,gapfilled,TabPFN,BASE+arable,2018,2
181-270,90,-0.013,4.847,3.616,0.0698,0.7431,-0.008,gapfilled,TabPFN,BASE+arable,2018,2
271-365,95,-0.805,14.089,8.867,0.1962,0.8677,-0.432,gapfilled,TabPFN,BASE+arable,2018,2
1-7,6,0.72,5.191,4.8,0.1306,0.2642,0.952,observed,TabICLv2,BASE+arable,2018,2
8-30,21,-0.205,11.503,7.771,0.1668,0.8345,0.62,observed,TabICLv2,BASE+arable,2018,2
31-90,32,-0.139,13.725,9.341,0.2054,0.8044,0.235,observed,TabICLv2,BASE+arable,2018,2
91-180,43,-0.416,27.175,19.439,0.3162,1.2268,-0.181,observed,TabICLv2,BASE+arable,2018,2
181-270,0,,,,,,,observed,TabICLv2,BASE+arable,2018,2
271-365,0,,,,,,,observed,TabICLv2,BASE+arable,2018,2
1-7,7,-0.743,33.669,21.02,0.6887,0.6312,-0.022,gapfilled,TabICLv2,BASE+arable,2018,2
8-30,23,-0.508,9.615,6.791,0.1466,0.7701,0.562,gapfilled,TabICLv2,BASE+arable,2018,2
31-90,60,-0.993,31.192,21.443,0.6166,0.85,-0.228,gapfilled,TabICLv2,BASE+arable,2018,2
91-180,90,-0.342,10.386,7.912,0.1592,1.0045,-0.215,gapfilled,TabICLv2,BASE+arable,2018,2
181-270,90,-1.374,7.421,6.38,0.1232,1.311,0.476,gapfilled,TabICLv2,BASE+arable,2018,2
271-365,95,-0.554,13.073,7.624,0.1687,0.746,-0.345,gapfilled,TabICLv2,BASE+arable,2018,2
1-7,6,0.036,9.634,7.906,0.2151,0.4351,0.829,observed,TabPFN,BASE+flow,2018,2
8-30,21,-0.428,12.521,8.797,0.1889,0.9446,0.4,observed,TabPFN,BASE+flow,2018,2
31-90,32,-0.192,14.04,10.404,0.2287,0.8959,0.011,observed,TabPFN,BASE+flow,2018,2
91-180,43,-0.243,25.462,17.697,0.2879,1.1168,-0.173,observed,TabPFN,BASE+flow,2018,2
181-270,0,,,,,,,observed,TabPFN,BASE+flow,2018,2
271-365,0,,,,,,,observed,TabPFN,BASE+flow,2018,2
1-7,7,-1.046,36.478,24.732,0.8103,0.7426,0.022,gapfilled,TabPFN,BASE+flow,2018,2
8-30,23,-0.898,10.786,8.076,0.1743,0.9159,0.383,gapfilled,TabPFN,BASE+flow,2018,2
31-90,60,-1.123,32.19,22.319,0.6418,0.8847,-0.486,gapfilled,TabPFN,BASE+flow,2018,2
91-180,90,-0.184,9.756,7.318,0.1472,0.9291,-0.279,gapfilled,TabPFN,BASE+flow,2018,2
181-270,90,-0.016,4.854,3.7,0.0714,0.7603,-0.064,gapfilled,TabPFN,BASE+flow,2018,2
271-365,95,-0.826,14.169,9.033,0.1999,0.8839,-0.388,gapfilled,TabPFN,BASE+flow,2018,2
1-7,6,0.673,5.615,4.904,0.1335,0.2699,0.908,observed,TabICLv2,BASE+flow,2018,2
8-30,21,-0.024,10.603,7.362,0.1581,0.7906,0.65,observed,TabICLv2,BASE+flow,2018,2
31-90,32,-0.087,13.404,9.108,0.2002,0.7843,0.269,observed,TabICLv2,BASE+flow,2018,2
91-180,43,-0.498,27.949,20.362,0.3312,1.285,-0.121,observed,TabICLv2,BASE+flow,2018,2
181-270,0,,,,,,,observed,TabICLv2,BASE+flow,2018,2
271-365,0,,,,,,,observed,TabICLv2,BASE+flow,2018,2
1-7,7,-0.814,34.34,21.043,0.6895,0.6318,-0.099,gapfilled,TabICLv2,BASE+flow,2018,2
8-30,23,-0.271,8.828,6.223,0.1343,0.7057,0.619,gapfilled,TabICLv2,BASE+flow,2018,2
31-90,60,-0.998,31.229,20.895,0.6009,0.8282,-0.265,gapfilled,TabICLv2,BASE+flow,2018,2
91-180,90,-0.698,11.686,9.058,0.1822,1.15,-0.135,gapfilled,TabICLv2,BASE+flow,2018,2
181-270,90,-1.516,7.64,6.348,0.1226,1.3046,0.356,gapfilled,TabICLv2,BASE+flow,2018,2
271-365,95,-0.564,13.114,7.661,0.1695,0.7496,-0.363,gapfilled,TabICLv2,BASE+flow,2018,2
1-7,6,0.075,9.437,8.043,0.2189,0.4426,0.865,observed,TabPFN,BASE+mgmt,2018,2
8-30,21,-0.476,12.732,9.068,0.1947,0.9738,0.458,observed,TabPFN,BASE+mgmt,2018,2
31-90,32,-0.237,14.304,10.719,0.2357,0.923,-0.022,observed,TabPFN,BASE+mgmt,2018,2
91-180,43,-0.273,25.768,18.062,0.2938,1.1399,-0.247,observed,TabPFN,BASE+mgmt,2018,2
181-270,0,,,,,,,observed,TabPFN,BASE+mgmt,2018,2
271-365,0,,,,,,,observed,TabPFN,BASE+mgmt,2018,2
1-7,7,-1.06,36.596,24.892,0.8156,0.7474,0.017,gapfilled,TabPFN,BASE+mgmt,2018,2
8-30,23,-0.991,11.049,8.425,0.1818,0.9554,0.435,gapfilled,TabPFN,BASE+mgmt,2018,2
31-90,60,-1.141,32.327,22.656,0.6515,0.898,-0.462,gapfilled,TabPFN,BASE+mgmt,2018,2
91-180,90,-0.225,9.923,7.535,0.1516,0.9566,-0.331,gapfilled,TabPFN,BASE+mgmt,2018,2
181-270,90,-0.044,4.92,3.654,0.0705,0.7509,-0.088,gapfilled,TabPFN,BASE+mgmt,2018,2
271-365,95,-0.724,13.767,8.255,0.1827,0.8078,-0.488,gapfilled,TabPFN,BASE+mgmt,2018,2
1-7,6,0.768,4.73,4.166,0.1134,0.2293,0.94,observed,TabICLv2,BASE+mgmt,2018,2
8-30,21,0.025,10.346,7.084,0.1521,0.7608,0.608,observed,TabICLv2,BASE+mgmt,2018,2
31-90,32,-0.016,12.96,8.681,0.1909,0.7475,0.276,observed,TabICLv2,BASE+mgmt,2018,2
91-180,43,-0.586,28.761,21.28,0.3461,1.3429,-0.165,observed,TabICLv2,BASE+mgmt,2018,2
181-270,0,,,,,,,observed,TabICLv2,BASE+mgmt,2018,2
271-365,0,,,,,,,observed,TabICLv2,BASE+mgmt,2018,2
1-7,7,-0.666,32.915,20.131,0.6596,0.6045,-0.03,gapfilled,TabICLv2,BASE+mgmt,2018,2
8-30,23,-0.136,8.347,5.601,0.1209,0.6351,0.566,gapfilled,TabICLv2,BASE+mgmt,2018,2
31-90,60,-0.867,30.188,20.004,0.5752,0.7929,-0.227,gapfilled,TabICLv2,BASE+mgmt,2018,2
91-180,90,-0.687,11.645,9.263,0.1864,1.176,-0.135,gapfilled,TabICLv2,BASE+mgmt,2018,2
181-270,90,-2.719,9.288,8.379,0.1618,1.7219,0.535,gapfilled,TabICLv2,BASE+mgmt,2018,2
271-365,95,-0.371,12.28,7.117,0.1575,0.6964,-0.45,gapfilled,TabICLv2,BASE+mgmt,2018,2
1-7,6,0.068,9.476,7.828,0.213,0.4308,0.839,observed,TabPFN,BASE+bodyweight,2018,2
8-30,21,-0.357,12.208,8.565,0.1839,0.9198,0.424,observed,TabPFN,BASE+bodyweight,2018,2
31-90,32,-0.127,13.654,10.062,0.2212,0.8665,0.049,observed,TabPFN,BASE+bodyweight,2018,2
91-180,43,-0.278,25.816,18.116,0.2947,1.1433,-0.159,observed,TabPFN,BASE+bodyweight,2018,2
181-270,0,,,,,,,observed,TabPFN,BASE+bodyweight,2018,2
271-365,0,,,,,,,observed,TabPFN,BASE+bodyweight,2018,2
1-7,7,-1.036,36.389,24.629,0.807,0.7395,0.021,gapfilled,TabPFN,BASE+bodyweight,2018,2
8-30,23,-0.792,10.481,7.828,0.169,0.8877,0.382,gapfilled,TabPFN,BASE+bodyweight,2018,2
