model,R2,RMSE,MAE,MASE,WAPE,Correlation
RF,-0.241,52.232,34.836,0.968,1.05,0.375
XGB,-0.184,51.571,33.807,0.922,0.991,0.368
LightGBM,-0.206,52.083,34.323,0.941,1.012,0.368
SARIMAX,-0.36,53.791,36.059,0.976,1.105,0.343
Ensemble_unweighted,-0.165,51.574,33.746,0.918,0.998,0.375
Ensemble_MASEweighted,-0.165,51.567,33.743,0.918,0.998,0.375
TFT,-0.363,56.589,35.624,0.972,1.045,0.292
TabPFN,-0.122,56.124,33.14,0.855,0.899,0.358
