bin,n,R2,MAE,MASE,model,anchor_year
1-7,1,,,,RF_tuned,2018
8-30,7,-0.936,11.43,0.7534,RF_tuned,2018
31-90,33,-0.025,14.392,0.8763,RF_tuned,2018
91-180,83,-0.77,19.472,1.0685,RF_tuned,2018
181-270,72,0.156,55.992,0.9164,RF_tuned,2018
271-365,67,-0.02,38.74,1.2726,RF_tuned,2018
1-7,1,,,,XGB_tuned,2018
8-30,7,-0.105,7.992,0.5268,XGB_tuned,2018
31-90,33,0.009,12.128,0.7384,XGB_tuned,2018
91-180,83,-0.319,15.534,0.8524,XGB_tuned,2018
181-270,72,0.073,56.56,0.9257,XGB_tuned,2018
271-365,67,0.067,30.561,1.0039,XGB_tuned,2018
1-7,1,,,,LightGBM_tuned,2018
8-30,7,0.117,6.938,0.4574,LightGBM_tuned,2018
31-90,33,0.045,11.589,0.7056,LightGBM_tuned,2018
91-180,83,-0.323,15.244,0.8365,LightGBM_tuned,2018
181-270,72,0.106,56.038,0.9172,LightGBM_tuned,2018
271-365,67,0.006,33.657,1.1056,LightGBM_tuned,2018
1-7,1,,,,SARIMAX_widened,2018
8-30,7,-2.002,13.715,0.9041,SARIMAX_widened,2018
31-90,33,-0.18,15.353,0.9348,SARIMAX_widened,2018
91-180,83,-1.044,23.07,1.2659,SARIMAX_widened,2018
181-270,72,0.027,64.714,1.0592,SARIMAX_widened,2018
271-365,67,-0.185,44.384,1.458,SARIMAX_widened,2018
1-7,1,,,,Ensemble_tuned_trees,2018
8-30,7,-0.222,8.768,0.578,Ensemble_tuned_trees,2018
31-90,33,0.058,12.352,0.752,Ensemble_tuned_trees,2018
91-180,83,-0.432,16.478,0.9042,Ensemble_tuned_trees,2018
181-270,72,0.12,55.882,0.9146,Ensemble_tuned_trees,2018
271-365,67,0.031,33.958,1.1155,Ensemble_tuned_trees,2018
1-7,0,,,,RF_tuned,2019
8-30,8,-3.805,61.807,1.6162,RF_tuned,2019
31-90,32,-0.596,22.44,1.0255,RF_tuned,2019
91-180,62,0.185,49.104,0.6458,RF_tuned,2019
181-270,61,0.503,19.328,0.6862,RF_tuned,2019
271-365,66,0.171,20.634,0.7803,RF_tuned,2019
1-7,0,,,,XGB_tuned,2019
8-30,8,-3.26,56.146,1.4682,XGB_tuned,2019
31-90,32,-0.272,18.471,0.8441,XGB_tuned,2019
91-180,62,0.188,48.221,0.6342,XGB_tuned,2019
181-270,61,0.518,17.962,0.6377,XGB_tuned,2019
271-365,66,0.133,21.607,0.8171,XGB_tuned,2019
1-7,0,,,,LightGBM_tuned,2019
8-30,8,-3.15,54.947,1.4369,LightGBM_tuned,2019
31-90,32,-0.38,19.044,0.8702,LightGBM_tuned,2019
91-180,62,0.228,50.081,0.6586,LightGBM_tuned,2019
181-270,61,0.558,17.025,0.6044,LightGBM_tuned,2019
271-365,66,0.161,21.004,0.7943,LightGBM_tuned,2019
1-7,0,,,,SARIMAX_widened,2019
8-30,8,-2.528,51.76,1.3535,SARIMAX_widened,2019
31-90,32,-0.037,17.857,0.816,SARIMAX_widened,2019
91-180,62,0.224,53.891,0.7087,SARIMAX_widened,2019
181-270,61,0.415,19.317,0.6858,SARIMAX_widened,2019
271-365,66,0.16,22.618,0.8553,SARIMAX_widened,2019
1-7,0,,,,Ensemble_tuned_trees,2019
8-30,8,-3.392,57.633,1.5071,Ensemble_tuned_trees,2019
31-90,32,-0.38,19.803,0.9049,Ensemble_tuned_trees,2019
91-180,62,0.21,48.91,0.6432,Ensemble_tuned_trees,2019
181-270,61,0.542,17.83,0.633,Ensemble_tuned_trees,2019
