bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
8-30,23,-7.371,22.654,20.465,0.4417,2.3207,-0.544,SARIMAX,2018,2,B_resample,0.9130434782608695
31-90,60,-0.258,24.778,21.675,0.6233,0.8592,0.235,SARIMAX,2018,2,B_resample,0.5333333333333333
91-180,90,-12.238,32.625,31.009,0.6239,3.9369,-0.247,SARIMAX,2018,2,B_resample,0.4777777777777778
181-270,90,-18.554,21.298,20.55,0.3967,4.2231,0.11,SARIMAX,2018,2,B_resample,0.0
271-365,95,-0.209,11.53,8.437,0.1867,0.8257,0.035,SARIMAX,2018,2,B_resample,0.0
1-7,7,-0.105,26.81,19.949,0.6536,0.599,0.07,Ensemble_unweighted,2018,2,B_resample,0.8571428571428571
8-30,23,-1.483,12.338,11.41,0.2463,1.2939,-0.518,Ensemble_unweighted,2018,2,B_resample,0.9130434782608695
31-90,60,0.114,20.801,13.969,0.4017,0.5537,0.512,Ensemble_unweighted,2018,2,B_resample,0.5333333333333333
91-180,90,-2.128,15.859,13.783,0.2773,1.7499,0.159,Ensemble_unweighted,2018,2,B_resample,0.4777777777777778
181-270,90,-3.569,10.295,9.326,0.18,1.9165,-0.025,Ensemble_unweighted,2018,2,B_resample,0.0
271-365,95,0.062,10.154,5.636,0.1247,0.5516,0.292,Ensemble_unweighted,2018,2,B_resample,0.0
1-7,7,-0.107,26.83,19.974,0.6544,0.5997,0.067,Ensemble_MASEweighted,2018,2,B_resample,0.8571428571428571
8-30,23,-1.423,12.189,11.281,0.2435,1.2792,-0.512,Ensemble_MASEweighted,2018,2,B_resample,0.9130434782608695
31-90,60,0.111,20.827,13.911,0.4,0.5514,0.515,Ensemble_MASEweighted,2018,2,B_resample,0.5333333333333333
91-180,90,-2.054,15.669,13.59,0.2734,1.7253,0.163,Ensemble_MASEweighted,2018,2,B_resample,0.4777777777777778
181-270,90,-3.495,10.211,9.251,0.1786,1.9011,-0.031,Ensemble_MASEweighted,2018,2,B_resample,0.0
271-365,95,0.062,10.155,5.606,0.1241,0.5486,0.289,Ensemble_MASEweighted,2018,2,B_resample,0.0
1-7,7,-0.112,22.472,19.741,1.3554,0.6073,0.088,RF,2018,4,A_removal,0.14285714285714285
8-30,23,0.317,9.755,8.408,0.7304,0.5183,0.788,RF,2018,4,A_removal,0.30434782608695654
31-90,60,0.086,17.914,13.333,0.9143,0.621,0.365,RF,2018,4,A_removal,0.55
91-180,90,-0.754,18.782,15.476,1.0291,1.2602,0.463,RF,2018,4,A_removal,0.9222222222222223
181-270,90,0.022,54.688,41.236,0.7763,0.6164,0.44,RF,2018,4,A_removal,0.8
271-365,95,0.126,36.667,25.266,0.9406,0.7566,0.403,RF,2018,4,A_removal,0.7052631578947368
1-7,7,-0.343,24.693,21.609,1.4837,0.6648,-0.145,XGB,2018,4,A_removal,0.14285714285714285
8-30,23,0.421,8.978,7.071,0.6142,0.4359,0.783,XGB,2018,4,A_removal,0.30434782608695654
31-90,60,-0.159,20.169,13.254,0.909,0.6173,0.23,XGB,2018,4,A_removal,0.55
91-180,90,-0.267,15.962,12.07,0.8026,0.9828,0.468,XGB,2018,4,A_removal,0.9222222222222223
181-270,90,-0.049,56.639,40.427,0.761,0.6043,0.387,XGB,2018,4,A_removal,0.8
271-365,95,0.076,37.7,25.217,0.9387,0.7551,0.287,XGB,2018,4,A_removal,0.7052631578947368
1-7,7,-0.221,23.547,20.336,1.3963,0.6257,-0.05,LightGBM,2018,4,A_removal,0.14285714285714285
8-30,23,0.357,9.463,7.715,0.6701,0.4756,0.775,LightGBM,2018,4,A_removal,0.30434782608695654
31-90,60,-0.143,20.026,13.187,0.9044,0.6142,0.27,LightGBM,2018,4,A_removal,0.55
91-180,90,-0.369,16.597,12.874,0.8561,1.0483,0.446,LightGBM,2018,4,A_removal,0.9222222222222223
181-270,90,-0.095,57.859,41.312,0.7777,0.6176,0.431,LightGBM,2018,4,A_removal,0.8
271-365,95,0.079,37.637,25.097,0.9343,0.7515,0.309,LightGBM,2018,4,A_removal,0.7052631578947368
1-7,7,-0.164,22.993,20.955,1.4388,0.6447,0.068,SARIMAX,2018,4,A_removal,0.14285714285714285
8-30,23,-1.121,17.19,15.383,1.3362,0.9483,0.777,SARIMAX,2018,4,A_removal,0.30434782608695654
31-90,60,-0.079,19.463,15.211,1.0432,0.7085,-0.67,SARIMAX,2018,4,A_removal,0.55
91-180,90,-1.494,22.398,20.047,1.333,1.6323,0.435,SARIMAX,2018,4,A_removal,0.9222222222222223
181-270,90,0.188,49.835,38.735,0.7292,0.579,0.493,SARIMAX,2018,4,A_removal,0.8
271-365,95,0.251,33.95,26.412,0.9832,0.7909,0.595,SARIMAX,2018,4,A_removal,0.7052631578947368
1-7,7,-0.162,22.964,20.66,1.4185,0.6356,-0.039,Ensemble_unweighted,2018,4,A_removal,0.14285714285714285
8-30,23,0.157,10.834,9.168,0.7964,0.5652,0.789,Ensemble_unweighted,2018,4,A_removal,0.30434782608695654
31-90,60,-0.027,18.986,13.272,0.9102,0.6182,0.235,Ensemble_unweighted,2018,4,A_removal,0.55
91-180,90,-0.618,18.039,14.867,0.9886,1.2106,0.47,Ensemble_unweighted,2018,4,A_removal,0.9222222222222223
181-270,90,0.057,53.714,39.402,0.7417,0.589,0.442,Ensemble_unweighted,2018,4,A_removal,0.8
271-365,95,0.201,35.065,24.141,0.8987,0.7229,0.499,Ensemble_unweighted,2018,4,A_removal,0.7052631578947368
1-7,7,-0.165,22.995,20.669,1.4191,0.6359,-0.041,Ensemble_MASEweighted,2018,4,A_removal,0.14285714285714285
8-30,23,0.168,10.768,9.093,0.7898,0.5605,0.789,Ensemble_MASEweighted,2018,4,A_removal,0.30434782608695654
31-90,60,-0.029,19.006,13.25,0.9086,0.6171,0.237,Ensemble_MASEweighted,2018,4,A_removal,0.55
91-180,90,-0.606,17.972,14.778,0.9827,1.2033,0.47,Ensemble_MASEweighted,2018,4,A_removal,0.9222222222222223
181-270,90,0.054,53.793,39.418,0.742,0.5892,0.441,Ensemble_MASEweighted,2018,4,A_removal,0.8
