track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded
A,1,4,DLinear,147.255,72.033,-0.154,-10.137,1160,-0.045,-0.054,1.5151,1.3987,1.4905,6.9975,81
A,6,4,DLinear,141.343,86.688,-0.452,14.501,1166,0.052,-0.186,1.8137,1.3289,1.5639,8.125,68
A,12,4,DLinear,140.797,82.741,-0.439,-3.844,1165,-0.105,-0.181,1.7314,1.3299,1.5717,7.0953,68
A,24,4,DLinear,141.796,87.676,-0.46,7.581,1165,0.009,-0.189,1.8347,1.3626,1.5642,8.187,68
A,48,4,DLinear,139.593,86.591,-0.413,14.487,1163,0.045,-0.17,1.8107,1.2574,1.5508,8.3588,68
A,1,9,DLinear,150.748,72.41,0.003,3.356,984,0.002,-0.008,1.2926,1.2781,1.3656,4.8218,54
A,6,9,DLinear,148.5,83.358,-0.152,2.493,980,0.14,-0.086,1.467,1.1308,1.4428,6.8694,55
A,12,9,DLinear,153.339,80.05,-0.228,-27.357,980,0.127,-0.121,1.4088,0.993,1.4856,6.4164,55
A,24,9,DLinear,148.835,85.264,-0.157,-4.465,980,0.139,-0.088,1.5005,1.1643,1.4618,7.6889,55
A,48,9,DLinear,147.439,79.557,-0.136,2.846,980,0.142,-0.078,1.4001,1.0426,1.4393,6.2235,55
A,1,2,DLinear,136.006,87.751,-1.622,-47.872,485,0.096,-0.694,2.3606,2.5334,1.7083,8.8044,31
A,6,2,DLinear,195.015,104.4,-0.357,25.305,498,-0.095,-0.166,2.5268,1.9561,1.5048,13.2604,28
A,12,2,DLinear,198.865,96.616,-0.414,2.942,499,0.008,-0.19,2.343,1.6413,1.5218,12.2474,29
A,24,2,DLinear,195.896,87.949,-0.371,-11.719,499,0.133,-0.171,2.1333,1.4816,1.5023,11.2063,30
A,48,2,DLinear,195.804,90.022,-0.367,-39.543,498,0.168,-0.169,2.1833,1.5254,1.6235,11.1678,30
B,1,4,DLinear,56.184,37.325,0.333,4.217,566,-0.092,0.202,0.9772,1.2311,1.2729,3.2259,29
B,3,4,DLinear,62.529,42.363,0.176,9.037,564,0.04,0.113,1.1061,1.1179,1.2919,3.7501,29
B,7,4,DLinear,62.847,42.957,0.172,10.157,560,0.19,0.111,1.116,0.9466,1.2791,3.7617,29
B,14,4,DLinear,65.362,44.779,0.113,9.286,554,0.33,0.081,1.1565,0.8075,1.3108,3.793,29
B,1,9,DLinear,53.92,33.715,0.326,-0.47,457,0.063,0.142,0.822,1.0475,1.1401,2.8417,25
B,3,9,DLinear,55.812,35.499,0.278,0.289,457,0.235,0.112,0.8655,0.8826,1.1658,3.1675,25
B,7,9,DLinear,57.43,36.974,0.241,1.732,453,0.337,0.09,0.8978,0.7772,1.1726,3.436,25
B,14,9,DLinear,58.846,38.991,0.21,5.841,447,0.311,0.073,0.9366,0.7918,1.1363,3.7292,25
B,1,2,DLinear,67.499,52.089,-1.157,30.885,246,-0.407,-0.395,1.7806,1.9595,1.3951,5.0281,15
B,3,2,DLinear,55.066,39.537,-0.425,13.29,244,-0.065,-0.135,1.3446,1.4139,1.2951,4.1976,15
B,7,2,DLinear,46.39,30.869,-0.2,-3.352,240,0.143,-0.02,1.0969,0.9866,1.2692,3.1686,15
B,14,2,DLinear,68.228,49.087,-1.636,-30.921,233,-0.136,-0.491,1.8149,1.363,1.6966,3.9759,15
A,1,4,LSTM,162.215,79.697,-0.4,24.98,1160,-0.151,-0.162,1.6763,1.5475,1.4886,7.4252,81
A,6,4,LSTM,127.006,60.754,-0.172,-21.012,1166,0.148,-0.066,1.2711,0.9314,1.4748,3.7423,68
A,12,4,LSTM,146.04,67.291,-0.549,-16.554,1165,-0.147,-0.225,1.4081,1.0816,1.4884,4.2456,68
A,24,4,LSTM,137.625,66.697,-0.375,-18.442,1165,0.038,-0.154,1.3957,1.0366,1.5002,4.2437,68
A,48,4,LSTM,141.408,67.657,-0.45,-17.748,1163,0.032,-0.185,1.4147,0.9824,1.5019,4.3336,68
A,1,9,LSTM,179.095,86.032,-0.407,21.427,984,-0.186,-0.197,1.5358,1.5185,1.4266,4.7946,54
A,6,9,LSTM,140.623,64.977,-0.033,-4.821,980,0.186,-0.028,1.1435,0.8814,1.4065,4.509,55
A,12,9,LSTM,142.054,64.602,-0.054,-7.875,980,0.191,-0.039,1.1369,0.8014,1.4162,4.1011,55
A,24,9,LSTM,149.057,65.413,-0.161,-8.659,980,0.137,-0.09,1.1512,0.8932,1.4228,3.9928,55
A,48,9,LSTM,149.861,65.571,-0.173,-9.24,980,0.128,-0.096,1.154,0.8593,1.4219,3.9631,55
A,1,2,LSTM,94.017,47.546,-0.253,-17.492,485,0.375,-0.171,1.279,1.3727,1.5243,3.7745,31
