bin,n,R2,MAE,MASE,model,max_features,min_samples_leaf,anchor_year,max_depth,learning_rate,min_child_weight,num_leaves,min_child_samples
91-180,90,0.09,54.849,0.8452,XGB,,,2021,2.0,0.01,20.0,,
181-270,88,0.269,65.054,0.9593,XGB,,,2021,2.0,0.01,20.0,,
271-365,91,-0.397,29.655,1.4235,XGB,,,2021,2.0,0.01,20.0,,
1-7,3,-1.933,3.707,1.4935,XGB,,,2021,2.0,0.02,5.0,,
8-30,19,-0.147,14.837,1.1674,XGB,,,2021,2.0,0.02,5.0,,
31-90,50,-0.108,15.816,1.218,XGB,,,2021,2.0,0.02,5.0,,
91-180,90,0.125,57.887,0.8921,XGB,,,2021,2.0,0.02,5.0,,
181-270,88,0.341,63.298,0.9334,XGB,,,2021,2.0,0.02,5.0,,
271-365,91,-0.523,31.609,1.5173,XGB,,,2021,2.0,0.02,5.0,,
1-7,3,-1.803,3.57,1.4383,XGB,,,2021,2.0,0.02,10.0,,
8-30,19,-0.17,15.013,1.1813,XGB,,,2021,2.0,0.02,10.0,,
31-90,50,-0.098,15.677,1.2073,XGB,,,2021,2.0,0.02,10.0,,
91-180,90,0.137,58.427,0.9004,XGB,,,2021,2.0,0.02,10.0,,
181-270,88,0.322,65.564,0.9669,XGB,,,2021,2.0,0.02,10.0,,
271-365,91,-0.514,31.416,1.508,XGB,,,2021,2.0,0.02,10.0,,
1-7,3,-1.172,3.091,1.2454,XGB,,,2021,2.0,0.02,20.0,,
8-30,19,-0.15,14.944,1.1759,XGB,,,2021,2.0,0.02,20.0,,
31-90,50,-0.114,15.725,1.211,XGB,,,2021,2.0,0.02,20.0,,
91-180,90,0.124,58.603,0.9031,XGB,,,2021,2.0,0.02,20.0,,
181-270,88,0.176,71.76,1.0582,XGB,,,2021,2.0,0.02,20.0,,
271-365,91,-1.222,35.843,1.7206,XGB,,,2021,2.0,0.02,20.0,,
1-7,3,-1.768,3.309,1.3333,XGB,,,2021,3.0,0.01,5.0,,
8-30,19,-0.342,15.924,1.2529,XGB,,,2021,3.0,0.01,5.0,,
31-90,50,-0.225,17.76,1.3677,XGB,,,2021,3.0,0.01,5.0,,
91-180,90,0.167,53.446,0.8236,XGB,,,2021,3.0,0.01,5.0,,
181-270,88,0.317,65.08,0.9597,XGB,,,2021,3.0,0.01,5.0,,
271-365,91,-0.25,28.765,1.3808,XGB,,,2021,3.0,0.01,5.0,,
1-7,3,-1.622,3.256,1.3117,XGB,,,2021,3.0,0.01,10.0,,
8-30,19,-0.357,16.023,1.2607,XGB,,,2021,3.0,0.01,10.0,,
31-90,50,-0.244,18.058,1.3907,XGB,,,2021,3.0,0.01,10.0,,
91-180,90,0.163,53.621,0.8263,XGB,,,2021,3.0,0.01,10.0,,
181-270,88,0.294,65.842,0.971,XGB,,,2021,3.0,0.01,10.0,,
271-365,91,-0.241,28.8,1.3825,XGB,,,2021,3.0,0.01,10.0,,
1-7,3,-1.534,3.203,1.2902,XGB,,,2021,3.0,0.01,20.0,,
8-30,19,-0.332,15.867,1.2485,XGB,,,2021,3.0,0.01,20.0,,
31-90,50,-0.19,17.477,1.3459,XGB,,,2021,3.0,0.01,20.0,,
91-180,90,0.157,53.827,0.8295,XGB,,,2021,3.0,0.01,20.0,,
181-270,88,0.303,64.948,0.9578,XGB,,,2021,3.0,0.01,20.0,,
271-365,91,-0.23,28.561,1.371,XGB,,,2021,3.0,0.01,20.0,,
1-7,3,-1.54,3.514,1.4155,XGB,,,2021,3.0,0.02,5.0,,
8-30,19,-0.391,15.914,1.2522,XGB,,,2021,3.0,0.02,5.0,,
31-90,50,-0.249,17.669,1.3607,XGB,,,2021,3.0,0.02,5.0,,
91-180,90,0.212,52.707,0.8122,XGB,,,2021,3.0,0.02,5.0,,
181-270,88,0.349,63.644,0.9385,XGB,,,2021,3.0,0.02,5.0,,
271-365,91,-0.481,31.978,1.535,XGB,,,2021,3.0,0.02,5.0,,
1-7,3,-1.426,3.511,1.4147,XGB,,,2021,3.0,0.02,10.0,,
8-30,19,-0.381,16.03,1.2613,XGB,,,2021,3.0,0.02,10.0,,
31-90,50,-0.212,17.284,1.331,XGB,,,2021,3.0,0.02,10.0,,
91-180,90,0.198,53.144,0.819,XGB,,,2021,3.0,0.02,10.0,,
181-270,88,0.348,63.649,0.9386,XGB,,,2021,3.0,0.02,10.0,,
271-365,91,-0.353,30.25,1.4521,XGB,,,2021,3.0,0.02,10.0,,
1-7,3,-1.687,3.66,1.4743,XGB,,,2021,3.0,0.02,20.0,,
8-30,19,-0.415,16.146,1.2704,XGB,,,2021,3.0,0.02,20.0,,
31-90,50,-0.196,17.191,1.3239,XGB,,,2021,3.0,0.02,20.0,,
91-180,90,0.21,52.605,0.8107,XGB,,,2021,3.0,0.02,20.0,,
181-270,88,0.349,62.668,0.9242,XGB,,,2021,3.0,0.02,20.0,,
271-365,91,-0.378,31.285,1.5018,XGB,,,2021,3.0,0.02,20.0,,
1-7,3,-0.606,2.728,1.0991,LGB,,,2021,,0.02,,7.0,10.0
8-30,19,-0.214,14.677,1.1549,LGB,,,2021,,0.02,,7.0,10.0
31-90,50,-0.056,14.612,1.1253,LGB,,,2021,,0.02,,7.0,10.0
91-180,90,0.193,55.597,0.8568,LGB,,,2021,,0.02,,7.0,10.0
181-270,88,0.335,65.155,0.9608,LGB,,,2021,,0.02,,7.0,10.0
271-365,91,-0.582,32.368,1.5538,LGB,,,2021,,0.02,,7.0,10.0
1-7,3,-2.648,4.252,1.7131,LGB,,,2021,,0.05,,7.0,10.0
8-30,19,-0.912,19.555,1.5387,LGB,,,2021,,0.05,,7.0,10.0
31-90,50,-0.124,16.238,1.2505,LGB,,,2021,,0.05,,7.0,10.0
91-180,90,0.218,52.578,0.8102,LGB,,,2021,,0.05,,7.0,10.0
181-270,88,0.258,67.387,0.9937,LGB,,,2021,,0.05,,7.0,10.0
271-365,91,-0.77,34.701,1.6658,LGB,,,2021,,0.05,,7.0,10.0
1-7,3,-0.65,2.906,1.1709,LGB,,,2021,,0.02,,7.0,20.0
8-30,19,-0.282,15.176,1.1941,LGB,,,2021,,0.02,,7.0,20.0
31-90,50,-0.07,14.696,1.1317,LGB,,,2021,,0.02,,7.0,20.0
91-180,90,0.162,54.633,0.8419,LGB,,,2021,,0.02,,7.0,20.0
181-270,88,0.345,63.746,0.94,LGB,,,2021,,0.02,,7.0,20.0
271-365,91,-0.662,33.65,1.6153,LGB,,,2021,,0.02,,7.0,20.0
1-7,3,-5.294,5.689,2.2921,LGB,,,2021,,0.05,,7.0,20.0
8-30,19,-0.738,18.031,1.4188,LGB,,,2021,,0.05,,7.0,20.0
31-90,50,-0.215,16.848,1.2975,LGB,,,2021,,0.05,,7.0,20.0
91-180,90,0.225,52.369,0.807,LGB,,,2021,,0.05,,7.0,20.0
