tower,anchor_year,RMSE,MAE,MASE,WAPE,Correlation,R2
2,2018,18.435627450980395,13.00764705882353,0.23976274509803921,0.9568911764705882,0.1810686274509804,-0.21883333333333332
2,2019,,,,,,
2,2020,,,,,,
2,2021,,,,,,
2,2022,,,,,,
4,2018,55.08581749049429,34.458209125475285,1.129071482889734,1.390703422053232,-0.020752851711026615,-1.0877072243346007
4,2019,58.00875545851529,34.179467248908296,0.8450847161572052,0.8462567685589519,0.4252227074235808,-0.15750655021834062
4,2020,67.35342965779466,33.134384030418246,0.9365783269961978,0.8285939163498097,0.2594220532319392,-0.05539923954372624
4,2021,64.43107917888562,39.168865102639295,0.9723703812316716,0.8417539589442815,0.4245307917888563,-0.2514222873900293
4,2022,38.54719642857143,24.004580357142856,0.9220611607142857,0.981488392857143,0.38361160714285714,0.10211607142857144
9,2018,,,,,,
9,2019,91.60180512820513,56.284815384615385,1.0873707692307693,1.0,0.15641538461538462,-0.459948717948718
9,2020,63.698358267716536,35.62181102362205,0.9142232283464566,1.0036122047244094,0.08208267716535433,-0.5077874015748032
9,2021,76.10027777777778,48.224344444444455,0.8094522222222222,0.7996211111111111,0.4192388888888888,-0.21710555555555555
9,2022,36.77829889298893,25.97346863468635,0.9961833948339482,1.0206645756457564,0.3072656826568266,-0.06336531365313655
