bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,config,anchor_year,tower
1-7,0,,,,,,,RF,BASE,2018,9
8-30,0,,,,,,,RF,BASE,2018,9
31-90,0,,,,,,,RF,BASE,2018,9
91-180,0,,,,,,,RF,BASE,2018,9
181-270,0,,,,,,,RF,BASE,2018,9
271-365,0,,,,,,,RF,BASE,2018,9
1-7,0,,,,,,,XGB,BASE,2018,9
8-30,0,,,,,,,XGB,BASE,2018,9
31-90,0,,,,,,,XGB,BASE,2018,9
91-180,0,,,,,,,XGB,BASE,2018,9
181-270,0,,,,,,,XGB,BASE,2018,9
271-365,0,,,,,,,XGB,BASE,2018,9
1-7,0,,,,,,,LightGBM,BASE,2018,9
8-30,0,,,,,,,LightGBM,BASE,2018,9
31-90,0,,,,,,,LightGBM,BASE,2018,9
91-180,0,,,,,,,LightGBM,BASE,2018,9
181-270,0,,,,,,,LightGBM,BASE,2018,9
271-365,0,,,,,,,LightGBM,BASE,2018,9
1-7,0,,,,,,,SARIMAX,BASE,2018,9
8-30,0,,,,,,,SARIMAX,BASE,2018,9
31-90,0,,,,,,,SARIMAX,BASE,2018,9
91-180,0,,,,,,,SARIMAX,BASE,2018,9
181-270,0,,,,,,,SARIMAX,BASE,2018,9
271-365,0,,,,,,,SARIMAX,BASE,2018,9
1-7,0,,,,,,,Ensemble_unweighted,BASE,2018,9
8-30,0,,,,,,,Ensemble_unweighted,BASE,2018,9
31-90,0,,,,,,,Ensemble_unweighted,BASE,2018,9
91-180,0,,,,,,,Ensemble_unweighted,BASE,2018,9
181-270,0,,,,,,,Ensemble_unweighted,BASE,2018,9
271-365,0,,,,,,,Ensemble_unweighted,BASE,2018,9
1-7,0,,,,,,,Ensemble_MASEweighted,BASE,2018,9
8-30,0,,,,,,,Ensemble_MASEweighted,BASE,2018,9
31-90,0,,,,,,,Ensemble_MASEweighted,BASE,2018,9
91-180,0,,,,,,,Ensemble_MASEweighted,BASE,2018,9
181-270,0,,,,,,,Ensemble_MASEweighted,BASE,2018,9
