timestamp,TabPFN
2021-12-17,10.437032
2021-12-18,10.798998
2021-12-19,10.939641
2021-12-20,10.733696
2021-12-21,11.61197
2021-12-22,10.256828
2021-12-23,10.034455
2021-12-24,8.650726
2021-12-25,9.569537
2021-12-26,7.893928
2021-12-27,10.0320015
2021-12-28,12.38653
2021-12-29,11.261191
2021-12-30,11.501079
2021-12-31,11.792793
2022-01-01,12.517552
2022-01-02,12.430913
2022-01-03,11.311828
2022-01-04,12.747601
2022-01-05,8.01768
2022-01-06,8.635461
2022-01-07,10.589599
2022-01-08,13.422589
2022-01-09,10.186576
2022-01-10,10.34434
2022-01-11,9.781741
2022-01-12,9.978163
2022-01-13,11.024908
2022-01-14,14.973872
2022-01-15,7.927597
2022-01-16,13.865091
2022-01-17,8.638715
2022-01-18,8.654505
2022-01-19,10.617963
2022-01-20,8.262209
2022-01-21,7.167668
2022-01-22,8.815386
2022-01-23,8.829303
2022-01-24,9.590372
2022-01-25,12.302898
2022-01-26,9.3813715
2022-01-27,11.55252
2022-01-28,11.838193
2022-01-29,13.962411
2022-01-30,10.142918
2022-01-31,11.752447
2022-02-01,14.32149
2022-02-02,12.994605
2022-02-03,12.001907
2022-02-04,12.710097
2022-02-05,10.588291
2022-02-06,13.715173
2022-02-07,10.96854
2022-02-08,11.507442
2022-02-09,13.219462
2022-02-10,9.817646
2022-02-11,6.9375553
2022-02-12,7.23954
2022-02-13,10.046489
2022-02-14,11.501568
2022-02-15,10.564279
2022-02-16,12.398995
2022-02-17,8.829158
2022-02-18,10.209406
2022-02-19,8.524951
2022-02-20,11.375666
2022-02-21,9.886502
2022-02-22,10.982628
2022-02-23,7.979254
2022-02-24,10.710071
2022-02-25,8.385073
2022-02-26,8.857135
2022-02-27,7.597449
2022-02-28,8.081895
2022-03-01,20.111366
2022-03-02,11.735578
2022-03-03,14.266758
2022-03-04,11.148659
2022-03-05,9.766265
2022-03-06,14.232102
2022-03-07,10.59494
2022-03-08,7.8481507
2022-03-09,7.4508567
2022-03-10,8.639305
2022-03-11,8.420302
2022-03-12,7.3120227
2022-03-13,7.520343
2022-03-14,10.990894
2022-03-15,13.229859
2022-03-16,14.672286
2022-03-17,9.827875
2022-03-18,12.530895
2022-03-19,10.052765
2022-03-20,10.2211485
2022-03-21,10.884451
2022-03-22,10.789021
2022-03-23,13.628033
2022-03-24,15.414508
2022-03-25,14.872562
2022-03-26,14.432642
2022-03-27,10.92657
2022-03-28,14.184387
2022-03-29,16.645681
2022-03-30,15.250852
