Datetime,RF_tuned,XGB_tuned,LightGBM_tuned,SARIMAX,Ensemble_4model_tuned,anchor_year
2018-12-17,32.875351899689605,28.090770721435547,27.479891751352884,43.841145927834546,33.07179007507814,2018
2018-12-18,46.04341085957093,53.337379455566406,62.755817957237745,40.527057494545694,50.6659164417302,2018
2018-12-19,36.75177405634677,37.01757049560547,38.466093844193615,45.51307100938989,39.437127351383936,2018
2018-12-20,36.226523570051626,31.132925033569336,36.51422262457453,41.78991218393091,36.4158958530316,2018
2018-12-21,42.9387990639977,55.907020568847656,70.43358330494667,49.08166001761603,54.59026573885201,2018
2018-12-22,34.82572320291575,35.12474060058594,33.479436281575424,45.7077068042973,37.2844017223436,2018
2018-12-23,37.697247412189384,34.461570739746094,28.307165384032842,46.15539491816629,36.65534461353365,2018
2018-12-24,35.480499550496276,31.773086547851562,32.75884938940425,45.2288642336404,36.31032493034812,2018
2018-12-25,34.557011872585,31.590988159179688,33.330097919871946,43.619934622526486,35.774508143540785,2018
2018-12-26,34.10690950550216,31.19770622253418,29.24033662820976,42.416562590764336,34.24037873675261,2018
2018-12-27,31.49674411319996,29.685211181640625,28.456656942066132,36.68866565456236,31.581819472867267,2018
2018-12-28,31.40137657736567,29.861244201660156,30.84403053381387,39.46360030066559,32.892562903376316,2018
2018-12-29,30.812440406939402,30.35093879699707,31.44465911461046,47.08779730922219,34.92395890694228,2018
2018-12-30,28.690685641084197,28.643159866333008,23.673643318134648,43.20154161286541,31.052257609604318,2018
2018-12-31,29.97550034434287,30.71710968017578,24.941735493842497,45.893339034552405,32.881921138228385,2018
2019-01-01,30.48201200698025,30.481468200683594,29.504817021084374,44.87476920194093,33.835766607672284,2018
2019-01-02,31.946205222580893,30.162460327148438,30.425921960200757,40.62454110338194,33.289782153328005,2018
2019-01-03,31.877432758388988,30.527841567993164,33.60076792687342,37.39752577646826,33.35089200743096,2018
2019-01-04,19.22783167578958,20.78814697265625,23.809328248182247,15.431409172646017,19.814179017318523,2018
2019-01-05,16.90175531594749,17.618947982788086,19.67909833795772,18.18355667266149,18.095839577338694,2018
2019-01-06,16.296805515914762,16.30866813659668,14.59852350216126,22.342416565387722,17.386603430015107,2018
