tower,RMSE,MAE,MASE,WAPE,Correlation,R2
2,18.435627450980395,13.00764705882353,0.23976274509803921,0.9568911764705882,0.1810686274509804,-0.21883333333333332
4,56.685255642852255,32.9891011729168,0.9610332135978188,0.9777592917526835,0.2944068615752414,-0.2899838460116251
9,67.04468501667209,41.52610987184206,0.951807403658349,0.9559744728703192,0.24125065833161358,-0.31205174718305334
