date,RF,XGB,LightGBM,SARIMAX,Ensemble_unweighted,Ensemble_MASEweighted,y_true,y_gapfilled,persistence,tower,anchor_year,variant,TabPFN,TabICLv2,TFT,DLinear,LSTM,y_true_tft
2018-12-17,33.57967902634337,40.34873962402344,38.85271746931371,38.59639621786267,37.8443830843858,37.88890677005349,18.70908835605556,20.960429166666668,54.91721666666666,2,2018,A_removal,12.473426818847656,26.794544,14.467208517041628,45.36507679417548,15.143607918539828,18.70909
2018-12-18,51.72871468286513,51.40496063232422,49.59962389567585,34.480726095945464,46.80350632670267,46.94133640259898,35.149889121928574,32.9244375,54.91721666666666,2,2018,A_removal,12.844021797180176,32.581406,17.72919211502233,39.37740697397032,17.152258794652198,35.14989
2018-12-19,35.52168294843629,40.98933792114258,40.20349262738495,33.48060149336558,37.54877874758235,37.64135684684424,20.564511855705884,21.9152625,54.91721666666666,2,2018,A_removal,10.135108947753906,15.6039715,16.52131793416845,31.34013168404681,11.507174086042824,20.564512
2018-12-20,32.51124966546457,34.669830322265625,35.539161856951694,33.275856320522344,33.999024541301054,34.02859894124352,21.31585997685,59.83865,54.91721666666666,2,2018,A_removal,8.775219917297363,16.139753,12.45032588522622,24.046372957705103,4.664560185959772,21.31586
2018-12-21,23.05286879080585,22.766626358032227,24.38990149595013,16.925429507061867,21.78370653796252,21.843581123574083,8.646292532607143,10.355054166666667,54.91721666666666,2,2018,A_removal,1.489536166191101,6.9808025,10.724068586468888,0.8865634833032345,2.6884326518761554,8.646293
2018-12-22,18.6197913675091,17.069114685058594,19.472222592546505,16.97576593551669,18.034223645157724,18.04059777743469,4.645622667038461,5.962599999999999,54.91721666666666,2,2018,A_removal,2.669188976287842,3.9403062,19.588036174120816,23.78542772416347,18.129366962884205,4.6456227
2018-12-23,37.264796020890735,27.043601989746094,32.944720083646985,17.039443318038344,28.57314035308054,28.63979017787124,,81.17115416666667,54.91721666666666,2,2018,A_removal,1.0775822401046753,5.203001,11.123834921669754,-9.7128415799898,12.881537124909984,
2018-12-24,20.404194487054543,19.3355712890625,24.19444626813866,17.10659225438842,20.26020107466103,20.30275120511274,,11.309029166666669,54.91721666666666,2,2018,A_removal,1.4882378578186035,2.2713838,16.006780930700188,1.76545562436786,25.707341875960932,
2018-12-25,18.875367597608484,17.00893783569336,19.472222592546505,17.174678466789466,18.13280162315945,18.13546699537706,23.430924851857142,21.3093375,54.91721666666666,2,2018,A_removal,1.0659422874450684,3.3626447,16.143928992045062,42.94248495881675,17.038559195397966,23.430925
2018-12-26,20.34740287311726,15.557245254516602,17.753620235186272,17.243039976140274,17.7253270847401,17.69658614852407,20.941292970611112,14.657541666666669,54.91721666666666,2,2018,A_removal,3.089106321334839,3.3888435,14.741866647747544,14.007320993147232,19.750811779373976,20.941294
2018-12-27,16.335309153997837,13.858471870422363,16.206153797678184,17.3114927029745,15.927856881268225,15.897234439538074,26.19202691092857,21.390625,54.91721666666666,2,2018,A_removal,3.132711887359619,0.7634878,15.077075475362676,20.78558364041578,16.564984154819967,26.192026
2018-12-28,16.970332966427954,13.996582984924316,14.057875497980136,17.379974547052818,15.601191499096306,15.554896964577477,29.94466230940909,30.324125,54.91721666666666,2,2018,A_removal,4.006126880645752,1.5941858,15.619810254451297,1.181197928898655,10.15967548791332,29.944662
2018-12-29,18.220360455753468,14.184739112854004,14.057875497980136,17.448454542001123,15.977857402147182,15.925583184601935,1.0451481868888888,3.606079166666667,54.91721666666666,2,2018,A_removal,2.05286717414856,1.777679,7.675630868386634,28.91424592496969,2.408105681412508,1.0451481
2018-12-30,18.619938292649877,13.524968147277832,14.057875497980136,17.51690967121583,15.929922902280918,15.8691648589327,,6.131912499999999,54.91721666666666,2,2018,A_removal,2.299583673477173,0.95373344,12.40294874832,15.674871367008564,9.7309983747175,
2018-12-31,19.44608491233809,14.184739112854004,13.913316035724176,17.5853189545265,16.282364753860694,16.221175051937205,2.3515349025416667,3.102370833333333,54.91721666666666,2,2018,A_removal,1.7539974451065063,0.85765696,-0.7107987009421777,1.745417659434679,2.5644822597409984,2.3515348
2019-01-01,18.71675392397049,13.405816078186035,13.894929933265187,17.6536619432732,15.917790469673728,15.853294643852724,-5.369030695966667,-2.6617875,54.91721666666666,2,2018,A_removal,1.6865990161895752,3.6765642,-0.4171307346555295,15.365087429041068,9.649817004027,-5.3690305
2019-01-02,18.094551704314046,13.12279987335205,13.704310076632355,17.721918340642667,15.66089499873528,15.595719860723706,1.6130913782857144,6.143154166666666,54.91721666666666,2,2018,A_removal,1.5688984394073486,2.5566773,12.233892770662235,2.527651675675316,31.57710531315651,1.6130913
2019-01-03,21.136771479911943,12.69412326812744,13.424118388763508,17.790067909225556,16.261270261507114,16.173176113333625,25.9850464875,20.74059583333333,54.91721666666666,2,2018,A_removal,1.5285284519195557,1.8431497,10.667929089678635,-9.22892370416048,26.466023272309883,25.985046
2019-01-04,18.32415856574618,11.331494331359863,13.0960894811063,17.858090451881722,15.152458207523516,15.065871563942444,-4.380738653249999,4.5301125,54.91721666666666,2,2018,A_removal,1.1155133247375488,1.8958187,10.583667750656788,16.603970916636626,20.471367180518317,-4.3807387
2019-01-05,18.21730824707498,11.238595008850098,12.11881318212397,17.92596581131017,14.875170562339804,14.782006195716429,2.7963399130416664,5.033554166666667,54.91721666666666,2,2018,A_removal,1.5505318641662598,2.5408874,10.11880531057784,19.783232852102287,8.082144533465225,2.79634
2019-01-06,18.08067176004512,11.238595008850098,12.12920178972793,17.99367387438469,14.86053560825196,14.767594399580233,3.1412098474545456,3.1575166666666665,54.91721666666666,2,2018,A_removal,1.1288522481918335,3.1537833,-9.83939414841302,-7.358772732659418,-3.939886156061675,3.1412098
2019-01-07,17.947013697467476,11.162579536437988,11.068627687297766,18.06119457769583,14.559853874724766,14.46013985757389,4.396572144333333,6.2659125,54.91721666666666,2,2018,A_removal,2.13020133972168,3.751021,-9.511171192563552,-18.814649097383608,1.0806024360076665,4.396572
2019-01-08,16.536077636769228,10.816853523254396,11.068627687297766,18.128507913389456,14.137516690177712,14.042126972326011,3.134654957076924,3.106208333333333,54.91721666666666,2,2018,A_removal,2.280125856399536,3.7512894,11.958236910545908,3.676483635255408,22.41512136754716,3.134655
2019-01-09,15.958830049667288,10.654278755187988,11.058239079693807,18.195593935068256,13.966735454904336,13.872521509808765,16.851149742666667,11.953895833333334,54.91721666666666,2,2018,A_removal,3.0870156288146973,3.3882084,11.337991800463785,6.840590112639802,24.271750633041503,16.85115
2019-01-10,14.958982033810823,10.654278755187988,11.058239079693807,18.26243276369536,13.733483158096996,13.64425954319836,7.1774120194375,6.562220833333334,54.91721666666666,2,2018,A_removal,2.5624043941497803,2.639339,11.671987459751564,-1.4276169278782618,17.65892818085308,7.177412
2019-01-11,14.64931177228393,11.162579536437988,11.147434862236386,18.329004593483138,13.82208269111036,13.73887300516597,-0.4730029913333335,1.5214875,54.91721666666666,2,2018,A_removal,4.545018196105957,4.3056517,3.5120724867638278,5.161058890231743,4.25595853644063,-0.473003
2019-01-12,14.654968803286522,11.162579536437988,11.068627687297766,18.395289697761623,13.820366431195977,13.736070605139478,5.846134107666667,5.821558333333333,54.91721666666666,2,2018,A_removal,4.4738874435424805,4.825558,-0.9775403343969628,-5.984580142626328,2.9617575842362385,5.846134
