tower,anchor_year,model,bin,n,R2,RMSE,MAE,WAPE,Correlation,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf
2,2018,XGB,1-7,6,-2.532,18.444,17.909,0.9855,0.92,0.4874,1.2645,2.1857
2,2018,XGB,181-270,0,,,,,,,,
2,2018,XGB,271-365,0,,,,,,,,
2,2018,XGB,31-90,32,-0.612,16.328,12.656,1.0899,-0.126,0.2783,0.9219,0.9121
2,2018,XGB,8-30,21,0.08,10.05,9.227,0.9908,0.532,0.1981,0.2896,0.7755
2,2018,XGB,91-180,43,-0.697,29.751,22.603,1.4265,0.214,0.3677,0.3727,0.5129
2,2019,DLinear,1-7,0,,,,,,,,
2,2019,DLinear,181-270,0,,,,,,,,
2,2019,DLinear,271-365,0,,,,,,,,
2,2019,DLinear,31-90,0,,,,,,,,
2,2019,DLinear,8-30,0,,,,,,,,
2,2019,DLinear,91-180,0,,,,,,,,
2,2019,Ensemble_MASEweighted,1-7,0,,,,,,,,
2,2019,Ensemble_MASEweighted,181-270,0,,,,,,,,
2,2019,Ensemble_MASEweighted,271-365,0,,,,,,,,
2,2019,Ensemble_MASEweighted,31-90,0,,,,,,,,
2,2019,Ensemble_MASEweighted,8-30,0,,,,,,,,
2,2019,Ensemble_MASEweighted,91-180,0,,,,,,,,
2,2019,Ensemble_unweighted,1-7,0,,,,,,,,
2,2019,Ensemble_unweighted,181-270,0,,,,,,,,
2,2019,Ensemble_unweighted,271-365,0,,,,,,,,
2,2019,Ensemble_unweighted,31-90,0,,,,,,,,
2,2019,Ensemble_unweighted,8-30,0,,,,,,,,
2,2019,Ensemble_unweighted,91-180,0,,,,,,,,
2,2019,LSTM,1-7,0,,,,,,,,
2,2019,LSTM,181-270,0,,,,,,,,
2,2019,LSTM,271-365,0,,,,,,,,
2,2019,LSTM,31-90,0,,,,,,,,
2,2019,LSTM,8-30,0,,,,,,,,
2,2019,LSTM,91-180,0,,,,,,,,
2,2019,LightGBM,1-7,0,,,,,,,,
2,2019,LightGBM,181-270,0,,,,,,,,
2,2019,LightGBM,271-365,0,,,,,,,,
2,2019,LightGBM,31-90,0,,,,,,,,
2,2019,LightGBM,8-30,0,,,,,,,,
2,2019,LightGBM,91-180,0,,,,,,,,
2,2019,RF,1-7,0,,,,,,,,
2,2019,RF,181-270,0,,,,,,,,
2,2019,RF,271-365,0,,,,,,,,
2,2019,RF,31-90,0,,,,,,,,
2,2019,RF,8-30,0,,,,,,,,
2,2019,RF,91-180,0,,,,,,,,
2,2019,SARIMAX,1-7,0,,,,,,,,
2,2019,SARIMAX,181-270,0,,,,,,,,
2,2019,SARIMAX,271-365,0,,,,,,,,
2,2019,SARIMAX,31-90,0,,,,,,,,
2,2019,SARIMAX,8-30,0,,,,,,,,
2,2019,SARIMAX,91-180,0,,,,,,,,
2,2019,TFT,1-7,0,,,,,,,,
2,2019,TFT,181-270,0,,,,,,,,
2,2019,TFT,271-365,0,,,,,,,,
2,2019,TFT,31-90,0,,,,,,,,
2,2019,TFT,8-30,0,,,,,,,,
2,2019,TFT,91-180,0,,,,,,,,
2,2019,TabICLv2,1-7,0,,,,,,,,
2,2019,TabICLv2,181-270,0,,,,,,,,
2,2019,TabICLv2,271-365,0,,,,,,,,
2,2019,TabICLv2,31-90,0,,,,,,,,
2,2019,TabICLv2,8-30,0,,,,,,,,
2,2019,TabICLv2,91-180,0,,,,,,,,
2,2019,TabPFN,1-7,0,,,,,,,,
2,2019,TabPFN,181-270,0,,,,,,,,
2,2019,TabPFN,271-365,0,,,,,,,,
2,2019,TabPFN,31-90,0,,,,,,,,
2,2019,TabPFN,8-30,0,,,,,,,,
2,2019,TabPFN,91-180,0,,,,,,,,
2,2019,XGB,1-7,0,,,,,,,,
2,2019,XGB,181-270,0,,,,,,,,
2,2019,XGB,271-365,0,,,,,,,,
2,2019,XGB,31-90,0,,,,,,,,
2,2019,XGB,8-30,0,,,,,,,,
2,2019,XGB,91-180,0,,,,,,,,
2,2020,DLinear,1-7,0,,,,,,,,
2,2020,DLinear,181-270,0,,,,,,,,
2,2020,DLinear,271-365,0,,,,,,,,
2,2020,DLinear,31-90,0,,,,,,,,
2,2020,DLinear,8-30,0,,,,,,,,
2,2020,DLinear,91-180,0,,,,,,,,
2,2020,Ensemble_MASEweighted,1-7,0,,,,,,,,
2,2020,Ensemble_MASEweighted,181-270,0,,,,,,,,
2,2020,Ensemble_MASEweighted,271-365,0,,,,,,,,
2,2020,Ensemble_MASEweighted,31-90,0,,,,,,,,
2,2020,Ensemble_MASEweighted,8-30,0,,,,,,,,
2,2020,Ensemble_MASEweighted,91-180,0,,,,,,,,
2,2020,Ensemble_unweighted,1-7,0,,,,,,,,
2,2020,Ensemble_unweighted,181-270,0,,,,,,,,
2,2020,Ensemble_unweighted,271-365,0,,,,,,,,
2,2020,Ensemble_unweighted,31-90,0,,,,,,,,
2,2020,Ensemble_unweighted,8-30,0,,,,,,,,
2,2020,Ensemble_unweighted,91-180,0,,,,,,,,
2,2020,LSTM,1-7,0,,,,,,,,
2,2020,LSTM,181-270,0,,,,,,,,
2,2020,LSTM,271-365,0,,,,,,,,
2,2020,LSTM,31-90,0,,,,,,,,
2,2020,LSTM,8-30,0,,,,,,,,
2,2020,LSTM,91-180,0,,,,,,,,
