tower,anchor_year,model,bin,n,R2,RMSE,MAE,WAPE,Correlation,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf
4,2019,Ensemble_MASEweighted,271-365,66,0.155,48.504,20.145,0.7633,0.42,0.7618,0.8494,0.7338
4,2019,Ensemble_MASEweighted,31-90,32,-0.127,23.793,17.256,0.79,0.219,0.7886,0.9316,1.1058
4,2019,Ensemble_MASEweighted,8-30,8,-2.866,65.149,53.592,1.4001,-0.646,1.4014,1.2916,1.1846
4,2019,Ensemble_MASEweighted,91-180,62,0.202,78.218,48.596,0.6397,0.483,0.6391,0.7887,0.8411
4,2019,Ensemble_unweighted,1-7,0,,,,,,,,
4,2019,Ensemble_unweighted,181-270,61,0.573,23.687,16.725,0.5945,0.771,0.5938,0.4243,0.3476
4,2019,Ensemble_unweighted,271-365,66,0.156,48.484,20.146,0.7634,0.421,0.7618,0.8494,0.7338
4,2019,Ensemble_unweighted,31-90,32,-0.123,23.749,17.236,0.7891,0.217,0.7876,0.9305,1.1045
4,2019,Ensemble_unweighted,8-30,8,-2.857,65.073,53.515,1.3981,-0.643,1.3994,1.2897,1.1829
4,2019,Ensemble_unweighted,91-180,62,0.203,78.196,48.61,0.6398,0.483,0.6393,0.7889,0.8414
4,2019,LSTM,1-7,0,,,,,,,,
4,2019,LSTM,181-270,61,0.087,34.62,21.342,0.7587,0.48,0.7577,0.5415,0.4435
4,2019,LSTM,271-365,66,-0.098,55.279,25.198,0.9548,0.311,0.9529,1.0624,0.9178
4,2019,LSTM,31-90,32,-0.019,22.621,17.699,0.8103,0.074,0.8088,0.9555,1.1342
4,2019,LSTM,8-30,8,-1.7,54.442,42.995,1.1232,-0.242,1.1243,1.0362,0.9504
4,2019,LSTM,91-180,62,-0.191,95.592,59.924,0.7888,0.394,0.7881,0.9726,1.0372
4,2019,LightGBM,1-7,0,,,,,,,,
4,2019,LightGBM,181-270,61,0.57,23.767,16.798,0.5971,0.766,0.5963,0.4262,0.3491
4,2019,LightGBM,271-365,66,0.12,49.495,20.234,0.7667,0.379,0.7651,0.8531,0.737
4,2019,LightGBM,31-90,32,-0.251,25.066,18.159,0.8314,0.272,0.8298,0.9804,1.1637
4,2019,LightGBM,8-30,8,-2.896,65.403,54.476,1.4232,-0.467,1.4245,1.3129,1.2041
4,2019,LightGBM,91-180,62,0.184,79.1,47.721,0.6281,0.492,0.6276,0.7745,0.826
4,2019,RF,1-7,0,,,,,,,,
4,2019,RF,181-270,61,0.52,25.094,18.775,0.6674,0.751,0.6665,0.4764,0.3902
4,2019,RF,271-365,66,0.183,47.692,20.438,0.7744,0.504,0.7729,0.8617,0.7444
4,2019,RF,31-90,32,-0.686,29.099,23.133,1.0591,0.186,1.0571,1.2489,1.4824
4,2019,RF,8-30,8,-3.897,73.322,62.346,1.6288,-0.61,1.6303,1.5026,1.3781
4,2019,RF,91-180,62,0.177,79.448,50.212,0.6609,0.455,0.6603,0.8149,0.8691
4,2019,SARIMAX,1-7,0,,,,,,,,
4,2019,SARIMAX,181-270,61,0.451,26.843,21.259,0.7557,0.774,0.7547,0.5394,0.4418
4,2019,SARIMAX,271-365,66,0.091,50.3,26.295,0.9963,0.407,0.9943,1.1087,0.9578
4,2019,SARIMAX,31-90,32,-0.242,24.981,19.951,0.9134,0.054,0.9117,1.0771,1.2785
4,2019,SARIMAX,8-30,8,-1.688,54.324,42.891,1.1205,-0.354,1.1216,1.0337,0.948
4,2019,SARIMAX,91-180,62,0.224,77.163,51.098,0.6726,0.479,0.672,0.8293,0.8844
4,2019,TFT,1-7,0,,,,,,,,
4,2019,TFT,181-270,61,0.153,33.351,27.134,0.9646,0.56,0.9633,0.6884,0.5639
4,2019,TFT,271-365,66,-0.049,54.043,23.935,0.9069,0.007,0.9051,1.0092,0.8718
4,2019,TFT,31-90,32,-0.23,24.852,20.306,0.9297,0.012,0.9279,1.0963,1.3013
4,2019,TFT,8-30,8,-3.469,70.044,58.705,1.5337,-0.284,1.5351,1.4148,1.2976
4,2019,TFT,91-180,62,0.051,85.306,49.969,0.6577,0.431,0.6572,0.811,0.8649
4,2019,TabICLv2,1-7,0,,,,,,,,
4,2019,TabICLv2,181-270,61,0.239,31.603,21.812,0.7754,0.748,0.7744,0.5534,0.4533
4,2019,TabICLv2,271-365,66,-0.065,54.46,22.46,0.851,0.417,0.8493,0.947,0.8181
4,2019,TabICLv2,31-90,32,-0.17,24.246,19.19,0.8786,0.047,0.8769,1.036,1.2297
4,2019,TabICLv2,8-30,8,-1.542,52.826,41.391,1.0813,0.523,1.0824,0.9975,0.9149
4,2019,TabICLv2,91-180,62,-0.461,105.861,65.629,0.8639,0.299,0.8631,1.0652,1.1359
4,2019,TabPFN,1-7,0,,,,,,,,
4,2019,TabPFN,181-270,61,0.302,30.277,20.575,0.7314,0.762,0.7304,0.522,0.4276
4,2019,TabPFN,271-365,66,-0.051,54.085,22.377,0.8479,0.415,0.8462,0.9435,0.8151
4,2019,TabPFN,31-90,32,-0.159,24.123,19.148,0.8767,0.48,0.875,1.0338,1.2271
4,2019,TabPFN,8-30,8,-1.538,52.786,41.345,1.0801,-0.027,1.0812,0.9964,0.9139
4,2019,TabPFN,91-180,62,-0.296,99.709,59.246,0.7798,0.429,0.7792,0.9616,1.0254
4,2019,XGB,1-7,0,,,,,,,,
4,2019,XGB,181-270,61,0.524,24.988,17.936,0.6376,0.766,0.6368,0.4551,0.3727
4,2019,XGB,271-365,66,0.122,49.444,21.613,0.819,0.355,0.8173,0.9113,0.7873
4,2019,XGB,31-90,32,-0.278,25.339,18.308,0.8382,0.236,0.8366,0.9884,1.1732
4,2019,XGB,8-30,8,-3.177,67.714,55.475,1.4493,-0.823,1.4507,1.337,1.2262
4,2019,XGB,91-180,62,0.186,79.03,48.36,0.6366,0.475,0.636,0.7849,0.837
4,2020,DLinear,1-7,4,-3.815,16.541,14.32,1.6154,-0.214,1.2724,1.1948,1.1535
4,2020,DLinear,181-270,79,-0.095,85.695,61.688,1.0123,0.203,1.2099,1.2452,1.1905
4,2020,DLinear,271-365,80,0.019,98.889,58.775,1.3625,0.289,1.4989,1.4207,1.549
4,2020,DLinear,31-90,37,-0.102,46.11,29.886,1.0305,0.162,1.1311,1.1223,1.1811
4,2020,DLinear,8-30,21,-6.764,41.07,34.403,2.9986,0.039,2.722,1.9519,3.2558
4,2020,DLinear,91-180,42,-3.153,42.7,34.823,1.6581,-0.207,2.0601,1.2118,1.309
4,2020,Ensemble_MASEweighted,1-7,4,-4.238,17.253,15.609,1.7608,0.359,1.3869,1.3024,1.2573
4,2020,Ensemble_MASEweighted,181-270,79,0.109,77.287,48.944,0.8031,0.332,0.96,0.9879,0.9446
4,2020,Ensemble_MASEweighted,271-365,80,0.166,91.154,37.693,0.8738,0.462,0.9612,0.9111,0.9934
4,2020,Ensemble_MASEweighted,31-90,37,-0.081,45.656,29.837,1.0288,-0.101,1.1292,1.1205,1.1791
4,2020,Ensemble_MASEweighted,8-30,21,-0.287,16.718,12.31,1.073,0.272,0.974,0.6984,1.165
4,2020,Ensemble_MASEweighted,91-180,42,0.086,20.033,16.119,0.7675,0.342,0.9536,0.5609,0.6059
4,2020,Ensemble_unweighted,1-7,4,-4.187,17.169,15.519,1.7506,0.358,1.3789,1.2948,1.25
4,2020,Ensemble_unweighted,181-270,79,0.109,77.283,48.961,0.8034,0.332,0.9603,0.9883,0.9449
4,2020,Ensemble_unweighted,271-365,80,0.167,91.13,37.661,0.8731,0.462,0.9604,0.9103,0.9925
4,2020,Ensemble_unweighted,31-90,37,-0.08,45.633,29.787,1.027,-0.099,1.1274,1.1186,1.1772
4,2020,Ensemble_unweighted,8-30,21,-0.279,16.667,12.264,1.0689,0.275,0.9703,0.6958,1.1606
4,2020,Ensemble_unweighted,91-180,42,0.087,20.017,16.136,0.7683,0.345,0.9546,0.5615,0.6065
4,2020,LSTM,1-7,4,-3.262,15.562,15.105,1.7038,-0.663,1.3421,1.2603,1.2167
4,2020,LSTM,181-270,79,0.002,81.789,52.856,0.8673,0.341,1.0367,1.0669,1.0201
4,2020,LSTM,271-365,80,-0.032,101.427,49.24,1.1415,0.095,1.2557,1.1902,1.2977
4,2020,LSTM,31-90,37,-0.084,45.729,27.438,0.9461,0.111,1.0385,1.0304,1.0844
4,2020,LSTM,8-30,21,-0.013,14.832,10.646,0.9279,0.242,0.8423,0.604,1.0075
4,2020,LSTM,91-180,42,-3.199,42.935,32.159,1.5313,0.117,1.9025,1.119,1.2089
4,2020,LightGBM,1-7,4,-5.556,19.301,17.701,1.9967,0.326,1.5727,1.4769,1.4258
4,2020,LightGBM,181-270,79,0.105,77.458,48.826,0.8012,0.326,0.9577,0.9856,0.9423
4,2020,LightGBM,271-365,80,0.145,92.326,39.23,0.9094,0.435,1.0004,0.9483,1.0339
4,2020,LightGBM,31-90,37,-0.116,46.404,31.577,1.0887,-0.133,1.1951,1.1858,1.2479
4,2020,LightGBM,8-30,21,-0.603,18.659,14.546,1.2678,0.203,1.1509,0.8253,1.3766
4,2020,LightGBM,91-180,42,0.032,20.614,16.448,0.7832,0.247,0.973,0.5723,0.6183
4,2020,RF,1-7,4,-5.172,18.727,17.226,1.9431,0.425,1.5305,1.4373,1.3875
4,2020,RF,181-270,79,0.112,77.159,49.943,0.8195,0.347,0.9796,1.0081,0.9638
4,2020,RF,271-365,80,0.232,87.457,35.142,0.8147,0.56,0.8962,0.8495,0.9261
4,2020,RF,31-90,37,-0.096,45.971,31.407,1.0829,-0.075,1.1887,1.1794,1.2412
4,2020,RF,8-30,21,-1.103,21.374,18.281,1.5934,0.211,1.4464,1.0372,1.7301
4,2020,RF,91-180,42,0.039,20.538,16.492,0.7853,0.31,0.9756,0.5739,0.6199
4,2020,SARIMAX,1-7,4,-1.438,11.771,9.319,1.0512,0.018,0.828,0.7775,0.7506
4,2020,SARIMAX,181-270,79,0.094,77.92,50.953,0.8361,0.317,0.9994,1.0285,0.9833
4,2020,SARIMAX,271-365,80,0.124,93.447,40.837,0.9467,0.371,1.0414,0.9871,1.0762
4,2020,SARIMAX,31-90,37,-0.057,45.149,26.698,0.9205,0.049,1.0104,1.0026,1.0551
4,2020,SARIMAX,8-30,21,0.189,13.273,10.237,0.8922,0.448,0.8099,0.5808,0.9688
4,2020,SARIMAX,91-180,42,0.056,20.353,17.31,0.8242,0.421,1.024,0.6023,0.6507
4,2020,TFT,1-7,4,-1.902,12.843,11.566,1.3047,0.052,1.0277,0.9651,0.9317
4,2020,TFT,181-270,79,0.12,76.83,49.702,0.8156,0.352,0.9748,1.0032,0.9592
4,2020,TFT,271-365,80,0.136,92.81,38.111,0.8835,0.423,0.9719,0.9212,1.0044
4,2020,TFT,31-90,37,-0.238,48.875,28.974,0.999,0.222,1.0966,1.088,1.145
4,2020,TFT,8-30,21,-0.597,18.628,12.619,1.0999,-0.228,0.9985,0.716,1.1942
4,2020,TFT,91-180,42,-0.36,24.436,18.758,0.8932,0.425,1.1097,0.6527,0.7051
4,2020,TabICLv2,1-7,4,0.008,7.507,6.0,0.6768,0.652,0.5331,0.5006,0.4833
4,2020,TabICLv2,181-270,79,-0.126,86.868,48.994,0.804,0.172,0.961,0.9889,0.9455
4,2020,TabICLv2,271-365,80,0.024,98.637,36.974,0.8571,0.393,0.9429,0.8937,0.9744
4,2020,TabICLv2,31-90,37,-0.127,46.618,26.734,0.9218,0.447,1.0118,1.0039,1.0565
4,2020,TabICLv2,8-30,21,-0.051,15.112,8.995,0.784,-0.131,0.7117,0.5103,0.8512
4,2020,TabICLv2,91-180,42,-0.019,21.147,16.282,0.7752,0.162,0.9632,0.5666,0.612
4,2020,TabPFN,1-7,4,-0.225,8.342,6.304,0.7111,-0.743,0.5601,0.526,0.5078
4,2020,TabPFN,181-270,79,0.033,80.503,45.003,0.7385,0.368,0.8827,0.9084,0.8685
4,2020,TabPFN,271-365,80,0.073,96.093,35.512,0.8232,0.495,0.9056,0.8584,0.9359
4,2020,TabPFN,31-90,37,-0.076,45.564,26.227,0.9043,0.6,0.9926,0.9849,1.0365
4,2020,TabPFN,8-30,21,-0.004,14.766,8.978,0.7825,-0.045,0.7103,0.5093,0.8496
4,2020,TabPFN,91-180,42,0.1,19.88,14.863,0.7077,0.397,0.8792,0.5172,0.5587
4,2020,XGB,1-7,4,-6.158,20.168,18.534,2.0907,0.38,1.6468,1.5465,1.493
4,2020,XGB,181-270,79,0.097,77.818,48.07,0.7888,0.311,0.9428,0.9703,0.9277
4,2020,XGB,271-365,80,0.143,92.422,39.833,0.9234,0.422,1.0158,0.9628,1.0498
4,2020,XGB,31-90,37,-0.121,46.498,30.907,1.0657,-0.195,1.1697,1.1606,1.2214
4,2020,XGB,8-30,21,-0.431,17.629,13.287,1.1581,0.169,1.0513,0.7538,1.2574
4,2020,XGB,91-180,42,-0.005,21.007,16.443,0.783,0.236,0.9728,0.5722,0.6181
4,2021,DLinear,1-7,3,-109.197,25.393,22.374,2.529,-0.207,9.0138,9.9439,2.5587
4,2021,DLinear,181-270,88,0.446,75.135,57.813,0.8104,0.673,0.8526,0.737,0.7745
4,2021,DLinear,271-365,91,-1.353,50.134,39.11,1.7621,0.38,1.8774,1.5653,1.4914
4,2021,DLinear,31-90,50,-2.837,40.171,31.008,1.7961,0.279,2.3879,1.8571,1.8053
4,2021,DLinear,8-30,19,-4.724,41.354,33.555,2.2398,0.039,2.6402,2.3208,2.5451
4,2021,DLinear,91-180,90,0.25,86.051,61.478,0.8424,0.545,0.9474,1.1661,1.2048
4,2021,Ensemble_MASEweighted,1-7,3,-2.352,4.429,3.785,0.4278,-0.815,1.5247,1.682,0.4328
4,2021,Ensemble_MASEweighted,181-270,88,0.294,84.821,65.575,0.9192,0.579,0.967,0.8359,0.8785
4,2021,Ensemble_MASEweighted,271-365,91,-0.439,39.203,31.078,1.4002,0.497,1.4918,1.2439,1.1851
4,2021,Ensemble_MASEweighted,31-90,50,-0.036,20.876,15.061,0.8724,0.131,1.1598,0.902,0.8768
4,2021,Ensemble_MASEweighted,8-30,19,-0.201,18.94,14.708,0.9818,0.326,1.1573,1.0173,1.1156
4,2021,Ensemble_MASEweighted,91-180,90,0.168,90.656,55.777,0.7642,0.424,0.8595,1.058,1.0931
4,2021,Ensemble_unweighted,1-7,3,-2.396,4.458,3.804,0.43,-0.811,1.5325,1.6906,0.435
4,2021,Ensemble_unweighted,181-270,88,0.293,84.912,65.574,0.9192,0.577,0.967,0.8359,0.8785
4,2021,Ensemble_unweighted,271-365,91,-0.436,39.166,31.053,1.3991,0.497,1.4907,1.2429,1.1842
4,2021,Ensemble_unweighted,31-90,50,-0.035,20.864,15.05,0.8718,0.132,1.159,0.9013,0.8762
4,2021,Ensemble_unweighted,8-30,19,-0.2,18.936,14.696,0.981,0.324,1.1564,1.0165,1.1147
4,2021,Ensemble_unweighted,91-180,90,0.168,90.664,55.75,0.7639,0.424,0.8591,1.0575,1.0926
4,2021,LSTM,1-7,3,-15.351,9.782,8.849,1.0002,-0.943,3.565,3.9328,1.012
4,2021,LSTM,181-270,88,0.181,91.376,59.63,0.8359,0.478,0.8793,0.7601,0.7989
4,2021,LSTM,271-365,91,-0.642,41.876,29.484,1.3284,0.235,1.4153,1.1801,1.1243
4,2021,LSTM,31-90,50,-0.141,21.908,14.215,0.8234,0.238,1.0947,0.8513,0.8276
4,2021,LSTM,8-30,19,-0.658,22.26,19.267,1.2861,0.322,1.5159,1.3325,1.4613
4,2021,LSTM,91-180,90,-0.123,105.331,62.529,0.8568,0.232,0.9636,1.1861,1.2254
4,2021,LightGBM,1-7,3,-0.606,3.066,2.728,0.3084,-0.986,1.0991,1.2125,0.312
4,2021,LightGBM,181-270,88,0.335,82.342,65.155,0.9134,0.636,0.9608,0.8306,0.8729
4,2021,LightGBM,271-365,91,-0.582,41.109,32.368,1.4583,0.463,1.5538,1.2955,1.2343
4,2021,LightGBM,31-90,50,-0.056,21.074,14.612,0.8464,0.107,1.1253,0.8751,0.8507
4,2021,LightGBM,8-30,19,-0.214,19.049,14.677,0.9797,0.371,1.1549,1.0151,1.1132
4,2021,LightGBM,91-180,90,0.193,89.313,55.597,0.7618,0.45,0.8568,1.0546,1.0895
4,2021,RF,1-7,3,-3.127,4.914,3.965,0.4482,-0.999,1.5974,1.7622,0.4534
4,2021,RF,181-270,88,0.222,89.067,68.949,0.9665,0.499,1.0168,0.8789,0.9237
4,2021,RF,271-365,91,-0.594,41.259,33.074,1.4902,0.468,1.5877,1.3238,1.2612
4,2021,RF,31-90,50,-0.182,22.291,17.646,1.0222,0.115,1.3589,1.0568,1.0274
4,2021,RF,8-30,19,-0.732,22.749,18.178,1.2134,0.256,1.4303,1.2572,1.3787
4,2021,RF,91-180,90,0.209,88.374,52.998,0.7262,0.51,0.8167,1.0053,1.0386
4,2021,SARIMAX,1-7,3,-5.577,6.204,5.171,0.5845,-0.434,2.0832,2.2981,0.5913
4,2021,SARIMAX,181-270,88,0.207,89.9,64.547,0.9048,0.477,0.9519,0.8228,0.8648
4,2021,SARIMAX,271-365,91,-0.271,36.842,28.541,1.2859,0.509,1.37,1.1423,1.0883
4,2021,SARIMAX,31-90,50,0.016,20.343,13.56,0.7854,0.176,1.0442,0.8121,0.7894
4,2021,SARIMAX,8-30,19,0.013,17.173,12.58,0.8397,0.251,0.9898,0.8701,0.9542
4,2021,SARIMAX,91-180,90,0.111,93.69,56.891,0.7795,0.344,0.8767,1.0791,1.1149
4,2021,TFT,1-7,3,-9.75,7.931,5.998,0.678,-0.835,2.4166,2.666,0.686
4,2021,TFT,181-270,88,0.226,88.823,57.775,0.8099,0.51,0.852,0.7365,0.774
4,2021,TFT,271-365,91,-1.345,50.051,35.156,1.584,0.413,1.6876,1.4071,1.3406
4,2021,TFT,31-90,50,-0.111,21.619,14.274,0.8268,0.369,1.0992,0.8549,0.831
4,2021,TFT,8-30,19,-0.074,17.911,12.681,0.8465,0.519,0.9978,0.8771,0.9618
4,2021,TFT,91-180,90,0.24,86.654,46.493,0.637,0.571,0.7165,0.8819,0.9111
4,2021,TabICLv2,1-7,3,-31.756,13.844,13.41,1.5158,-0.126,5.4027,5.9602,1.5336
4,2021,TabICLv2,181-270,88,0.054,98.214,67.048,0.9399,0.283,0.9887,0.8547,0.8983
4,2021,TabICLv2,271-365,91,0.11,30.833,19.958,0.8992,0.462,0.958,0.7988,0.7611
4,2021,TabICLv2,31-90,50,-0.066,21.169,12.923,0.7485,0.505,0.9952,0.7739,0.7523
4,2021,TabICLv2,8-30,19,0.069,16.679,12.549,0.8377,0.333,0.9874,0.868,0.9518
4,2021,TabICLv2,91-180,90,-0.036,101.172,52.393,0.7179,0.518,0.8074,0.9938,1.0268
4,2021,TabPFN,1-7,3,-0.733,3.185,3.027,0.3421,-0.181,1.2194,1.3452,0.3461
4,2021,TabPFN,181-270,88,0.061,97.856,61.872,0.8673,0.46,0.9124,0.7887,0.8289
4,2021,TabPFN,271-365,91,0.164,29.877,19.7,0.8876,0.445,0.9457,0.7885,0.7512
4,2021,TabPFN,31-90,50,0.006,20.449,12.437,0.7204,0.356,0.9578,0.7448,0.7241
4,2021,TabPFN,8-30,19,0.105,16.355,11.531,0.7697,0.526,0.9073,0.7976,0.8746
4,2021,TabPFN,91-180,90,-0.007,99.739,49.504,0.6783,0.406,0.7629,0.939,0.9701
4,2021,XGB,1-7,3,-1.803,4.05,3.57,0.4035,-0.833,1.4383,1.5867,0.4083
4,2021,XGB,181-270,88,0.322,83.111,65.564,0.9191,0.614,0.9669,0.8358,0.8784
4,2021,XGB,271-365,91,-0.514,40.208,31.416,1.4154,0.473,1.508,1.2574,1.198
4,2021,XGB,31-90,50,-0.098,21.491,15.677,0.9081,0.11,1.2073,0.9389,0.9127
4,2021,XGB,8-30,19,-0.17,18.697,15.013,1.0021,0.389,1.1813,1.0384,1.1387
4,2021,XGB,91-180,90,0.137,92.34,58.427,0.8006,0.371,0.9004,1.1082,1.145
4,2022,DLinear,1-7,0,,,,,,,,
4,2022,DLinear,181-270,74,-0.093,61.355,47.534,1.3839,0.494,1.3359,0.9164,0.9202
4,2022,DLinear,271-365,74,-1.086,47.541,38.959,1.8419,0.403,1.7228,1.2827,1.2437
4,2022,DLinear,31-90,1,,,,,,,,
4,2022,DLinear,8-30,0,,,,,,,,
4,2022,DLinear,91-180,75,-0.799,44.63,33.15,1.6539,0.009,1.5287,0.8247,0.9223
4,2022,Ensemble_MASEweighted,1-7,0,,,,,,,,
4,2022,Ensemble_MASEweighted,181-270,74,0.061,56.84,40.981,1.1931,0.512,1.1517,0.79,0.7934
4,2022,Ensemble_MASEweighted,271-365,74,0.158,30.196,22.417,1.0598,0.49,0.9913,0.7381,0.7156
4,2022,Ensemble_MASEweighted,31-90,1,,,,,,,,
4,2022,Ensemble_MASEweighted,8-30,0,,,,,,,,
4,2022,Ensemble_MASEweighted,91-180,75,0.129,31.054,23.905,1.1926,0.522,1.1024,0.5947,0.6651
4,2022,Ensemble_unweighted,1-7,0,,,,,,,,
4,2022,Ensemble_unweighted,181-270,74,0.062,56.82,40.952,1.1922,0.512,1.1509,0.7895,0.7928
4,2022,Ensemble_unweighted,271-365,74,0.157,30.215,22.443,1.0611,0.49,0.9925,0.7389,0.7165
4,2022,Ensemble_unweighted,31-90,1,,,,,,,,
4,2022,Ensemble_unweighted,8-30,0,,,,,,,,
4,2022,Ensemble_unweighted,91-180,75,0.129,31.049,23.916,1.1932,0.524,1.1029,0.5949,0.6654
4,2022,LSTM,1-7,0,,,,,,,,
4,2022,LSTM,181-270,74,-0.848,79.759,56.925,1.6573,0.448,1.5998,1.0974,1.102
4,2022,LSTM,271-365,74,-0.35,38.252,25.516,1.2064,0.215,1.1284,0.8401,0.8146
4,2022,LSTM,31-90,1,,,,,,,,
4,2022,LSTM,8-30,0,,,,,,,,
4,2022,LSTM,91-180,75,-0.198,36.428,25.079,1.2512,0.141,1.1565,0.6239,0.6978
4,2022,LightGBM,1-7,0,,,,,,,,
4,2022,LightGBM,181-270,74,-0.085,61.111,45.956,1.3379,0.495,1.2915,0.8859,0.8897
4,2022,LightGBM,271-365,74,0.171,29.979,22.08,1.0439,0.486,0.9764,0.727,0.7049
4,2022,LightGBM,31-90,1,,,,,,,,
4,2022,LightGBM,8-30,0,,,,,,,,
4,2022,LightGBM,91-180,75,0.075,32.006,24.154,1.2051,0.413,1.1139,0.6009,0.672
4,2022,RF,1-7,0,,,,,,,,
4,2022,RF,181-270,74,0.121,55.0,38.694,1.1265,0.52,1.0875,0.7459,0.7491
4,2022,RF,271-365,74,0.179,29.821,22.152,1.0473,0.532,0.9796,0.7294,0.7072
4,2022,RF,31-90,1,,,,,,,,
4,2022,RF,8-30,0,,,,,,,,
4,2022,RF,91-180,75,0.018,32.969,26.392,1.3167,0.492,1.2171,0.6565,0.7343
4,2022,SARIMAX,1-7,0,,,,,,,,
4,2022,SARIMAX,181-270,74,0.044,57.372,41.001,1.1937,0.502,1.1523,0.7904,0.7937
4,2022,SARIMAX,271-365,74,-0.058,33.861,25.482,1.2047,0.432,1.1268,0.839,0.8135
4,2022,SARIMAX,31-90,1,,,,,,,,
4,2022,SARIMAX,8-30,0,,,,,,,,
4,2022,SARIMAX,91-180,75,0.202,29.725,23.248,1.1599,0.585,1.0721,0.5783,0.6468
4,2022,TFT,1-7,0,,,,,,,,
4,2022,TFT,181-270,74,0.28,49.785,33.999,0.9898,0.614,0.9555,0.6554,0.6582
4,2022,TFT,271-365,74,-0.277,37.197,26.939,1.2736,0.386,1.1913,0.8869,0.86
4,2022,TFT,31-90,1,,,,,,,,
4,2022,TFT,8-30,0,,,,,,,,
4,2022,TFT,91-180,75,0.086,31.809,23.295,1.1622,0.418,1.0743,0.5795,0.6481
4,2022,TabICLv2,1-7,0,,,,,,,,
4,2022,TabICLv2,181-270,74,0.234,51.366,28.962,0.8432,0.616,0.8139,0.5583,0.5607
4,2022,TabICLv2,271-365,74,0.142,30.487,20.112,0.9509,0.38,0.8894,0.6622,0.642
4,2022,TabICLv2,31-90,1,,,,,,,,
4,2022,TabICLv2,8-30,0,,,,,,,,
4,2022,TabICLv2,91-180,75,-0.066,34.366,23.274,1.1612,0.163,1.0733,0.579,0.6476
4,2022,TabPFN,1-7,0,,,,,,,,
4,2022,TabPFN,181-270,74,0.188,52.869,29.39,0.8557,0.59,0.826,0.5666,0.569
4,2022,TabPFN,271-365,74,0.144,30.446,20.397,0.9643,0.497,0.902,0.6715,0.6511
4,2022,TabPFN,31-90,1,,,,,,,,
4,2022,TabPFN,8-30,0,,,,,,,,
4,2022,TabPFN,91-180,75,0.182,30.09,20.051,1.0003,0.568,0.9246,0.4988,0.5579
4,2022,XGB,1-7,0,,,,,,,,
4,2022,XGB,181-270,74,0.098,55.717,39.229,1.1421,0.506,1.1025,0.7562,0.7594
4,2022,XGB,271-365,74,0.173,29.943,22.071,1.0435,0.485,0.976,0.7267,0.7046
4,2022,XGB,31-90,1,,,,,,,,
4,2022,XGB,8-30,0,,,,,,,,
4,2022,XGB,91-180,75,0.156,30.567,22.745,1.1348,0.489,1.0489,0.5658,0.6328
9,2018,DLinear,1-7,0,,,,,,,,
9,2018,DLinear,181-270,0,,,,,,,,
9,2018,DLinear,271-365,0,,,,,,,,
9,2018,DLinear,31-90,0,,,,,,,,
9,2018,DLinear,8-30,0,,,,,,,,
9,2018,DLinear,91-180,0,,,,,,,,
9,2018,Ensemble_MASEweighted,1-7,0,,,,,,,,
9,2018,Ensemble_MASEweighted,181-270,0,,,,,,,,
9,2018,Ensemble_MASEweighted,271-365,0,,,,,,,,
9,2018,Ensemble_MASEweighted,31-90,0,,,,,,,,
9,2018,Ensemble_MASEweighted,8-30,0,,,,,,,,
9,2018,Ensemble_MASEweighted,91-180,0,,,,,,,,
9,2018,Ensemble_unweighted,1-7,0,,,,,,,,
9,2018,Ensemble_unweighted,181-270,0,,,,,,,,
9,2018,Ensemble_unweighted,271-365,0,,,,,,,,
9,2018,Ensemble_unweighted,31-90,0,,,,,,,,
9,2018,Ensemble_unweighted,8-30,0,,,,,,,,
9,2018,Ensemble_unweighted,91-180,0,,,,,,,,
9,2018,LSTM,1-7,0,,,,,,,,
9,2018,LSTM,181-270,0,,,,,,,,
9,2018,LSTM,271-365,0,,,,,,,,
9,2018,LSTM,31-90,0,,,,,,,,
9,2018,LSTM,8-30,0,,,,,,,,
9,2018,LSTM,91-180,0,,,,,,,,
9,2018,LightGBM,1-7,0,,,,,,,,
9,2018,LightGBM,181-270,0,,,,,,,,
9,2018,LightGBM,271-365,0,,,,,,,,
9,2018,LightGBM,31-90,0,,,,,,,,
9,2018,LightGBM,8-30,0,,,,,,,,
9,2018,LightGBM,91-180,0,,,,,,,,
9,2018,RF,1-7,0,,,,,,,,
9,2018,RF,181-270,0,,,,,,,,
9,2018,RF,271-365,0,,,,,,,,
9,2018,RF,31-90,0,,,,,,,,
9,2018,RF,8-30,0,,,,,,,,
9,2018,RF,91-180,0,,,,,,,,
9,2018,SARIMAX,1-7,0,,,,,,,,
9,2018,SARIMAX,181-270,0,,,,,,,,
9,2018,SARIMAX,271-365,0,,,,,,,,
9,2018,SARIMAX,31-90,0,,,,,,,,
9,2018,SARIMAX,8-30,0,,,,,,,,
9,2018,SARIMAX,91-180,0,,,,,,,,
9,2018,TFT,1-7,0,,,,,,,,
9,2018,TFT,181-270,0,,,,,,,,
9,2018,TFT,271-365,0,,,,,,,,
9,2018,TFT,31-90,0,,,,,,,,
9,2018,TFT,8-30,0,,,,,,,,
9,2018,TFT,91-180,0,,,,,,,,
9,2018,TabICLv2,1-7,0,,,,,,,,
9,2018,TabICLv2,181-270,0,,,,,,,,
9,2018,TabICLv2,271-365,0,,,,,,,,
9,2018,TabICLv2,31-90,0,,,,,,,,
