date,TFT,DLinear,LSTM,y_true_dl,y_gapfilled,persistence,tower,anchor_year,variant
2021-12-17,5.575946905852788,-2.117921913972168,-26.850790156524454,,7.915641666666667,9.767054166666666,2,2021,A_removal
2021-12-18,6.66688937297954,-6.008514850133906,-20.007898372987256,,7.511141666666667,9.767054166666666,2,2021,A_removal
2021-12-19,7.530429512260298,0.5149236048091552,-13.052856281008644,,9.4536,9.767054166666666,2,2021,A_removal
2021-12-20,7.528871171434957,-18.703225630128145,-6.337055067977417,,8.070612500000001,9.767054166666666,2,2021,A_removal
2021-12-21,6.68810781861248,0.542559942653952,-8.149020121485592,,15.327129166666666,9.767054166666666,2,2021,A_removal
2021-12-22,7.45171598568254,7.718519653786188,-8.292648043681766,,12.203404166666669,9.767054166666666,2,2021,A_removal
2021-12-23,3.7430514374955237,7.512339710205197,-0.2676011402795666,,9.798145833333333,9.767054166666666,2,2021,A_removal
2021-12-24,3.9406894555775125,-0.5379990349410946,-11.763147402523828,,16.678820833333333,9.767054166666666,2,2021,A_removal
2021-12-25,32.883411154421765,-3.4185075235282056,-14.50338343061594,,16.090841666666666,9.767054166666666,2,2021,A_removal
2021-12-26,7.5200694315881265,-5.934049562908513,-38.52207725022345,,14.676816666666667,9.767054166666666,2,2021,A_removal
2021-12-27,5.127568001218378,5.081313608280652,-29.191478417924372,,17.7266375,9.767054166666666,2,2021,A_removal
2021-12-28,2.6393671292746603,24.998281996818605,-38.511574222389754,,37.08269166666667,9.767054166666666,2,2021,A_removal
2021-12-29,3.632288034609928,37.83306265081592,-35.29948081800285,,25.336775,9.767054166666666,2,2021,A_removal
2021-12-30,7.421986305714654,9.47789679433754,-39.259263925163395,,18.903054166666667,9.767054166666666,2,2021,A_removal
2021-12-31,13.215379971266657,-2.486837816341904,-56.16998842055909,,58.73559166666666,9.767054166666666,2,2021,A_removal
2022-01-01,14.404497910389864,-23.049488691822262,-56.73048033735904,,18.1311875,9.767054166666666,2,2021,A_removal
2022-01-02,0.23782539824037485,-7.8249997459570295,-66.59865324370185,,41.605175,9.767054166666666,2,2021,A_removal
2022-01-03,1.9917110628753107,12.356489562117531,-63.00842723499227,,20.293916666666668,9.767054166666666,2,2021,A_removal
2022-01-04,9.658507438855622,11.414242086450031,-53.13595084084045,,24.834725,9.767054166666666,2,2021,A_removal
2022-01-05,6.143552350768687,11.847883389559684,-36.667871929719695,,14.678420833333334,9.767054166666666,2,2021,A_removal
2022-01-06,2.4910881139271623,-4.935707264428856,-17.984952272725423,,30.278325,9.767054166666666,2,2021,A_removal
2022-01-07,19.500328201702814,2.3550501475538113,-10.8592576138999,,13.703954166666668,9.767054166666666,2,2021,A_removal
2022-01-08,14.81663096175339,23.232762355157774,-25.955412934279593,,40.4031375,9.767054166666666,2,2021,A_removal
2022-01-09,1.8062011689451083,16.970280870980787,-36.537327554555304,,8.358441666666666,9.767054166666666,2,2021,A_removal
2022-01-10,3.4904213031770723,27.919947996442033,-21.604169785230624,,12.116266666666666,9.767054166666666,2,2021,A_removal
2022-01-11,2.450961799613424,27.592586910655882,-24.95045018791825,,13.289508333333332,9.767054166666666,2,2021,A_removal
2022-01-12,-5.001703155944597,16.84567936072267,-30.78481527632357,,10.575875,9.767054166666666,2,2021,A_removal
2022-01-13,-4.371548603728115,16.672699016077786,-19.83387067584772,,17.427479166666668,9.767054166666666,2,2021,A_removal
2022-01-14,4.802301869540997,10.912728407968643,1.0320954489429823,,13.748075,9.767054166666666,2,2021,A_removal
2022-01-15,3.710574460368889,19.632838747434334,9.036205136747867,,14.392433333333337,9.767054166666666,2,2021,A_removal
2022-01-16,2.8150921819237738,16.951188569261376,16.984947739624204,,8.1168125,9.767054166666666,2,2021,A_removal
2022-01-17,-6.370672865087727,12.96658173283322,4.919262116474329,,17.632416666666668,9.767054166666666,2,2021,A_removal
2022-01-18,7.45861885837553,20.566075057929538,20.40091002809686,,11.336687500000002,9.767054166666666,2,2021,A_removal
2022-01-19,2.33057516116196,14.44566571036512,26.96481759337553,,9.723770833333331,9.767054166666666,2,2021,A_removal
2022-01-20,3.5506848439338228,13.23891698375246,16.886486770831198,,10.7882875,9.767054166666666,2,2021,A_removal
2022-01-21,8.544970953638995,19.786931343710876,19.69847775424705,,10.801233333333334,9.767054166666666,2,2021,A_removal
2022-01-22,4.121743649073778,10.432216851436351,33.34039151152433,,8.333216666666667,9.767054166666666,2,2021,A_removal
2022-01-23,7.181765181672063,8.47061315418523,33.68396148352349,,12.168533333333334,9.767054166666666,2,2021,A_removal
2022-01-24,6.868588696595225,12.699555034746027,31.357444442262477,,11.9275125,9.767054166666666,2,2021,A_removal
2022-01-25,9.147448603246403,19.111616156891614,28.96001229453259,,13.578129166666663,9.767054166666666,2,2021,A_removal
2022-01-26,3.8426486550104073,20.33270230324092,25.570875014507465,,8.6922625,9.767054166666666,2,2021,A_removal
2022-01-27,4.146005669010037,15.413647571084311,25.023412556112817,,12.173508333333332,9.767054166666666,2,2021,A_removal
2022-01-28,5.895610706069192,17.073137769962614,15.673449995532337,,17.457058333333332,9.767054166666666,2,2021,A_removal
2022-01-29,1.6429293757557843,10.258507785478287,19.507027618802113,,36.55660833333334,9.767054166666666,2,2021,A_removal
2022-01-30,4.382200117315051,3.4038305819449306,4.075794240781306,,31.25487916666667,9.767054166666666,2,2021,A_removal
2022-01-31,4.552748015444422,14.535293514738441,5.153102000209856,,10.367804166666668,9.767054166666666,2,2021,A_removal
2022-02-01,4.285669560634233,16.625891702147783,12.685362179156527,,11.311770833333334,9.767054166666666,2,2021,A_removal
2022-02-02,3.938603972300143,13.740397225628385,4.859843301707315,,8.481779166666668,9.767054166666666,2,2021,A_removal
2022-02-03,4.3041368613532995,3.7051848726878234,-1.6439088600545801,,12.622066666666669,9.767054166666666,2,2021,A_removal
2022-02-04,4.08958603562246,0.3424536601123691,-1.858194230171648,,17.872766666666667,9.767054166666666,2,2021,A_removal
2022-02-05,3.3816664284663602,5.691218927377577,-1.5352044888350065,,19.53452916666667,9.767054166666666,2,2021,A_removal
2022-02-06,3.613360927153508,11.200129799937713,-1.2494296893787578,,50.062804166666666,9.767054166666666,2,2021,A_removal
2022-02-07,3.7097260303639814,9.84585286944457,-1.1585686643215922,,11.570870833333332,9.767054166666666,2,2021,A_removal
2022-02-08,1.9724645917435737,13.073211067654938,-3.8534390862369037,,14.727845833333332,9.767054166666666,2,2021,A_removal
2022-02-09,2.8639759869004138,14.772030581994386,-5.004209034726955,,11.594458333333334,9.767054166666666,2,2021,A_removal
2022-02-10,5.522214929419533,18.2903954249864,-1.7346125363801548,,16.93657083333333,9.767054166666666,2,2021,A_removal
2022-02-11,5.252325689491045,0.9917335324307714,1.14280601649034,,11.402979166666666,9.767054166666666,2,2021,A_removal
2022-02-12,3.874646586624067,0.03504144320322666,2.2030139025132485,,18.623366666666666,9.767054166666666,2,2021,A_removal
2022-02-13,3.3790364878389028,4.828208339220964,1.3360066565742272,,37.80518333333333,9.767054166666666,2,2021,A_removal
2022-02-14,4.71700868170069,24.142393405625626,2.0083931901267533,,32.7622625,9.767054166666666,2,2021,A_removal
