bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
8-30,7,-0.873,11.694,10.867,0.7164,1.554,0.527,RF,2018,4,A_removal
31-90,33,-0.165,17.306,15.281,0.9303,1.2525,0.365,RF,2018,4,A_removal
91-180,83,-0.692,24.947,19.347,1.0616,1.5659,0.238,RF,2018,4,A_removal
181-270,72,-0.007,79.991,64.566,1.0568,0.9242,0.318,RF,2018,4,A_removal
271-365,67,-0.007,62.206,32.774,1.0766,1.0663,0.036,RF,2018,4,A_removal
1-7,1,,,,,,,XGB,2018,4,A_removal
8-30,7,-0.142,9.132,7.842,0.5169,1.1214,0.363,XGB,2018,4,A_removal
31-90,33,0.095,15.253,11.284,0.687,0.9249,0.332,XGB,2018,4,A_removal
91-180,83,-0.347,22.263,15.703,0.8617,1.271,0.236,XGB,2018,4,A_removal
181-270,72,-0.069,82.405,63.215,1.0347,0.9048,0.242,XGB,2018,4,A_removal
271-365,67,0.047,60.515,31.12,1.0223,1.0125,0.241,XGB,2018,4,A_removal
1-7,1,,,,,,,LightGBM,2018,4,A_removal
8-30,7,-0.404,10.122,8.903,0.5869,1.2731,0.006,LightGBM,2018,4,A_removal
31-90,33,0.088,15.311,11.536,0.7023,0.9455,0.379,LightGBM,2018,4,A_removal
91-180,83,-0.405,22.736,16.531,0.9071,1.3379,0.243,LightGBM,2018,4,A_removal
181-270,72,-0.111,84.024,64.001,1.0475,0.9161,0.28,LightGBM,2018,4,A_removal
271-365,67,0.014,61.548,31.122,1.0223,1.0126,0.121,LightGBM,2018,4,A_removal
1-7,1,,,,,,,SARIMAX,2018,4,A_removal
8-30,7,-2.797,16.648,15.715,1.0359,2.2472,-0.277,SARIMAX,2018,4,A_removal
31-90,33,-0.432,19.189,17.033,1.037,1.3961,-0.643,SARIMAX,2018,4,A_removal
91-180,83,-1.164,28.216,24.144,1.3248,1.9541,0.225,SARIMAX,2018,4,A_removal
181-270,72,0.066,77.064,62.633,1.0251,0.8965,0.333,SARIMAX,2018,4,A_removal
271-365,67,-0.123,65.697,39.874,1.3098,1.2974,0.099,SARIMAX,2018,4,A_removal
1-7,1,,,,,,,Ensemble_unweighted,2018,4,A_removal
8-30,7,-0.833,11.568,10.832,0.714,1.5489,0.322,Ensemble_unweighted,2018,4,A_removal
31-90,33,-0.032,16.286,13.512,0.8226,1.1075,0.324,Ensemble_unweighted,2018,4,A_removal
91-180,83,-0.595,24.223,18.594,1.0203,1.5049,0.242,Ensemble_unweighted,2018,4,A_removal
181-270,72,-0.008,80.027,62.874,1.0291,0.8999,0.294,Ensemble_unweighted,2018,4,A_removal
271-365,67,0.01,61.661,32.769,1.0764,1.0662,0.127,Ensemble_unweighted,2018,4,A_removal
1-7,1,,,,,,,Ensemble_MASEweighted,2018,4,A_removal
8-30,7,-0.81,11.493,10.751,0.7087,1.5374,0.318,Ensemble_MASEweighted,2018,4,A_removal
31-90,33,-0.026,16.241,13.442,0.8184,1.1018,0.326,Ensemble_MASEweighted,2018,4,A_removal
91-180,83,-0.587,24.161,18.504,1.0154,1.4977,0.242,Ensemble_MASEweighted,2018,4,A_removal
181-270,72,-0.01,80.097,62.877,1.0291,0.9,0.293,Ensemble_MASEweighted,2018,4,A_removal
271-365,67,0.011,61.628,32.702,1.0742,1.064,0.128,Ensemble_MASEweighted,2018,4,A_removal
1-7,1,,,,,,,RF,2018,4,B_resample
8-30,7,-0.715,11.188,10.375,0.6839,1.4836,0.369,RF,2018,4,B_resample
31-90,33,-0.047,16.41,13.598,0.8279,1.1146,0.263,RF,2018,4,B_resample
91-180,83,-0.472,23.271,17.02,0.9339,1.3775,0.232,RF,2018,4,B_resample
181-270,72,-0.3,90.896,71.828,1.1756,1.0281,0.197,RF,2018,4,B_resample
271-365,67,-0.007,62.214,30.968,1.0173,1.0076,0.045,RF,2018,4,B_resample
1-7,1,,,,,,,XGB,2018,4,B_resample
8-30,7,-0.057,8.783,7.456,0.4915,1.0661,0.485,XGB,2018,4,B_resample
31-90,33,0.072,15.447,11.307,0.6884,0.9268,0.294,XGB,2018,4,B_resample
91-180,83,-0.327,22.093,15.499,0.8504,1.2544,0.238,XGB,2018,4,B_resample
181-270,72,-0.198,87.268,68.0,1.113,0.9733,0.171,XGB,2018,4,B_resample
