bin,n,R2,MAE,MASE,model,anchor_year
1-7,4,-6.158,18.534,1.6468,XGB,2020
8-30,21,-0.431,13.287,1.0513,XGB,2020
31-90,37,-0.121,30.907,1.1697,XGB,2020
91-180,42,-0.005,16.443,0.9728,XGB,2020
181-270,79,0.097,48.07,0.9428,XGB,2020
271-365,80,0.143,39.833,1.0158,XGB,2020
1-7,4,-5.556,17.701,1.5727,LightGBM,2020
8-30,21,-0.603,14.546,1.1509,LightGBM,2020
31-90,37,-0.116,31.577,1.1951,LightGBM,2020
91-180,42,0.032,16.448,0.973,LightGBM,2020
181-270,79,0.105,48.826,0.9577,LightGBM,2020
271-365,80,0.145,39.23,1.0004,LightGBM,2020
1-7,3,-2.396,3.804,1.5325,Ensemble_unweighted,2021
8-30,19,-0.2,14.696,1.1564,Ensemble_unweighted,2021
31-90,50,-0.035,15.05,1.159,Ensemble_unweighted,2021
91-180,90,0.168,55.75,0.8591,Ensemble_unweighted,2021
181-270,88,0.293,65.574,0.967,Ensemble_unweighted,2021
271-365,91,-0.436,31.053,1.4907,Ensemble_unweighted,2021
1-7,3,-2.352,3.785,1.5247,Ensemble_MASEweighted,2021
8-30,19,-0.201,14.708,1.1573,Ensemble_MASEweighted,2021
31-90,50,-0.036,15.061,1.1598,Ensemble_MASEweighted,2021
91-180,90,0.168,55.777,0.8595,Ensemble_MASEweighted,2021
181-270,88,0.294,65.575,0.967,Ensemble_MASEweighted,2021
271-365,91,-0.439,31.078,1.4918,Ensemble_MASEweighted,2021
1-7,3,-5.577,5.171,2.0832,SARIMAX,2021
8-30,19,0.013,12.58,0.9898,SARIMAX,2021
31-90,50,0.016,13.56,1.0442,SARIMAX,2021
91-180,90,0.111,56.891,0.8767,SARIMAX,2021
181-270,88,0.207,64.547,0.9519,SARIMAX,2021
271-365,91,-0.271,28.541,1.37,SARIMAX,2021
1-7,3,-3.127,3.965,1.5974,RF,2021
8-30,19,-0.732,18.178,1.4303,RF,2021
31-90,50,-0.182,17.646,1.3589,RF,2021
91-180,90,0.209,52.998,0.8167,RF,2021
181-270,88,0.222,68.949,1.0168,RF,2021
271-365,91,-0.594,33.074,1.5877,RF,2021
1-7,3,-1.803,3.57,1.4383,XGB,2021
8-30,19,-0.17,15.013,1.1813,XGB,2021
31-90,50,-0.098,15.677,1.2073,XGB,2021
91-180,90,0.137,58.427,0.9004,XGB,2021
181-270,88,0.322,65.564,0.9669,XGB,2021
271-365,91,-0.514,31.416,1.508,XGB,2021
1-7,3,-0.606,2.728,1.0991,LightGBM,2021
8-30,19,-0.214,14.677,1.1549,LightGBM,2021
31-90,50,-0.056,14.612,1.1253,LightGBM,2021
91-180,90,0.193,55.597,0.8568,LightGBM,2021
181-270,88,0.335,65.155,0.9608,LightGBM,2021
271-365,91,-0.582,32.368,1.5538,LightGBM,2021
1-7,0,,,,Ensemble_unweighted,2022
8-30,0,,,,Ensemble_unweighted,2022
31-90,1,,,,Ensemble_unweighted,2022
91-180,75,0.129,23.916,1.1029,Ensemble_unweighted,2022
181-270,74,0.062,40.952,1.1509,Ensemble_unweighted,2022
271-365,74,0.157,22.443,0.9925,Ensemble_unweighted,2022
1-7,0,,,,Ensemble_MASEweighted,2022
8-30,0,,,,Ensemble_MASEweighted,2022
31-90,1,,,,Ensemble_MASEweighted,2022
91-180,75,0.129,23.905,1.1024,Ensemble_MASEweighted,2022
181-270,74,0.061,40.981,1.1517,Ensemble_MASEweighted,2022
271-365,74,0.158,22.417,0.9913,Ensemble_MASEweighted,2022
1-7,0,,,,SARIMAX,2022
8-30,0,,,,SARIMAX,2022
31-90,1,,,,SARIMAX,2022
91-180,75,0.202,23.248,1.0721,SARIMAX,2022
181-270,74,0.044,41.001,1.1523,SARIMAX,2022
271-365,74,-0.058,25.482,1.1268,SARIMAX,2022
1-7,0,,,,RF,2022
8-30,0,,,,RF,2022
31-90,1,,,,RF,2022
91-180,75,0.018,26.392,1.2171,RF,2022
181-270,74,0.121,38.694,1.0875,RF,2022
271-365,74,0.179,22.152,0.9796,RF,2022
1-7,0,,,,XGB,2022
8-30,0,,,,XGB,2022
31-90,1,,,,XGB,2022
91-180,75,0.156,22.745,1.0489,XGB,2022
181-270,74,0.098,39.229,1.1025,XGB,2022
271-365,74,0.173,22.071,0.976,XGB,2022
1-7,0,,,,LightGBM,2022
8-30,0,,,,LightGBM,2022
31-90,1,,,,LightGBM,2022
91-180,75,0.075,24.154,1.1139,LightGBM,2022
181-270,74,-0.085,45.956,1.2915,LightGBM,2022
271-365,74,0.171,22.08,0.9764,LightGBM,2022
