model,RMSE,MAE,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf,WAPE,Correlation,R2
RF,51.616,34.134,1.026,0.885,0.913,1.03,0.403,-0.067
XGB,51.301,33.128,0.97,0.844,0.865,0.966,0.373,0.003
LightGBM,51.439,33.301,0.98,0.846,0.87,0.98,0.385,-0.014
SARIMAX,52.462,35.281,1.04,0.903,0.925,1.049,0.38,-0.039
Ensemble_unweighted,51.035,33.227,0.977,0.845,0.868,0.979,0.397,0.012
Ensemble_MASEweighted,51.034,33.219,0.977,0.845,0.868,0.979,0.397,0.011
TFT,54.48,33.43,1.014,0.874,0.897,1.02,0.315,-0.228
TabPFN,54.261,30.502,0.864,0.76,0.778,0.861,0.391,-0.006
DLinear,65.712,48.112,1.626,1.364,1.418,1.685,0.237,-2.105
LSTM,59.825,37.267,1.106,0.947,0.969,1.105,0.228,-0.439
TabICLv2,56.762,33.037,0.963,0.829,0.844,0.98,0.295,-0.291
