track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded,precision,recall,f1,rmse_spike,rmse_nonspike,n_spike_test
A,12,9,Hurdle-XGB,134.258,66.396,0.035,16.607,5848,0.238,0.033,1.2288,0.872,1.3411,4.4931,325,0.321,0.36,0.339,356.733,80.924,556.0
A,12,9,persist,176.109,76.143,-0.66,0.642,5848,0.0,-0.269,1.4092,1.0,1.4343,4.9425,325,,,,,,
A,12,9,clim,138.811,65.52,-0.031,1.924,5848,0.212,0.0,1.2126,0.8605,1.4104,4.2192,325,,,,,,
A,12,9,RF,131.017,58.91,0.081,4.735,5848,0.256,0.056,1.0903,0.7737,1.3012,3.3918,325,,,,,,
A,12,9,XGB,135.291,63.785,0.021,10.818,5848,0.232,0.025,1.1805,0.8377,1.3355,4.1322,325,,,,,,
A,12,2,persist,131.369,51.291,-0.616,5.623,2880,0.0,-0.18,1.4129,1.0,1.3218,5.084,178,,,,,,
A,12,2,clim,111.302,44.388,-0.16,4.344,2880,0.153,0.0,1.2228,0.8654,1.2363,4.0108,178,,,,,,
A,12,2,RF,101.712,34.27,0.031,-14.279,2880,0.226,0.086,0.9441,0.6682,1.2046,1.7896,178,,,,,,
A,12,2,XGB,104.96,45.456,-0.032,5.952,2880,0.201,0.057,1.2522,0.8862,1.2731,4.3201,178,,,,,,
A,12,2,Hurdle-RF,100.946,39.047,0.046,5.828,2880,0.232,0.093,1.0756,0.7613,1.1759,3.5327,178,,,,,,
A,12,2,Hurdle-XGB,103.386,33.89,-0.001,-16.563,2880,0.213,0.071,0.9336,0.6607,1.2703,1.5996,178,,,,,,
A,24,4,Hurdle-RF,136.588,60.504,0.11,15.409,7109,0.208,0.062,1.2281,0.9123,1.33,4.5782,446,0.423,0.064,0.111,372.853,69.268,734.0
A,24,4,Hurdle-XGB,139.02,58.096,0.078,2.653,7109,0.194,0.046,1.1793,0.876,1.3894,3.8661,446,0.364,0.221,0.275,383.347,68.058,734.0
A,24,4,persist,172.486,66.318,-0.42,4.16,7109,0.0,-0.184,1.3461,1.0,1.3968,4.0759,446,,,,,,
A,24,4,clim,145.675,60.133,-0.013,0.459,7109,0.155,0.0,1.2206,0.9067,1.4327,4.0992,446,,,,,,
A,24,4,RF,141.17,59.965,0.049,9.544,7109,0.182,0.031,1.2172,0.9042,1.3449,4.1104,446,,,,,,
A,24,4,XGB,142.582,62.087,0.03,11.307,7109,0.173,0.021,1.2603,0.9362,1.3858,4.4166,446,,,,,,
A,24,9,Hurdle-RF,130.301,66.308,0.091,22.019,5848,0.201,0.061,1.2272,0.9646,1.3162,4.8687,325,0.391,0.135,0.201,351.547,76.011,556.0
A,24,9,Hurdle-XGB,136.113,67.635,0.009,18.696,5848,0.166,0.019,1.2518,0.9839,1.3399,4.5811,325,0.328,0.338,0.333,356.545,84.362,556.0
A,24,9,persist,163.134,68.741,-0.424,2.487,5848,0.0,-0.175,1.2722,1.0,1.3609,4.4051,325,,,,,,
A,24,9,clim,138.811,65.52,-0.031,1.924,5848,0.149,0.0,1.2126,0.9531,1.4104,4.2192,325,,,,,,
A,24,9,RF,130.645,59.179,0.087,5.189,5848,0.199,0.059,1.0953,0.8609,1.3009,3.5836,325,,,,,,
A,24,9,XGB,132.26,60.582,0.064,4.86,5848,0.189,0.047,1.1212,0.8813,1.3424,3.7251,325,,,,,,
A,24,2,persist,128.124,43.415,-0.537,3.367,2880,0.0,-0.151,1.196,1.0,1.1685,3.7537,178,,,,,,
A,24,2,clim,111.302,44.388,-0.16,4.344,2880,0.131,0.0,1.2228,1.0224,1.2363,4.0108,178,,,,,,
A,24,2,RF,101.612,35.165,0.033,-11.759,2880,0.207,0.087,0.9687,0.81,1.1899,2.0254,178,,,,,,
A,24,2,XGB,101.857,39.615,0.029,-3.677,2880,0.205,0.085,1.0913,0.9125,1.262,3.0325,178,,,,,,
A,24,2,Hurdle-RF,101.032,38.577,0.044,4.564,2880,0.211,0.092,1.0627,0.8886,1.1764,3.4672,178,,,,,,
A,24,2,Hurdle-XGB,103.095,33.829,0.005,-14.992,2880,0.195,0.074,0.9319,0.7792,1.2177,1.5827,178,,,,,,
A,48,4,Hurdle-RF,137.694,61.27,0.095,15.568,7109,0.169,0.055,1.2437,0.9145,1.3364,4.7059,446,0.422,0.037,0.068,378.036,68.471,734.0
A,48,4,Hurdle-XGB,140.021,59.505,0.064,6.329,7109,0.155,0.039,1.2079,0.8882,1.3723,4.0684,446,0.307,0.195,0.238,385.314,69.059,734.0
A,48,4,persist,165.787,66.999,-0.311,2.503,7109,0.0,-0.138,1.36,1.0,1.4196,4.5252,446,,,,,,
A,48,4,clim,145.675,60.133,-0.013,0.459,7109,0.121,0.0,1.2206,0.8975,1.4327,4.0992,446,,,,,,
A,48,4,RF,142.443,61.66,0.032,11.849,7109,0.141,0.022,1.2516,0.9203,1.3648,4.3931,446,,,,,,
A,48,4,XGB,142.217,62.562,0.035,10.573,7109,0.142,0.024,1.2699,0.9338,1.3897,4.3373,446,,,,,,
A,48,9,Hurdle-RF,130.569,67.252,0.088,22.902,5848,0.253,0.059,1.2447,0.9025,1.3295,5.0183,325,0.447,0.106,0.172,352.103,76.249,556.0
A,48,9,Hurdle-XGB,136.15,70.512,0.008,24.685,5848,0.221,0.019,1.305,0.9463,1.3514,5.1028,325,0.317,0.347,0.331,345.401,89.163,556.0
A,48,9,persist,174.755,74.516,-0.634,5.994,5848,0.0,-0.259,1.3791,1.0,1.4057,4.8207,325,,,,,,
A,48,9,clim,138.811,65.52,-0.031,1.924,5848,0.206,0.0,1.2126,0.8793,1.4104,4.2192,325,,,,,,
A,48,9,RF,132.921,62.727,0.055,10.358,5848,0.239,0.042,1.1609,0.8418,1.3366,4.0207,325,,,,,,
A,48,9,XGB,133.112,62.736,0.052,7.771,5848,0.238,0.041,1.1611,0.8419,1.3557,3.8665,325,,,,,,
A,48,2,persist,134.197,45.629,-0.686,4.799,2880,0.0,-0.206,1.257,1.0,1.1965,4.44,178,,,,,,
A,48,2,clim,111.302,44.388,-0.16,4.344,2880,0.171,0.0,1.2228,0.9728,1.2363,4.0108,178,,,,,,
A,48,2,RF,101.846,35.099,0.029,-13.21,2880,0.241,0.085,0.9669,0.7692,1.2039,1.9284,178,,,,,,
A,48,2,XGB,108.007,42.161,-0.092,-2.542,2880,0.195,0.03,1.1615,0.924,1.2832,3.2045,178,,,,,,
A,48,2,Hurdle-RF,101.792,39.272,0.03,4.728,2880,0.241,0.085,1.0819,0.8607,1.1792,3.5908,178,,,,,,
A,48,2,Hurdle-XGB,104.036,34.455,-0.013,-17.366,2880,0.225,0.065,0.9492,0.7551,1.2689,1.5842,178,,,,,,
B,1,4,Hurdle-RF,59.395,39.655,0.253,17.979,567,-0.155,0.145,1.0392,1.3094,1.1386,3.3405,29,0.419,0.776,0.545,114.472,47.377,67.0
B,1,4,Hurdle-XGB,62.273,42.92,0.179,25.286,567,-0.211,0.104,1.1248,1.4172,1.1653,3.7861,29,0.386,0.881,0.536,103.114,54.524,67.0
B,1,4,persist,51.418,30.285,0.44,2.462,567,0.0,0.26,0.7937,1.0,1.0558,2.3291,29,,,,,,
B,1,4,clim,69.466,40.622,-0.022,0.109,567,-0.351,0.0,1.0646,1.3413,1.1843,3.3462,29,,,,,,
B,1,4,RF,55.082,32.295,0.357,2.936,567,-0.071,0.207,0.8463,1.0664,1.0883,2.2837,29,,,,,,
B,1,4,XGB,54.905,33.388,0.362,3.808,567,-0.068,0.21,0.875,1.1025,1.1458,2.4603,29,,,,,,
B,1,9,Hurdle-RF,61.186,41.518,0.13,24.017,458,-0.064,0.045,1.0133,1.2916,1.1048,3.5061,25,0.333,0.837,0.477,102.545,55.155,43.0
B,1,9,Hurdle-XGB,74.212,51.707,-0.28,38.399,458,-0.29,-0.158,1.262,1.6085,1.1445,4.2222,25,0.303,0.93,0.457,109.338,69.566,43.0
B,1,9,persist,57.512,32.145,0.231,1.467,458,0.0,0.103,0.7845,1.0,1.0626,1.9623,25,,,,,,
B,1,9,clim,64.099,41.771,0.045,2.897,458,-0.115,0.0,1.0195,1.2995,1.1425,3.3842,25,,,,,,
B,1,9,RF,51.329,29.882,0.388,0.005,458,0.108,0.199,0.7293,0.9296,1.067,2.0169,25,,,,,,
B,1,9,XGB,53.942,30.911,0.324,-1.508,458,0.062,0.158,0.7544,0.9616,1.0864,2.1876,25,,,,,,
B,1,2,persist,47.861,26.483,-0.088,5.635,247,0.0,0.127,0.909,1.0,0.9669,2.2533,16,,,,,,
B,1,2,clim,54.812,31.479,-0.426,8.375,247,-0.145,0.0,1.0804,1.1886,1.0476,3.3952,16,,,,,,
B,1,2,RF,44.923,25.086,0.042,-6.718,247,0.061,0.18,0.861,0.9472,1.0645,1.89,16,,,,,,
B,1,2,XGB,47.219,26.03,-0.059,-10.172,247,0.013,0.139,0.8934,0.9829,1.1345,1.5416,16,,,,,,
B,1,2,Hurdle-RF,44.147,26.792,0.075,0.512,247,0.078,0.195,0.9196,1.0117,1.0592,2.738,16,,,,,,
B,1,2,Hurdle-XGB,44.55,24.944,0.058,-6.363,247,0.069,0.187,0.8561,0.9419,1.0903,1.8129,16,,,,,,
B,3,4,Hurdle-RF,61.236,42.38,0.206,21.684,567,0.057,0.118,1.1106,1.124,1.156,3.7354,29,0.403,0.746,0.524,113.9,50.138,67.0
B,3,4,Hurdle-XGB,67.817,48.036,0.026,31.709,567,-0.044,0.024,1.2589,1.274,1.1872,4.4017,29,0.355,0.881,0.506,100.963,62.044,67.0
B,3,4,persist,64.969,37.704,0.106,4.066,567,0.0,0.065,0.9881,1.0,1.185,3.0422,29,,,,,,
B,3,4,clim,69.466,40.622,-0.022,0.109,567,-0.069,0.0,1.0646,1.0774,1.1843,3.3462,29,,,,,,
B,3,4,RF,55.631,33.776,0.345,6.207,567,0.144,0.199,0.8852,0.8958,1.0915,2.5289,29,,,,,,
B,3,4,XGB,56.945,35.377,0.313,6.754,567,0.123,0.18,0.9271,0.9383,1.159,2.6959,29,,,,,,
B,3,9,Hurdle-RF,62.295,42.394,0.098,25.341,458,0.145,0.028,1.0347,1.0562,1.1018,3.8059,25,0.297,0.698,0.417,106.664,55.713,43.0
B,3,9,Hurdle-XGB,77.489,55.161,-0.395,42.548,458,-0.063,-0.209,1.3463,1.3742,1.1677,4.9143,25,0.281,0.907,0.429,104.211,74.172,43.0
B,3,9,persist,72.868,40.14,-0.234,4.634,458,0.0,-0.137,0.9797,1.0,1.147,2.8174,25,,,,,,
B,3,9,clim,64.099,41.771,0.045,2.897,458,0.12,0.0,1.0195,1.0407,1.1425,3.3842,25,,,,,,
B,3,9,RF,52.867,30.677,0.35,-0.713,458,0.274,0.175,0.7487,0.7643,1.0692,2.0842,25,,,,,,
B,3,9,XGB,56.002,32.762,0.271,-1.917,458,0.231,0.126,0.7996,0.8162,1.1058,2.3738,25,,,,,,
B,3,2,persist,51.411,27.696,-0.255,6.309,247,0.0,0.062,0.9506,1.0,0.9889,2.0432,16,,,,,,
B,3,2,clim,54.812,31.479,-0.426,8.375,247,-0.066,0.0,1.0804,1.1366,1.0476,3.3952,16,,,,,,
B,3,2,RF,45.449,25.746,0.019,-6.261,247,0.116,0.171,0.8836,0.9296,1.0789,2.0153,16,,,,,,
B,3,2,XGB,47.334,26.663,-0.064,-7.003,247,0.079,0.136,0.9151,0.9627,1.1396,1.8708,16,,,,,,
B,3,2,Hurdle-RF,45.389,28.041,0.022,0.836,247,0.117,0.172,0.9624,1.0125,1.0814,2.8535,16,,,,,,
B,3,2,Hurdle-XGB,45.682,25.81,0.009,-4.808,247,0.111,0.167,0.8859,0.9319,1.0724,1.9956,16,,,,,,
B,7,4,Hurdle-RF,62.443,42.455,0.174,20.954,567,0.191,0.101,1.1126,0.9436,1.1489,3.594,29,0.374,0.687,0.484,118.757,50.317,67.0
B,7,4,Hurdle-XGB,68.605,49.208,0.003,32.604,567,0.111,0.012,1.2896,1.0937,1.1925,4.574,29,0.357,0.896,0.511,102.129,62.766,67.0
B,7,4,persist,77.138,44.991,-0.26,5.613,567,0.0,-0.11,1.1791,1.0,1.2675,3.4737,29,,,,,,
B,7,4,clim,69.466,40.622,-0.022,0.109,567,0.099,0.0,1.0646,0.9029,1.1843,3.3462,29,,,,,,
B,7,4,RF,58.03,35.023,0.287,6.001,567,0.248,0.165,0.9178,0.7784,1.1142,2.6346,29,,,,,,
B,7,4,XGB,58.135,35.802,0.284,5.494,567,0.246,0.163,0.9382,0.7957,1.1532,2.6898,29,,,,,,
B,7,9,Hurdle-RF,62.461,42.94,0.093,26.19,458,0.275,0.026,1.048,0.9081,1.1033,4.0846,25,0.276,0.628,0.383,108.123,55.626,43.0
B,7,9,Hurdle-XGB,75.71,54.887,-0.332,43.131,458,0.121,-0.181,1.3396,1.1607,1.1749,5.1907,25,0.274,0.86,0.416,109.222,71.343,43.0
B,7,9,persist,86.17,47.286,-0.726,8.647,458,0.0,-0.344,1.1541,1.0,1.2259,4.4372,25,,,,,,
B,7,9,clim,64.099,41.771,0.045,2.897,458,0.256,0.0,1.0195,0.8834,1.1425,3.3842,25,,,,,,
B,7,9,RF,52.292,30.546,0.364,-1.276,458,0.393,0.184,0.7455,0.646,1.0713,2.1454,25,,,,,,
B,7,9,XGB,54.757,32.005,0.303,-2.329,458,0.365,0.146,0.7811,0.6768,1.0735,2.399,25,,,,,,
B,7,2,persist,57.185,32.112,-0.553,9.328,247,0.0,-0.043,1.1022,1.0,1.0727,2.868,16,,,,,,
B,7,2,clim,54.812,31.479,-0.426,8.375,247,0.042,0.0,1.0804,0.9803,1.0476,3.3952,16,,,,,,
B,7,2,RF,45.729,25.951,0.007,-6.468,247,0.2,0.166,0.8907,0.8081,1.0865,2.0155,16,,,,,,
B,7,2,XGB,47.57,27.441,-0.074,-8.841,247,0.168,0.132,0.9418,0.8545,1.1838,1.8076,16,,,,,,
B,7,2,Hurdle-RF,45.441,28.203,0.02,0.617,247,0.205,0.171,0.968,0.8783,1.0856,2.841,16,,,,,,
B,7,2,Hurdle-XGB,46.921,27.396,-0.045,-5.071,247,0.18,0.144,0.9403,0.8531,1.1401,2.0954,16,,,,,,
B,14,4,Hurdle-RF,63.186,43.613,0.154,22.599,567,0.375,0.09,1.1429,0.7696,1.1625,3.9035,29,0.383,0.761,0.51,119.52,51.121,67.0
B,14,4,Hurdle-XGB,71.348,52.292,-0.078,35.002,567,0.294,-0.027,1.3704,0.9228,1.2268,4.8182,29,0.341,0.925,0.498,107.953,64.892,67.0
B,14,4,persist,101.072,56.668,-1.163,13.733,567,0.0,-0.455,1.4851,1.0,1.293,5.127,29,,,,,,
B,14,4,clim,69.466,40.622,-0.022,0.109,567,0.313,0.0,1.0646,0.7168,1.1843,3.3462,29,,,,,,
B,14,4,RF,58.719,35.55,0.27,5.993,567,0.419,0.155,0.9316,0.6273,1.1297,2.6745,29,,,,,,
B,14,4,XGB,59.152,36.792,0.259,6.68,567,0.415,0.148,0.9642,0.6493,1.1696,2.801,29,,,,,,
B,14,9,Hurdle-RF,63.617,44.914,0.059,27.755,458,0.252,0.008,1.0962,0.9166,1.1199,4.3947,25,0.26,0.581,0.36,110.614,56.558,43.0
B,14,9,Hurdle-XGB,78.46,58.058,-0.431,47.794,458,0.078,-0.224,1.417,1.1848,1.1905,5.5625,25,0.245,0.884,0.384,106.821,74.91,43.0
