date,DLinear,LSTM,y_true_dl,y_gapfilled,persistence,tower,anchor_year
2018-12-17,54.59087135020377,30.51888406029815,18.70909,20.960429166666668,54.91721666666666,2,2018
2018-12-18,45.03955020189335,52.18364803396889,35.14989,32.9244375,54.91721666666666,2,2018
2018-12-19,36.880732961860076,23.49176057570139,20.564512,21.9152625,54.91721666666666,2,2018
2018-12-20,27.77468339910837,-6.726543917329764,21.31586,59.83865,54.91721666666666,2,2018
2018-12-21,45.4104852158157,-25.53347964518889,8.646293,10.355054166666667,54.91721666666666,2,2018
2018-12-22,35.23929662774441,-2.332638875205703,4.6456227,5.962599999999999,54.91721666666666,2,2018
2018-12-23,14.47129805987879,-8.618979369397039,,81.17115416666667,54.91721666666666,2,2018
2018-12-24,52.10032582592248,55.78422965870777,,11.309029166666669,54.91721666666666,2,2018
2018-12-25,53.47273381666287,56.90802268456309,23.430925,21.3093375,54.91721666666666,2,2018
2018-12-26,55.89127152650326,73.82530468532696,20.941294,14.657541666666669,54.91721666666666,2,2018
2018-12-27,55.47043335518629,62.98666786546437,26.192026,21.390625,54.91721666666666,2,2018
2018-12-28,84.58899856182597,45.76392621365335,29.944662,30.324125,54.91721666666666,2,2018
2018-12-29,52.457509880156294,-3.49265568727742,1.0451481,3.606079166666667,54.91721666666666,2,2018
2018-12-30,22.07109511105932,1.506584753136849,,6.131912499999999,54.91721666666666,2,2018
2018-12-31,40.54487836580006,-18.980512857816393,2.3515348,3.102370833333333,54.91721666666666,2,2018
2019-01-01,46.01066965034033,-18.654209018850906,-5.3690305,-2.6617875,54.91721666666666,2,2018
2019-01-02,47.945216191352756,61.616252421594254,1.6130913,6.143154166666666,54.91721666666666,2,2018
2019-01-03,47.07997529740874,61.52635429752945,25.985046,20.74059583333333,54.91721666666666,2,2018
2019-01-04,83.29449080172026,51.95822604193563,-4.3807387,4.5301125,54.91721666666666,2,2018
2019-01-05,57.74491964188974,36.61656922820913,2.79634,5.033554166666667,54.91721666666666,2,2018
2019-01-06,28.262589351532824,1.121830599992336,3.1412098,3.1575166666666665,54.91721666666666,2,2018
2019-01-07,10.706199220496273,-15.074892590650506,4.396572,6.2659125,54.91721666666666,2,2018
2019-01-08,43.56057845233704,5.717535130236001,3.134655,3.106208333333333,54.91721666666666,2,2018
2019-01-09,51.42610523583153,50.57217191753966,16.85115,11.953895833333334,54.91721666666666,2,2018
2019-01-10,36.699544146756125,38.36859148750267,7.177412,6.562220833333334,54.91721666666666,2,2018
2019-01-11,0.7241530162486924,-7.608650723404935,-0.473003,1.5214875,54.91721666666666,2,2018
2019-01-12,-14.087502948747442,-11.506123536302312,5.846134,5.821558333333333,54.91721666666666,2,2018
2019-01-13,-16.58427837791396,-18.955040984053085,6.104765,6.952233333333333,54.91721666666666,2,2018
2019-01-14,20.423621905363007,-20.932605401807905,2.1329865,2.909558333333333,54.91721666666666,2,2018
2019-01-15,18.770590363187694,21.00783017067033,2.2440846,3.629925,54.91721666666666,2,2018
2019-01-16,21.334492804431534,17.148752662135394,7.6184855,7.1197875,54.91721666666666,2,2018
2019-01-17,42.51660320649967,11.238759784592276,7.6029277,8.611983333333333,54.91721666666666,2,2018
2019-01-18,35.798564393528636,62.75476199978311,47.92393,28.46534583333333,54.91721666666666,2,2018
2019-01-19,50.535007253759204,53.208100070351975,24.868502,17.846983333333334,54.91721666666666,2,2018
2019-01-20,39.360655262558,33.9665850122953,17.462715,13.149675,54.91721666666666,2,2018
2019-01-21,21.24006500260134,48.42869430919018,-12.724279,-4.2037125,54.91721666666666,2,2018
2019-01-22,17.057831845066175,2.1271650951462107,4.3370857,6.4629625,54.91721666666666,2,2018
2019-01-23,17.602495980869435,-8.030624083956809,1.5778612,3.477591666666666,54.91721666666666,2,2018
2019-01-24,42.589853592940926,-15.591969582659658,,13.412779166666668,54.91721666666666,2,2018
