bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
271-365,0,,,,,,,TabICLv2,2019,2,A_removal
1-7,0,,,,,,,TabPFN,2019,2,B_resample
8-30,0,,,,,,,TabPFN,2019,2,B_resample
31-90,0,,,,,,,TabPFN,2019,2,B_resample
91-180,0,,,,,,,TabPFN,2019,2,B_resample
181-270,0,,,,,,,TabPFN,2019,2,B_resample
271-365,0,,,,,,,TabPFN,2019,2,B_resample
1-7,0,,,,,,,TabICLv2,2019,2,B_resample
8-30,0,,,,,,,TabICLv2,2019,2,B_resample
31-90,0,,,,,,,TabICLv2,2019,2,B_resample
91-180,0,,,,,,,TabICLv2,2019,2,B_resample
181-270,0,,,,,,,TabICLv2,2019,2,B_resample
271-365,0,,,,,,,TabICLv2,2019,2,B_resample
1-7,0,,,,,,,TabPFN,2019,4,A_removal
8-30,8,-1.494,52.327,40.846,1.0681,1.0671,-0.727,TabPFN,2019,4,A_removal
31-90,32,-0.172,24.263,19.213,0.878,0.8796,0.388,TabPFN,2019,4,A_removal
91-180,62,-0.366,102.357,62.024,0.8157,0.8164,0.395,TabPFN,2019,4,A_removal
181-270,61,0.273,30.899,20.679,0.7341,0.7351,0.807,TabPFN,2019,4,A_removal
271-365,66,-0.066,54.484,22.661,0.8569,0.8587,0.343,TabPFN,2019,4,A_removal
1-7,0,,,,,,,TabICLv2,2019,4,A_removal
8-30,8,-1.537,52.78,41.309,1.0802,1.0792,0.222,TabICLv2,2019,4,A_removal
31-90,32,-0.161,24.152,19.148,0.875,0.8767,0.286,TabICLv2,2019,4,A_removal
91-180,62,-0.536,108.537,68.398,0.8995,0.9003,0.242,TabICLv2,2019,4,A_removal
181-270,61,0.026,35.767,24.619,0.874,0.8751,0.589,TabICLv2,2019,4,A_removal
271-365,66,-0.078,54.781,23.021,0.8705,0.8723,0.335,TabICLv2,2019,4,A_removal
1-7,0,,,,,,,TabPFN,2019,4,B_resample
8-30,8,-1.488,52.259,40.899,1.0695,1.0685,0.949,TabPFN,2019,4,B_resample
31-90,32,-0.181,24.356,19.319,0.8828,0.8845,0.289,TabPFN,2019,4,B_resample
91-180,62,-0.351,101.772,61.382,0.8072,0.8079,0.446,TabPFN,2019,4,B_resample
181-270,61,0.206,32.289,21.306,0.7564,0.7574,0.787,TabPFN,2019,4,B_resample
271-365,66,-0.059,54.306,22.843,0.8638,0.8656,0.444,TabPFN,2019,4,B_resample
1-7,0,,,,,,,TabICLv2,2019,4,B_resample
8-30,8,-1.499,52.377,40.966,1.0713,1.0702,0.956,TabICLv2,2019,4,B_resample
31-90,32,-0.193,24.477,19.386,0.8859,0.8875,-0.027,TabICLv2,2019,4,B_resample
91-180,62,-0.504,107.407,67.244,0.8843,0.8851,0.342,TabICLv2,2019,4,B_resample
181-270,61,0.042,35.456,24.103,0.8557,0.8568,0.635,TabICLv2,2019,4,B_resample
271-365,66,-0.041,53.838,22.395,0.8469,0.8486,0.458,TabICLv2,2019,4,B_resample
1-7,0,,,,,,,TabPFN,2019,9,A_removal
8-30,0,,,,,,,TabPFN,2019,9,A_removal
31-90,16,-1.012,28.484,22.743,1.3755,1.0,,TabPFN,2019,9,A_removal
91-180,81,-0.64,91.467,61.791,1.0891,1.0,,TabPFN,2019,9,A_removal
181-270,49,-0.036,68.515,39.304,1.0178,1.0,,TabPFN,2019,9,A_removal
