bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
91-180,42,-3.153,42.7,34.823,2.0601,1.6581,-0.207,DLinear,2020,4
181-270,79,-0.095,85.695,61.688,1.2099,1.0123,0.203,DLinear,2020,4
271-365,80,0.019,98.889,58.775,1.4989,1.3625,0.289,DLinear,2020,4
1-7,4,-3.262,15.562,15.105,1.3421,1.7038,-0.663,LSTM,2020,4
8-30,21,-0.013,14.832,10.646,0.8423,0.9279,0.242,LSTM,2020,4
31-90,37,-0.084,45.729,27.438,1.0385,0.9461,0.111,LSTM,2020,4
91-180,42,-3.199,42.935,32.159,1.9025,1.5313,0.117,LSTM,2020,4
181-270,79,0.002,81.789,52.856,1.0367,0.8673,0.341,LSTM,2020,4
271-365,80,-0.032,101.427,49.24,1.2557,1.1415,0.095,LSTM,2020,4
1-7,4,-45.979,25.472,22.238,0.9107,6.7908,0.297,DLinear,2020,9
8-30,19,0.123,142.354,81.606,1.3243,1.2522,0.463,DLinear,2020,9
31-90,24,-3.462,30.236,26.316,1.2626,2.1645,0.091,DLinear,2020,9
91-180,57,-1.434,31.653,25.224,1.364,1.358,-0.089,DLinear,2020,9
181-270,64,0.141,89.141,59.302,0.9676,0.8756,0.378,DLinear,2020,9
271-365,86,-0.041,54.188,42.239,1.2189,1.2832,0.454,DLinear,2020,9
1-7,4,-181.469,50.2,44.838,1.8362,13.6924,-0.592,LSTM,2020,9
8-30,19,-0.019,153.404,112.797,1.8305,1.7308,0.354,LSTM,2020,9
31-90,24,-7.498,41.724,35.201,1.689,2.8954,0.327,LSTM,2020,9
91-180,57,-11.904,72.887,52.906,2.861,2.8483,-0.042,LSTM,2020,9
181-270,64,0.137,89.386,57.346,0.9356,0.8467,0.41,LSTM,2020,9
271-365,86,-0.324,61.126,44.136,1.2737,1.3408,0.232,LSTM,2020,9
1-7,0,,,,,,,DLinear,2021,2
8-30,0,,,,,,,DLinear,2021,2
31-90,0,,,,,,,DLinear,2021,2
91-180,0,,,,,,,DLinear,2021,2
181-270,0,,,,,,,DLinear,2021,2
271-365,0,,,,,,,DLinear,2021,2
1-7,0,,,,,,,LSTM,2021,2
