date,BASE+ALL__RF,BASE+ALL__XGB,BASE+ALL__LightGBM,BASE+ALL__SARIMAX,BASE+ALL__Ensemble_unweighted,BASE+ALL__Ensemble_MASEweighted,y_true,y_gapfilled,persistence,tower,anchor_year,config
2018-12-17,38.10784246593798,42.42051315307617,42.192306490578964,35.268153616058115,39.49720393141281,39.58346289378726,18.70908835605556,20.960429166666668,54.91721666666666,2,2018,BASE+ALL
2018-12-18,57.30045129564937,54.25388717651367,47.34489393447622,37.05108373592613,48.987579035641346,49.082508028055024,35.149889121928574,32.9244375,54.91721666666666,2,2018,BASE+ALL
2018-12-19,42.05634047820541,42.61762619018555,38.415409364053765,38.47831680103575,40.39192320837012,40.40698029280974,20.564511855705884,21.9152625,54.91721666666666,2,2018,BASE+ALL
2018-12-20,44.26882249639864,36.1879997253418,34.25662689476326,38.238895278113176,38.23808609865422,38.16332487774227,21.31585997685,59.83865,54.91721666666666,2,2018,BASE+ALL
2018-12-21,30.914173924070973,34.280399322509766,33.2483668588405,16.49794733876003,28.735221861045318,28.905853014290585,8.646292532607143,10.355054166666667,54.91721666666666,2,2018,BASE+ALL
2018-12-22,18.20700001031129,18.84538459777832,19.301662918910047,20.75352457815617,19.276893026288956,19.266208590727608,4.645622667038461,5.962599999999999,54.91721666666666,2,2018,BASE+ALL
2018-12-23,30.60603308520644,24.597858428955078,23.334342650172765,22.48717194689293,25.256351527806803,25.23407390461843,,81.17115416666667,54.91721666666666,2,2018,BASE+ALL
2018-12-24,21.441394164391287,20.945755004882812,21.485191744354395,26.368644751012923,22.560246416160354,22.512504561463448,,11.309029166666669,54.91721666666666,2,2018,BASE+ALL
2018-12-25,15.144345906313044,16.437929153442383,18.145278790322003,26.952691657191263,19.170061376817173,19.09399308860073,23.430924851857142,21.3093375,54.91721666666666,2,2018,BASE+ALL
2018-12-26,14.313721184757702,14.610090255737305,15.362615094667323,24.57229698023053,17.214680878848217,17.132306614257164,20.941292970611112,14.657541666666669,54.91721666666666,2,2018,BASE+ALL
2018-12-27,14.061915846850125,13.485833168029785,13.25522076903179,26.16043505778506,16.740851210424193,16.6237032367166,26.19202691092857,21.390625,54.91721666666666,2,2018,BASE+ALL
2018-12-28,13.259082991991052,12.538361549377441,12.69984712426702,25.79282650547402,16.072529542777385,15.95174160395226,29.94466230940909,30.324125,54.91721666666666,2,2018,BASE+ALL
2018-12-29,14.592558510488725,12.45329475402832,13.244497696767182,22.6389021282994,15.732313272395906,15.634581028818493,1.0451481868888888,3.606079166666667,54.91721666666666,2,2018,BASE+ALL
2018-12-30,13.280160635429585,10.412545204162598,10.630116451492894,24.680654282329915,14.750869143353746,14.60942025109824,,6.131912499999999,54.91721666666666,2,2018,BASE+ALL
