ssp,gcm,realization,tower,year,multiplier,model,annual_mean
ssp245,ACCESS-ESM1-5,1,2,2028,2.0,LightGBM,21.397777716399453
ssp245,ACCESS-ESM1-5,1,2,2028,2.0,SARIMAX,20.722265133723727
ssp245,ACCESS-ESM1-5,1,2,2028,2.0,Ensemble_unweighted,21.108849307714884
ssp245,ACCESS-ESM1-5,1,2,2028,2.0,Ensemble_MASEweighted,21.11272629824134
ssp245,ACCESS-ESM1-5,1,2,2028,3.0,RF,21.749280946921527
ssp245,ACCESS-ESM1-5,1,2,2028,3.0,XGB,21.572332771510293
ssp245,ACCESS-ESM1-5,1,2,2028,3.0,LightGBM,22.180595523514945
ssp245,ACCESS-ESM1-5,1,2,2028,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2028,3.0,Ensemble_unweighted,22.562465881773274
ssp245,ACCESS-ESM1-5,1,2,2028,3.0,Ensemble_MASEweighted,22.53687211827396
ssp245,ACCESS-ESM1-5,1,2,2029,1.0,RF,20.288040448358803
ssp245,ACCESS-ESM1-5,1,2,2029,1.0,XGB,19.078202642153386
ssp245,ACCESS-ESM1-5,1,2,2029,1.0,LightGBM,19.162403447412572
ssp245,ACCESS-ESM1-5,1,2,2029,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2029,1.0,Ensemble_unweighted,18.80638063005647
ssp245,ACCESS-ESM1-5,1,2,2029,1.0,Ensemble_MASEweighted,18.821271035515732
ssp245,ACCESS-ESM1-5,1,2,2029,2.0,RF,21.35655456597379
ssp245,ACCESS-ESM1-5,1,2,2029,2.0,XGB,21.165937933203292
ssp245,ACCESS-ESM1-5,1,2,2029,2.0,LightGBM,21.469284031294304
ssp245,ACCESS-ESM1-5,1,2,2029,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2029,2.0,Ensemble_unweighted,21.17851041604878
ssp245,ACCESS-ESM1-5,1,2,2029,2.0,Ensemble_MASEweighted,21.183179414195926
ssp245,ACCESS-ESM1-5,1,2,2029,3.0,RF,21.847923537270837
ssp245,ACCESS-ESM1-5,1,2,2029,3.0,XGB,21.678928079997025
ssp245,ACCESS-ESM1-5,1,2,2029,3.0,LightGBM,22.258690431630132
