model,ssp,gcm,realization,tower,year,multiplier,aoa_flagged_pct
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2044,2.0,11.78082191780822
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2044,3.0,12.32876712328767
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2045,1.0,9.04109589041096
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2045,2.0,9.58904109589041
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2045,3.0,9.58904109589041
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2046,1.0,7.123287671232877
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2046,2.0,7.671232876712329
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2046,3.0,8.21917808219178
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2047,1.0,6.301369863013699
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2047,2.0,6.575342465753424
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2047,3.0,6.575342465753424
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2048,1.0,9.863013698630137
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2048,2.0,9.863013698630137
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2048,3.0,9.863013698630137
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2049,1.0,8.493150684931507
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2049,2.0,8.493150684931507
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2049,3.0,8.493150684931507
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2050,1.0,5.7534246575342465
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2050,2.0,5.7534246575342465
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2050,3.0,5.7534246575342465
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,4,2025,1.0,13.424657534246576
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,4,2025,2.0,13.150684931506849
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,4,2025,3.0,20.82191780821918
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,4,2026,1.0,14.246575342465754
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,4,2026,2.0,15.890410958904111
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,4,2026,3.0,21.36986301369863
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,4,2027,1.0,9.315068493150685
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,4,2027,2.0,10.136986301369863
