bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
31-90,1,,,,,,,TabICLv2,2022,4
91-180,75,-0.066,34.366,23.274,1.0733,1.1612,0.163,TabICLv2,2022,4
181-270,74,0.234,51.366,28.962,0.8139,0.8432,0.616,TabICLv2,2022,4
271-365,74,0.142,30.487,20.112,0.8894,0.9509,0.38,TabICLv2,2022,4
1-7,0,,,,,,,TabICLv2,2022,9
8-30,0,,,,,,,TabICLv2,2022,9
31-90,14,0.025,14.83,11.652,0.9103,0.9412,0.584,TabICLv2,2022,9
91-180,84,-0.429,22.285,17.851,1.1619,1.2048,0.187,TabICLv2,2022,9
181-270,84,0.142,44.482,32.668,0.865,0.8758,0.405,TabICLv2,2022,9
271-365,89,0.074,46.639,29.574,0.9771,0.9961,0.285,TabICLv2,2022,9
