model,RMSE,MAE,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf,WAPE,Correlation,R2
RF,22.13,18.047,0.346,0.672,0.906,1.347,0.087,-0.889
XGB,20.819,16.452,0.312,0.58,0.791,1.205,0.214,-0.618
LightGBM,20.667,16.32,0.31,0.58,0.792,1.204,0.182,-0.6
SARIMAX,34.101,30.759,0.574,1.055,1.399,2.286,0.056,-3.244
Ensemble_unweighted,23.657,19.821,0.374,0.698,0.941,1.464,0.176,-1.048
Ensemble_MASEweighted,23.542,19.694,0.372,0.693,0.936,1.455,0.178,-1.029
TFT,29.526,20.839,0.4,0.801,1.041,1.549,0.111,-2.312
TabPFN,18.251,12.956,0.243,0.444,0.608,0.969,0.098,-0.24
DLinear,36.529,30.201,0.588,1.125,1.642,2.389,0.009,-5.421
LSTM,33.051,26.461,0.508,0.952,1.362,2.054,0.319,-3.791
TabICLv2,18.436,13.008,0.24,0.419,0.566,0.957,0.181,-0.219
