date,tower,anchor_year,y_true,y_true_tft,y_gapfilled,persistence,RF,XGB,LightGBM,SARIMAX,Ensemble_unweighted,Ensemble_MASEweighted,TFT,TabPFN,DLinear,LSTM,TabICLv2,RF_S03_A_removal,XGB_S03_A_removal,LightGBM_S03_A_removal,SARIMAX_S03_A_removal,Ensemble_unweighted_S03_A_removal,Ensemble_MASEweighted_S03_A_removal,RF_S03_B_resample,XGB_S03_B_resample,LightGBM_S03_B_resample,SARIMAX_S03_B_resample,Ensemble_unweighted_S03_B_resample,Ensemble_MASEweighted_S03_B_resample,TabPFN_S03_A_removal,TabICLv2_S03_A_removal,TFT_S03_A_removal,DLinear_S03_A_removal,LSTM_S03_A_removal,TabPFN_S03_B_resample,TabICLv2_S03_B_resample,TFT_S03_B_resample,DLinear_S03_B_resample,LSTM_S03_B_resample,Climatology,Climatology_gf,DLinear_gf,LSTM_gf,TFT_gf,TabPFN_gf,TabICLv2_gf
2018-12-17,2,2018,18.70908835605556,18.70909,20.960429166666668,54.91721666666666,38.72209580539512,41.7848014831543,41.05945046249695,35.26832839596431,39.20866903675267,39.27936094616982,8.923313569769675,17.40030860900879,54.59087135020377,30.51888406029815,26.54997,33.57967902634337,40.34873962402344,38.85271746931371,38.59639621786267,37.8443830843858,37.88890677005349,31.51626616329852,39.56382751464844,36.864333655665305,36.6263394896094,36.14269170580542,36.19776725457188,12.473426818847656,26.794544,14.467208517041628,45.36507679417548,15.143607918539828,9.083735466003418,15.289617,5.872611977166798,47.84932679077042,19.80458071632529,13.167053763032778,19.014789880952385,50.60051106482615,28.50096385364543,32.29764958590911,30.443186,32.841694
2018-12-18,2,2018,35.149889121928574,35.14989,32.9244375,54.91721666666666,55.91555668787454,53.04533386230469,47.385284363830834,37.0516666360365,48.34946038751164,48.44201823241369,9.610669668371088,17.434782028198242,45.03955020189335,52.18364803396889,38.48059,51.72871468286513,51.40496063232422,49.59962389567585,34.480726095945464,46.80350632670267,46.94133640259898,39.74144200937125,44.60620880126953,34.93016561963234,34.62505945322922,38.47571897087558,38.53433654240799,12.844021797180176,32.581406,17.72919211502233,39.37740697397032,17.152258794652198,10.27034854888916,21.608154,1.3549108657368834,21.188834901033488,40.73093349511669,19.052440369499305,20.472676875000005,72.55260817761109,70.62326695831098,37.59877451041561,34.804,45.78456
2018-12-19,2,2018,20.564511855705884,20.564512,21.9152625,54.91721666666666,39.56951855283139,41.10360336303711,38.36879951826207,38.47844616983251,39.38009190099078,39.39580836075521,-0.285246799633569,15.80345344543457,36.88073296186008,23.49176057570139,25.660036,35.52168294843629,40.98933792114258,40.20349262738495,33.48060149336558,37.54877874758235,37.64135684684424,30.93354500619688,34.07809066772461,29.32870862672428,34.69997997826172,32.26008106972687,32.244044894857666,10.135108947753906,15.6039715,16.52131793416845,31.34013168404681,11.507174086042824,6.078673839569092,14.043709,3.258776360797356,14.463440368628198,17.913960544340853,22.68317606379074,22.765017763157896,50.92272285225499,28.34360080096189,31.298332104232852,31.847176,36.652557
2018-12-20,2,2018,21.31585997685,21.31586,59.83865,54.91721666666666,39.92348037067275,33.21474838256836,32.10457008831594,38.239119961341736,35.870479700724694,35.78182712926442,-8.505230380806552,16.765262603759766,27.77468339910837,-6.726543917329764,19.17531,32.51124966546457,34.669830322265625,35.539161856951694,33.275856320522344,33.999024541301054,34.02859894124352,29.071965526392727,30.561622619628903,29.107475772412936,34.471767711329164,30.80320790744093,30.76820423288732,8.775219917297363,16.139753,12.45032588522622,24.046372957705103,4.664560185959772,7.054044723510742,12.057975,2.920169955508527,25.90233491601407,3.9851323839880015,22.68317606379074,20.96528078703704,56.98460907349636,40.88163407413958,34.93599991238548,33.89386,37.89281
2018-12-21,2,2018,8.646292532607143,8.646293,10.355054166666667,54.91721666666666,30.00390149885676,30.42963409423828,31.018368539778624,16.49782906978025,26.98743330066348,27.11702418623016,-17.063883939407788,-1.941825270652771,45.4104852158157,-25.53347964518889,1.9406016,23.05286879080585,22.766626358032227,24.38990149595013,16.925429507061867,21.78370653796252,21.843581123574083,19.694867473079025,18.892528533935547,21.52846263243766,16.769577108200043,19.22135893691307,19.251314264120467,1.489536166191101,6.9808025,10.724068586468888,0.8865634833032345,2.6884326518761554,2.9893319606781006,9.2938175,3.236752146272238,16.730036578802583,-5.026037261401143,27.242417922069443,21.949699019607845,43.43038140030728,29.49251220291285,25.427158147082423,17.058521,25.17689
2018-12-22,2,2018,4.645622667038461,4.6456227,5.962599999999999,54.91721666666666,17.129927895764524,16.906354904174805,20.643939967111404,20.75271445861381,18.858234306416136,18.844918528852705,-5.458994730998256,-1.011710524559021,35.23929662774441,-2.332638875205703,0.95631266,18.6197913675091,17.069114685058594,19.472222592546505,16.97576593551669,18.034223645157724,18.04059777743469,16.464805758556583,15.30681037902832,16.32416980718708,17.30221785772392,16.349500950623977,16.331325714857563,2.669188976287842,3.9403062,19.588036174120816,23.78542772416347,18.129366962884205,2.0309267044067383,5.067165,7.314000753269511,21.998783897693784,8.92165106244147,45.90357462874999,22.969692968750003,27.4394527271304,13.85160701507175,22.536995355047,9.049905,11.84223
2018-12-23,2,2018,,,81.17115416666667,54.91721666666666,30.39975293728323,23.083261489868164,24.24500371726907,22.48629318668642,25.05357783277672,25.02488589634132,-4.755265274709473,-1.5239715576171875,14.47129805987879,-8.618979369397039,3.0063784,37.264796020890735,27.043601989746094,32.944720083646985,17.039443318038344,28.57314035308054,28.63979017787124,27.528780874565403,20.153715133666992,18.48273598005175,17.40364994438062,20.89222048316619,20.86557898758821,1.0775822401046753,5.203001,11.123834921669754,-9.7128415799898,12.881537124909984,1.7785742282867432,6.941388,4.661583911840353,27.835877513393825,13.22339782896097,40.19475529468591,20.93086583333333,34.19788389399707,25.94318274265765,22.340318328346484,15.749984,25.239147
2018-12-24,2,2018,,,11.309029166666669,54.91721666666666,20.48128862152031,17.718393325805664,21.8286389922233,26.367200456415134,21.598880348991106,21.530933669701813,9.718678733253569,0.1097012162208557,52.10032582592248,55.78422965870777,4.1150436,20.404194487054543,19.3355712890625,24.19444626813866,17.10659225438842,20.26020107466103,20.30275120511274,18.70036885314085,15.449098587036133,16.111531447779655,17.844287588556725,17.026321619128343,16.99080722386386,1.4882378578186035,2.2713838,16.006780930700188,1.76545562436786,25.70734187596093,0.1415744870901107,2.7318902,12.038441993893912,49.20138830418796,22.108892140014177,40.19475529468591,24.14167027777778,43.23257973750708,12.189780500724282,12.957147865823572,9.073987,18.292248
2018-12-25,2,2018,23.430924851857142,23.430925,21.3093375,54.91721666666666,14.969924005412814,17.819841384887695,17.82353864535984,26.951034791848382,19.391084706877184,19.32592552544176,11.784529571353572,0.909641981124878,53.47273381666287,56.90802268456309,4.826992,18.875367597608484,17.00893783569336,19.472222592546505,17.174678466789466,18.13280162315945,18.13546699537706,17.122300266843343,13.300960540771484,13.9456064076672,19.15787796423952,15.881686294880389,15.812138241678484,1.0659422874450684,3.3626447,16.143928992045062,42.94248495881675,17.038559195397966,0.1980559527873993,2.957055,7.405336258695115,31.25987968562407,15.467010718349457,40.19475529468591,26.59863671875,37.99786584364654,9.752809379102928,9.32748652403984,6.482789,11.876621
2018-12-26,2,2018,20.941292970611112,20.941294,14.657541666666669,54.91721666666666,13.64411314014064,15.706714630126951,15.641518546936943,24.570740477780618,17.39077169874629,17.323181080585286,17.61709500839629,3.0642004013061523,55.89127152650326,73.82530468532696,5.6054163,20.34740287311726,15.557245254516602,17.753620235186272,17.243039976140274,17.7253270847401,17.69658614852407,17.405336719427147,13.039142608642578,14.066781672700928,20.767140158810182,16.31960028989521,16.2326555882783,3.089106321334839,3.3888435,14.741866647747544,14.007320993147232,19.750811779373976,0.696368396282196,1.7368793,7.720364463828446,8.080010514062678,19.38846056873536,40.19475529468591,27.28554705882353,41.02310008644122,12.4264401798373,10.34546713081204,5.70871,11.449704
