bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
31-90,60,-0.723,57.134,37.012,1.5078,1.0,-0.081,TabICLv2,2018,9,A_removal,0.0
91-180,90,-1.875,18.897,15.261,2.0306,1.0,0.093,TabICLv2,2018,9,A_removal,0.0
181-270,90,-2.849,111.056,95.57,1.1969,1.0,0.179,TabICLv2,2018,9,A_removal,0.0
271-365,95,-1.168,40.377,29.639,1.5457,1.0,-0.003,TabICLv2,2018,9,A_removal,0.0
1-7,7,-0.62,73.477,45.461,1.5977,1.0,,TabPFN,2018,9,B_resample,0.0
8-30,23,-0.438,55.288,30.52,1.6103,1.0,,TabPFN,2018,9,B_resample,0.0
31-90,60,-0.723,57.134,37.012,1.5078,1.0,,TabPFN,2018,9,B_resample,0.0
91-180,90,-1.875,18.897,15.261,2.0306,1.0,,TabPFN,2018,9,B_resample,0.0
181-270,90,-2.849,111.056,95.57,1.1969,1.0,,TabPFN,2018,9,B_resample,0.0
271-365,95,-1.168,40.378,29.639,1.5457,1.0,,TabPFN,2018,9,B_resample,0.0
1-7,7,-0.62,73.477,45.462,1.5977,1.0,-0.19,TabICLv2,2018,9,B_resample,0.0
8-30,23,-0.438,55.288,30.52,1.6103,1.0,-0.541,TabICLv2,2018,9,B_resample,0.0
31-90,60,-0.723,57.134,37.012,1.5078,1.0,-0.302,TabICLv2,2018,9,B_resample,0.0
91-180,90,-1.875,18.897,15.261,2.0306,1.0,-0.339,TabICLv2,2018,9,B_resample,0.0
181-270,90,-2.849,111.056,95.569,1.1969,1.0,0.309,TabICLv2,2018,9,B_resample,0.0
271-365,95,-1.168,40.377,29.638,1.5456,1.0,-0.294,TabICLv2,2018,9,B_resample,0.0
1-7,7,-1.644,53.406,42.247,1.4843,0.9368,0.336,TabPFN,2019,2,A_removal,0.0
8-30,23,-0.867,26.087,19.874,1.3958,0.8666,0.14,TabPFN,2019,2,A_removal,0.0
31-90,60,-0.866,42.398,29.002,1.6657,0.9281,0.125,TabPFN,2019,2,A_removal,0.0
91-180,90,-2.381,14.222,11.637,1.2555,0.9925,-0.325,TabPFN,2019,2,A_removal,0.0
181-270,90,-0.63,28.717,18.258,1.0924,0.925,0.085,TabPFN,2019,2,A_removal,0.0
271-365,95,-0.84,33.986,24.811,1.2197,0.9415,-0.227,TabPFN,2019,2,A_removal,0.0
1-7,7,-1.52,52.138,40.841,1.4349,0.9056,0.73,TabICLv2,2019,2,A_removal,0.0
8-30,23,-0.71,24.965,18.874,1.3256,0.823,0.271,TabICLv2,2019,2,A_removal,0.0
31-90,60,-0.807,41.731,28.109,1.6144,0.8995,0.158,TabICLv2,2019,2,A_removal,0.0
91-180,90,-2.432,14.329,11.498,1.2406,0.9807,-0.277,TabICLv2,2019,2,A_removal,0.0
181-270,90,-0.457,27.149,16.815,1.0061,0.8519,-0.075,TabICLv2,2019,2,A_removal,0.0
271-365,95,-0.787,33.493,25.06,1.2319,0.9509,-0.437,TabICLv2,2019,2,A_removal,0.0
1-7,7,-1.586,52.817,41.31,1.4514,0.916,-0.133,TabPFN,2019,2,B_resample,0.0
8-30,23,-0.766,25.367,19.182,1.3473,0.8365,0.162,TabPFN,2019,2,B_resample,0.0
31-90,60,-0.732,40.849,26.823,1.5405,0.8584,0.236,TabPFN,2019,2,B_resample,0.0
91-180,90,-1.505,12.242,9.304,1.0038,0.7935,-0.362,TabPFN,2019,2,B_resample,0.0
181-270,90,-0.513,27.67,17.164,1.0269,0.8695,0.129,TabPFN,2019,2,B_resample,0.0
271-365,95,-0.767,33.302,24.053,1.1824,0.9127,-0.255,TabPFN,2019,2,B_resample,0.0
1-7,7,-1.577,52.729,41.776,1.4678,0.9264,0.822,TabICLv2,2019,2,B_resample,0.0
8-30,23,-0.792,25.555,19.92,1.399,0.8686,0.306,TabICLv2,2019,2,B_resample,0.0
31-90,60,-0.669,40.099,26.146,1.5017,0.8367,0.378,TabICLv2,2019,2,B_resample,0.0
91-180,90,-2.004,13.406,10.488,1.1316,0.8945,-0.27,TabICLv2,2019,2,B_resample,0.0
181-270,90,-0.536,27.875,17.204,1.0294,0.8716,-0.233,TabICLv2,2019,2,B_resample,0.0
271-365,95,-0.834,33.926,25.309,1.2442,0.9604,-0.41,TabICLv2,2019,2,B_resample,0.0
1-7,7,-10.461,6.7,6.373,3.1928,3.1434,-0.437,TabPFN,2019,4,A_removal,0.0
8-30,23,-0.382,34.188,19.831,1.0962,1.0956,0.328,TabPFN,2019,4,A_removal,0.34782608695652173
31-90,60,-0.849,32.547,24.867,0.8602,0.862,0.295,TabPFN,2019,4,A_removal,0.5333333333333333
91-180,90,-0.949,67.841,52.703,0.7565,0.7573,0.569,TabPFN,2019,4,A_removal,0.6888888888888889
