tower,,2,2,2,2,2,2,4,4,4,4,4,4,9,9,9,9,9,9
,,R2,RMSE,MAE,MASE,WAPE,Correlation,R2,RMSE,MAE,MASE,WAPE,Correlation,R2,RMSE,MAE,MASE,WAPE,Correlation
anchor_year,model,,,,,,,,,,,,,,,,,,
2018,RF,-0.889,22.13,18.047,0.346,1.347,0.087,-0.238,46.679,32.871,1.021,1.206,0.277,,,,,,
2018,XGB,-0.618,20.819,16.452,0.312,1.205,0.214,-0.072,45.541,30.172,0.893,1.036,0.265,,,,,,
2018,LightGBM,-0.6,20.667,16.32,0.31,1.204,0.182,-0.111,45.307,29.813,0.896,1.05,0.284,,,,,,
2018,SARIMAX,-3.244,34.101,30.759,0.574,2.286,0.056,-0.398,49.499,37.788,1.171,1.382,0.24,,,,,,
2018,Ensemble_unweighted,-1.048,23.657,19.821,0.374,1.464,0.176,-0.16,46.038,32.106,0.977,1.148,0.276,,,,,,
2018,Ensemble_MASEweighted,-1.029,23.542,19.694,0.372,1.455,0.178,-0.157,46.003,32.029,0.974,1.144,0.277,,,,,,
2018,TFT,-2.312,29.526,20.839,0.4,1.549,0.111,-0.621,52.204,32.357,1.004,1.2,0.057,,,,,,
2018,TabPFN,-0.24,18.251,12.956,0.243,0.969,0.098,-0.201,49.693,29.064,0.844,0.974,0.081,,,,,,
2019,RF,,,,,,,0.007,48.567,29.897,0.784,0.785,0.473,0.078,71.212,45.019,0.913,0.84,0.499
2019,XGB,,,,,,,0.075,48.21,28.596,0.745,0.746,0.439,0.101,70.191,44.247,0.9,0.83,0.521
2019,LightGBM,,,,,,,0.1,47.799,27.667,0.715,0.716,0.468,0.003,71.335,44.843,0.919,0.843,0.511
2019,SARIMAX,,,,,,,0.114,47.927,31.362,0.836,0.837,0.448,0.186,69.127,41.551,0.814,0.753,0.49
2019,Ensemble_unweighted,,,,,,,0.136,47.046,27.7,0.71,0.711,0.465,0.134,69.614,42.737,0.861,0.793,0.52
2019,Ensemble_MASEweighted,,,,,,,0.134,47.068,27.705,0.71,0.711,0.465,0.132,69.637,42.784,0.863,0.794,0.52
2019,TFT,,,,,,,-0.113,53.475,32.543,0.879,0.88,0.26,-0.117,81.218,53.041,1.035,0.955,0.239
2019,TabPFN,,,,,,,-0.09,55.863,32.09,0.809,0.811,0.505,-0.46,91.602,56.285,1.087,1.0,
2020,RF,,,,,,,-0.07,61.519,34.465,1.029,0.929,0.337,-1.147,58.459,36.644,0.95,1.132,0.354
2020,XGB,,,,,,,-0.073,63.099,34.873,1.021,0.917,0.251,-1.378,58.137,35.897,0.938,1.134,0.34
2020,LightGBM,,,,,,,-0.068,62.955,35.099,1.031,0.927,0.272,-1.229,58.507,36.9,0.96,1.149,0.339
2020,SARIMAX,,,,,,,0.06,62.671,35.207,1.0,0.887,0.318,-0.921,58.555,35.01,0.895,1.034,0.283
2020,Ensemble_unweighted,,,,,,,0.0,62.143,34.145,0.99,0.886,0.309,-1.076,58.032,35.442,0.915,1.087,0.337
2020,Ensemble_MASEweighted,,,,,,,-0.002,62.163,34.159,0.991,0.887,0.308,-1.082,58.034,35.463,0.915,1.089,0.338
2020,TFT,,,,,,,-0.09,63.77,34.777,1.015,0.905,0.316,-0.105,58.098,33.147,0.876,0.924,0.334
2020,TabPFN,,,,,,,0.034,64.302,31.196,0.886,0.786,0.394,-0.51,62.234,35.554,0.906,1.003,0.192
2021,RF,,,,,,,-0.141,61.899,44.242,1.195,1.06,0.411,0.008,63.741,40.882,0.749,0.837,0.341
2021,XGB,,,,,,,-0.058,60.778,43.891,1.145,1.019,0.413,0.043,63.777,41.306,0.74,0.791,0.318
2021,LightGBM,,,,,,,-0.043,59.971,43.11,1.128,1.007,0.434,0.073,61.958,40.243,0.722,0.784,0.317
2021,SARIMAX,,,,,,,-0.036,61.754,42.024,1.069,0.949,0.386,-0.742,74.211,49.082,0.923,1.111,0.317
2021,Ensemble_unweighted,,,,,,,-0.034,60.447,42.982,1.122,0.998,0.424,0.075,63.644,39.225,0.689,0.714,0.324
2021,Ensemble_MASEweighted,,,,,,,-0.034,60.433,42.998,1.122,0.999,0.424,0.077,63.583,39.22,0.689,0.715,0.324
2021,TFT,,,,,,,-0.343,63.387,39.415,1.097,0.974,0.468,-0.203,75.701,47.016,0.799,0.819,0.298
2021,TabPFN,,,,,,,0.058,63.488,36.782,0.891,0.791,0.425,-0.133,73.289,45.481,0.776,0.765,0.44
2022,RF,,,,,,,0.105,39.06,28.938,1.09,1.159,0.512,-0.331,39.859,30.438,1.16,1.189,0.362
2022,XGB,,,,,,,0.142,38.533,27.866,1.038,1.102,0.491,-0.197,37.787,28.686,1.099,1.126,0.388
2022,LightGBM,,,,,,,0.054,40.809,30.563,1.122,1.19,0.462,-0.404,42.326,32.618,1.212,1.241,0.343
2022,SARIMAX,,,,,,,0.063,40.092,29.747,1.112,1.181,0.504,-0.143,38.176,27.669,1.044,1.069,0.307
2022,Ensemble_unweighted,,,,,,,0.116,39.149,28.951,1.077,1.144,0.506,-0.144,38.296,28.595,1.066,1.091,0.355
2022,Ensemble_MASEweighted,,,,,,,0.116,39.151,28.948,1.077,1.144,0.506,-0.148,38.33,28.643,1.068,1.093,0.355
2022,TFT,,,,,,,0.03,39.562,28.056,1.074,1.142,0.472,-0.411,44.464,33.443,1.185,1.212,0.345
2022,TabPFN,,,,,,,0.171,37.598,23.161,0.88,0.936,0.549,0.046,36.387,25.794,0.932,0.953,0.412
