anchor_year,eval_tower,model,bin,n,raw_picp,raw_mpiw,raw_pinball,conformal_picp,conformal_mpiw,conformal_pinball,conformal_margin
2018,2,RF,1-7,6,0.6666666666666666,55.7365856072929,3.5575233175581977,,,,
2018,2,RF,8-30,21,0.19047619047619047,16.475828987984663,3.3081190810801573,,,,
2018,2,RF,31-90,32,0.28125,24.108764632403144,4.609849158020974,,,,
2018,2,RF,91-180,43,0.16279069767441862,13.387220614580867,9.669367985957978,,,,
2018,4,RF,8-30,7,0.42857142857142855,16.215109533093475,2.753680993193038,1.0,158.67677717622794,4.126338050028772,79.33838858811399
2018,4,RF,31-90,33,0.3939393939393939,23.68203449210207,3.8423776813509805,1.0,92.40012934991047,3.5090104993677738,46.200064674955236
2018,4,RF,91-180,83,0.37349397590361444,28.922635170497777,6.039147976574502,0.9879518072289156,143.53530420158012,5.333643004179,71.76765210079007
2018,4,RF,181-270,72,0.3194444444444444,61.563477477388204,20.068274382262306,0.8055555555555556,201.37264447000678,15.274714505785724,100.68632223500339
2018,4,RF,271-365,67,0.3283582089552239,44.54138197363118,11.935051945419552,0.9104477611940298,105.82857426178602,10.333729937902065,52.914287130892994
2019,4,RF,8-30,8,0.0,42.19943919506656,24.577997648621977,0.375,65.27489423463356,21.35611658929643,32.63744711731678
2019,4,RF,31-90,32,0.53125,44.608448673041636,6.952643155990832,0.8125,75.41311592477281,5.802329984029126,37.706557962386405
2019,4,RF,91-180,62,0.43548387096774194,68.86529038944641,17.453040141945117,0.7096774193548387,112.82215311364325,16.12194283927475,56.411076556821634
2019,4,RF,181-270,61,0.4426229508196721,32.7094502273421,5.806859886015983,1.0,220.41647071614207,6.62740410616007,110.20823535807104
2019,4,RF,271-365,66,0.6060606060606061,35.23159229529021,6.967063159500554,0.9545454545454546,115.24411035112485,7.022920286994566,57.62205517556242
2020,4,RF,1-7,4,0.5,36.84903337377327,4.333195130490247,0.25,26.60760020556173,4.489132265627947,13.303800102780865
2020,4,RF,8-30,21,0.42857142857142855,33.60445199673408,4.992501311778832,1.0,170.57934373996713,5.571130889411591,85.28967186998358
2020,4,RF,31-90,37,0.2972972972972973,34.963280057870506,11.032849789849328,0.8108108108108109,75.48546537672327,8.991849875740423,37.742732688361635
2020,4,RF,91-180,42,0.35714285714285715,31.7597401709878,5.397336964041916,1.0,135.7801942135118,4.927297314071327,67.8900971067559
2020,4,RF,181-270,79,0.4177215189873418,68.69456575655461,16.89630086924869,0.9620253164556962,219.83374330004384,14.2662470470953,109.91687165002185
2020,4,RF,271-365,80,0.525,41.71153096063741,13.242496796476189,0.8125,91.56224699494044,12.31889890721827,45.781123497470226
2021,4,RF,1-7,3,1.0,15.64130184545701,0.7732249511644498,1.0,47.94663228098292,1.3116471250898816,23.973316140491455
2021,4,RF,8-30,19,0.42105263157894735,32.772507214671506,4.531107842162833,1.0,170.44864611786087,5.218191849207854,85.22432305893045
2021,4,RF,31-90,50,0.38,26.453581512628617,5.4665748550907125,0.94,88.11474621595275,4.454519217571375,44.057373107976375
2021,4,RF,91-180,90,0.35555555555555557,67.41636352971841,18.385038938776024,0.7333333333333333,107.72902019756431,17.356123889872762,53.86451009878215
2021,4,RF,181-270,88,0.2159090909090909,77.66065367352381,23.688329489363056,0.6704545454545454,177.29278094367595,18.76065028855992,88.64639047183796
2021,4,RF,271-365,91,0.43956043956043955,49.754780328982896,8.8492480349858,0.9120879120879121,107.32657872320115,7.065201349066286,53.66328936160058
2022,4,RF,91-180,75,0.18666666666666668,29.298033192995415,9.051960876599688,0.9733333333333334,141.65195019729097,6.884166218077991,70.8259750986455
2022,4,RF,181-270,74,0.3918918918918919,58.3386342467684,12.374389863882913,0.9594594594594594,218.1946063672999,10.216873857320374,109.09730318364997
2022,4,RF,271-365,74,0.2702702702702703,22.716875490939003,7.997672981667102,0.918918918918919,107.3354053913387,6.19063727007867,53.66770269566935
2019,9,RF,31-90,16,0.5625,59.34668860141157,5.980786336670815,0.8125,70.27677724983477,5.240109300527005,35.138388624917376
2019,9,RF,91-180,81,0.35802469135802467,69.694509855817,14.427715987039669,0.7901234567901234,129.85457022451655,12.353191081842233,64.92728511225828
2019,9,RF,181-270,49,0.3469387755102041,35.50654092980755,16.164495106084487,0.8979591836734694,175.845301961254,12.235518965703148,87.922650980627
2019,9,RF,271-365,49,0.40816326530612246,50.623491294102436,21.94322344159296,0.8367346938775511,139.04150404449112,20.406088969296746,69.52075202224555
2020,9,RF,1-7,4,0.0,48.39909094555942,7.1198685134249695,0.0,9.603327480142667,9.850400674352493,4.801663740071334
2020,9,RF,8-30,19,0.47368421052631576,42.53369852653818,25.081901624849582,0.8421052631578947,85.360605515873,23.90609162552295,42.6803027579365
2020,9,RF,31-90,24,0.2916666666666667,40.82878756984942,7.285883085930393,0.7916666666666666,68.61321057111678,5.380446849036685,34.30660528555839
2020,9,RF,91-180,57,0.47368421052631576,27.445843012705556,5.31678029052726,1.0,171.82453537366902,5.383575776247799,85.91226768683451
2020,9,RF,181-270,64,0.28125,64.89253402339423,22.022995533190514,0.78125,163.61006703727955,18.004810114742536,81.80503351863976
2020,9,RF,271-365,86,0.4069767441860465,39.66544341182528,10.581139315818666,0.9186046511627907,155.87386191724914,8.730053375235498,77.93693095862459
2021,9,RF,8-30,12,0.4166666666666667,24.084718931220653,5.422340701451444,1.0,372.38453840570384,8.754133773177516,186.1922692028519
2021,9,RF,31-90,35,0.2857142857142857,20.918387315458585,4.817128212834776,0.9714285714285714,87.7372236614101,3.8339203796188506,43.86861183070505
2021,9,RF,91-180,85,0.47058823529411764,73.08902300044365,19.02889676544294,0.7764705882352941,122.9320546235366,18.15975982369073,61.46602731176832
2021,9,RF,181-270,47,0.425531914893617,55.67480211025529,15.419994157344027,0.8723404255319149,173.43857668581347,11.916207708036849,86.71928834290676
2022,9,RF,31-90,14,0.42857142857142855,16.877770710360654,4.980030262716576,0.9285714285714286,73.01636639435402,3.529526363412428,36.50818319717702
2022,9,RF,91-180,84,0.35714285714285715,28.723844739651344,6.91576599037661,1.0,182.1254465325682,6.283328169709903,91.0627232662841
2022,9,RF,181-270,84,0.2857142857142857,70.50919227715369,12.947036189520018,0.9880952380952381,209.29729304997952,10.041270306374008,104.6486465249898
2022,9,RF,271-365,89,0.39325842696629215,37.26718058821649,10.39181007102245,0.9662921348314607,179.62096112578328,8.631535044106643,89.81048056289166
2018,2,XGB,1-7,6,0.8333333333333334,65.10775407155354,2.4607783738606064,,,,
2018,2,XGB,8-30,21,0.38095238095238093,21.508711587815057,2.8653705765197155,,,,
2018,2,XGB,31-90,32,0.40625,27.58968436717987,3.8865840611851628,,,,
2018,2,XGB,91-180,43,0.18604651162790697,18.711738650188888,9.018925872782372,,,,
2018,4,XGB,8-30,7,0.42857142857142855,19.030048370361328,2.654341440479251,1.0,135.86135922095366,3.7189931245666634,67.93067961047683
2018,4,XGB,31-90,33,0.3939393939393939,30.361872427391283,3.7885425906716423,0.9696969696969697,83.4291623348966,3.4707973268275203,41.7145811674483
2018,4,XGB,91-180,83,0.40963855421686746,24.548303609152875,5.298279854832351,1.0,166.10453192626747,5.340046608416098,83.05226596313373
