track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded
A,48,9,clim,138.811,65.52,-0.031,1.924,5848,0.206,0.0,1.2126,0.8793,1.4104,4.2192,325
A,48,9,RF,132.921,62.727,0.055,10.358,5848,0.239,0.042,1.1609,0.8418,1.3366,4.0207,325
A,48,9,XGB,133.112,62.736,0.052,7.771,5848,0.238,0.041,1.1611,0.8419,1.3557,3.8665,325
A,48,2,persist,134.197,45.629,-0.686,4.799,2880,0.0,-0.206,1.257,1.0,1.1965,4.44,178
A,48,2,clim,111.302,44.388,-0.16,4.344,2880,0.171,0.0,1.2228,0.9728,1.2363,4.0108,178
A,48,2,RF,101.846,35.099,0.029,-13.21,2880,0.241,0.085,0.9669,0.7692,1.2039,1.9284,178
A,48,2,XGB,108.007,42.161,-0.092,-2.542,2880,0.195,0.03,1.1615,0.924,1.2832,3.2045,178
B,1,4,persist,51.418,30.285,0.44,2.462,567,0.0,0.26,0.7937,1.0,1.0558,2.3291,29
B,1,4,clim,69.466,40.622,-0.022,0.109,567,-0.351,0.0,1.0646,1.3413,1.1843,3.3462,29
B,1,4,RF,55.082,32.295,0.357,2.936,567,-0.071,0.207,0.8463,1.0664,1.0883,2.2837,29
B,1,4,XGB,54.905,33.388,0.362,3.808,567,-0.068,0.21,0.875,1.1025,1.1458,2.4603,29
B,1,9,persist,57.512,32.145,0.231,1.467,458,0.0,0.103,0.7845,1.0,1.0626,1.9623,25
B,1,9,clim,64.099,41.771,0.045,2.897,458,-0.115,0.0,1.0195,1.2995,1.1425,3.3842,25
B,1,9,RF,51.329,29.882,0.388,0.005,458,0.108,0.199,0.7293,0.9296,1.067,2.0169,25
B,1,9,XGB,53.942,30.911,0.324,-1.508,458,0.062,0.158,0.7544,0.9616,1.0864,2.1876,25
B,1,2,persist,47.861,26.483,-0.088,5.635,247,0.0,0.127,0.909,1.0,0.9669,2.2533,16
B,1,2,clim,54.812,31.479,-0.426,8.375,247,-0.145,0.0,1.0804,1.1886,1.0476,3.3952,16
B,1,2,RF,44.923,25.086,0.042,-6.718,247,0.061,0.18,0.861,0.9472,1.0645,1.89,16
B,1,2,XGB,47.219,26.03,-0.059,-10.172,247,0.013,0.139,0.8934,0.9829,1.1345,1.5416,16
B,3,4,persist,64.969,37.704,0.106,4.066,567,0.0,0.065,0.9881,1.0,1.185,3.0422,29
B,3,4,clim,69.466,40.622,-0.022,0.109,567,-0.069,0.0,1.0646,1.0774,1.1843,3.3462,29
B,3,4,RF,55.631,33.776,0.345,6.207,567,0.144,0.199,0.8852,0.8958,1.0915,2.5289,29
B,3,4,XGB,56.945,35.377,0.313,6.754,567,0.123,0.18,0.9271,0.9383,1.159,2.6959,29
B,3,9,persist,72.868,40.14,-0.234,4.634,458,0.0,-0.137,0.9797,1.0,1.147,2.8174,25
B,3,9,clim,64.099,41.771,0.045,2.897,458,0.12,0.0,1.0195,1.0407,1.1425,3.3842,25
B,3,9,RF,52.867,30.677,0.35,-0.713,458,0.274,0.175,0.7487,0.7643,1.0692,2.0842,25
B,3,9,XGB,56.002,32.762,0.271,-1.917,458,0.231,0.126,0.7996,0.8162,1.1058,2.3738,25
B,3,2,persist,51.411,27.696,-0.255,6.309,247,0.0,0.062,0.9506,1.0,0.9889,2.0432,16
B,3,2,clim,54.812,31.479,-0.426,8.375,247,-0.066,0.0,1.0804,1.1366,1.0476,3.3952,16
B,3,2,RF,45.449,25.746,0.019,-6.261,247,0.116,0.171,0.8836,0.9296,1.0789,2.0153,16
B,3,2,XGB,47.334,26.663,-0.064,-7.003,247,0.079,0.136,0.9151,0.9627,1.1396,1.8708,16
B,7,4,persist,77.138,44.991,-0.26,5.613,567,0.0,-0.11,1.1791,1.0,1.2675,3.4737,29
B,7,4,clim,69.466,40.622,-0.022,0.109,567,0.099,0.0,1.0646,0.9029,1.1843,3.3462,29
B,7,4,RF,58.03,35.023,0.287,6.001,567,0.248,0.165,0.9178,0.7784,1.1142,2.6346,29
B,7,4,XGB,58.135,35.802,0.284,5.494,567,0.246,0.163,0.9382,0.7957,1.1532,2.6898,29
B,7,9,persist,86.17,47.286,-0.726,8.647,458,0.0,-0.344,1.1541,1.0,1.2259,4.4372,25
B,7,9,clim,64.099,41.771,0.045,2.897,458,0.256,0.0,1.0195,0.8834,1.1425,3.3842,25
B,7,9,RF,52.292,30.546,0.364,-1.276,458,0.393,0.184,0.7455,0.646,1.0713,2.1454,25
B,7,9,XGB,54.757,32.005,0.303,-2.329,458,0.365,0.146,0.7811,0.6768,1.0735,2.399,25
B,7,2,persist,57.185,32.112,-0.553,9.328,247,0.0,-0.043,1.1022,1.0,1.0727,2.868,16
B,7,2,clim,54.812,31.479,-0.426,8.375,247,0.042,0.0,1.0804,0.9803,1.0476,3.3952,16
B,7,2,RF,45.729,25.951,0.007,-6.468,247,0.2,0.166,0.8907,0.8081,1.0865,2.0155,16
B,7,2,XGB,47.57,27.441,-0.074,-8.841,247,0.168,0.132,0.9418,0.8545,1.1838,1.8076,16
B,14,4,persist,101.072,56.668,-1.163,13.733,567,0.0,-0.455,1.4851,1.0,1.293,5.127,29
B,14,4,clim,69.466,40.622,-0.022,0.109,567,0.313,0.0,1.0646,0.7168,1.1843,3.3462,29
B,14,4,RF,58.719,35.55,0.27,5.993,567,0.419,0.155,0.9316,0.6273,1.1297,2.6745,29
B,14,4,XGB,59.152,36.792,0.259,6.68,567,0.415,0.148,0.9642,0.6493,1.1696,2.801,29
B,14,9,persist,85.1,49.001,-0.683,10.887,458,0.0,-0.328,1.1959,1.0,1.2556,3.7713,25
B,14,9,clim,64.099,41.771,0.045,2.897,458,0.247,0.0,1.0195,0.8525,1.1425,3.3842,25
B,14,9,RF,53.213,30.878,0.342,-1.338,458,0.375,0.17,0.7536,0.6301,1.0768,2.1889,25
B,14,9,XGB,55.866,32.421,0.275,-2.045,458,0.344,0.128,0.7913,0.6617,1.0731,2.5314,25
B,14,2,persist,62.474,37.394,-0.853,11.909,247,0.0,-0.14,1.2834,1.0,1.1994,4.1198,16
B,14,2,clim,54.812,31.479,-0.426,8.375,247,0.123,0.0,1.0804,0.8418,1.0476,3.3952,16
B,14,2,RF,45.868,26.118,0.001,-5.891,247,0.266,0.163,0.8964,0.6984,1.0803,2.0882,16
B,14,2,XGB,48.106,27.877,-0.099,-7.936,247,0.23,0.122,0.9568,0.7455,1.1976,1.948,16
