bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
91-180,90,-61.725,112.327,85.707,5.6992,6.9788,-0.211,gapfilled,DLinear,BASE,2018,4
181-270,90,-2.72,106.668,80.881,1.5226,1.2091,-0.021,gapfilled,DLinear,BASE,2018,4
271-365,95,-0.566,49.086,36.636,1.3638,1.0971,0.31,gapfilled,DLinear,BASE,2018,4
1-7,1,,,,,,,observed,LSTM,BASE,2018,4
8-30,7,-0.966,11.979,9.729,0.6413,1.3912,-0.61,observed,LSTM,BASE,2018,4
31-90,33,-0.852,21.819,14.695,0.8947,1.2045,-0.285,observed,LSTM,BASE,2018,4
91-180,83,-1.342,29.351,21.598,1.1851,1.748,0.204,observed,LSTM,BASE,2018,4
181-270,72,-0.347,92.51,62.873,1.0291,0.8999,0.108,observed,LSTM,BASE,2018,4
271-365,67,-0.097,64.917,28.309,0.9299,0.9211,0.143,observed,LSTM,BASE,2018,4
1-7,7,-3.332,44.347,34.48,2.3674,1.0608,-0.57,gapfilled,LSTM,BASE,2018,4
8-30,23,-0.782,15.753,12.82,1.1136,0.7903,0.235,gapfilled,LSTM,BASE,2018,4
31-90,60,-1.601,30.211,22.008,1.5093,1.0251,-0.31,gapfilled,LSTM,BASE,2018,4
91-180,90,-2.461,26.384,20.1,1.3366,1.6367,0.126,gapfilled,LSTM,BASE,2018,4
181-270,90,-0.901,76.245,55.974,1.0537,0.8367,0.05,gapfilled,LSTM,BASE,2018,4
271-365,95,-0.175,42.52,27.636,1.0288,0.8276,0.535,gapfilled,LSTM,BASE,2018,4
1-7,0,,,,,,,observed,TFT,BASE,2018,9
8-30,0,,,,,,,observed,TFT,BASE,2018,9
31-90,0,,,,,,,observed,TFT,BASE,2018,9
91-180,0,,,,,,,observed,TFT,BASE,2018,9
181-270,0,,,,,,,observed,TFT,BASE,2018,9
271-365,0,,,,,,,observed,TFT,BASE,2018,9
1-7,7,-0.469,69.962,37.727,1.3259,0.8299,-0.558,gapfilled,TFT,BASE,2018,9
8-30,23,-0.281,52.184,22.973,1.2121,0.7527,-0.145,gapfilled,TFT,BASE,2018,9
31-90,60,-0.458,52.553,29.586,1.2052,0.7994,0.04,gapfilled,TFT,BASE,2018,9
91-180,90,-4.527,26.2,22.472,2.9901,1.4725,-0.212,gapfilled,TFT,BASE,2018,9
181-270,90,-1.348,86.737,70.505,0.883,0.7377,0.099,gapfilled,TFT,BASE,2018,9
271-365,95,-0.46,33.128,22.299,1.1629,0.7523,0.199,gapfilled,TFT,BASE,2018,9
1-7,0,,,,,,,observed,DLinear,BASE,2018,9
8-30,0,,,,,,,observed,DLinear,BASE,2018,9
31-90,0,,,,,,,observed,DLinear,BASE,2018,9
91-180,0,,,,,,,observed,DLinear,BASE,2018,9
181-270,0,,,,,,,observed,DLinear,BASE,2018,9
271-365,0,,,,,,,observed,DLinear,BASE,2018,9
1-7,7,-1.336,88.218,60.487,2.1257,1.3305,-0.187,gapfilled,DLinear,BASE,2018,9
8-30,23,-1.706,75.829,56.447,2.9783,1.8495,0.143,gapfilled,DLinear,BASE,2018,9
31-90,60,-2.586,82.427,68.667,2.7973,1.8553,0.082,gapfilled,DLinear,BASE,2018,9
91-180,90,-44.741,75.373,66.053,8.7889,4.3281,0.141,gapfilled,DLinear,BASE,2018,9
181-270,90,-1.181,83.59,69.79,0.874,0.7302,0.486,gapfilled,DLinear,BASE,2018,9
271-365,95,-1.132,40.043,29.36,1.5311,0.9906,0.218,gapfilled,DLinear,BASE,2018,9
1-7,0,,,,,,,observed,LSTM,BASE,2018,9
8-30,0,,,,,,,observed,LSTM,BASE,2018,9
31-90,0,,,,,,,observed,LSTM,BASE,2018,9
91-180,0,,,,,,,observed,LSTM,BASE,2018,9
181-270,0,,,,,,,observed,LSTM,BASE,2018,9
271-365,0,,,,,,,observed,LSTM,BASE,2018,9
1-7,7,-0.651,74.168,56.831,1.9972,1.2501,0.77,gapfilled,LSTM,BASE,2018,9
8-30,23,-0.585,58.038,41.357,2.1821,1.3551,0.495,gapfilled,LSTM,BASE,2018,9
31-90,60,-1.517,69.051,47.964,1.9539,1.2959,-0.298,gapfilled,LSTM,BASE,2018,9
91-180,90,-0.696,14.514,11.542,1.5358,0.7563,0.368,gapfilled,LSTM,BASE,2018,9
181-270,90,-2.238,101.863,82.912,1.0384,0.8676,-0.323,gapfilled,LSTM,BASE,2018,9
271-365,95,-0.817,36.958,28.053,1.463,0.9465,0.149,gapfilled,LSTM,BASE,2018,9
1-7,6,-4.855,23.746,19.41,0.5282,1.0681,0.164,observed,TFT,BASE+species,2018,2
8-30,21,-0.847,14.242,11.509,0.2471,1.2359,0.44,observed,TFT,BASE+species,2018,2
31-90,32,-0.279,14.545,11.105,0.2442,0.9563,0.416,observed,TFT,BASE+species,2018,2
91-180,43,-1.1,33.099,23.96,0.3897,1.5121,-0.217,observed,TFT,BASE+species,2018,2
181-270,0,,,,,,,observed,TFT,BASE+species,2018,2
271-365,0,,,,,,,observed,TFT,BASE+species,2018,2
1-7,7,-2.478,47.558,35.489,1.1628,1.0656,-0.436,gapfilled,TFT,BASE+species,2018,2
8-30,23,-1.728,12.934,10.152,0.2191,1.1512,0.448,gapfilled,TFT,BASE+species,2018,2
31-90,60,-1.798,36.957,25.383,0.7299,1.0061,-0.286,gapfilled,TFT,BASE+species,2018,2
91-180,90,-3.033,18.007,14.129,0.2843,1.7938,-0.138,gapfilled,TFT,BASE+species,2018,2
