date,TabICLv2,y_true,y_gapfilled,persistence,tower,anchor_year
2018-12-17,26.54997,18.70908835605556,20.960429166666668,54.91721666666666,2,2018
2018-12-18,38.48059,35.149889121928574,32.9244375,54.91721666666666,2,2018
2018-12-19,25.660036,20.564511855705884,21.9152625,54.91721666666666,2,2018
2018-12-20,19.17531,21.31585997685,59.83865,54.91721666666666,2,2018
2018-12-21,1.9406016,8.646292532607143,10.355054166666667,54.91721666666666,2,2018
2018-12-22,0.95631266,4.645622667038461,5.962599999999999,54.91721666666666,2,2018
2018-12-23,3.0063784,,81.17115416666667,54.91721666666666,2,2018
2018-12-24,4.1150436,,11.309029166666669,54.91721666666666,2,2018
2018-12-25,4.826992,23.430924851857142,21.3093375,54.91721666666666,2,2018
2018-12-26,5.6054163,20.941292970611112,14.657541666666669,54.91721666666666,2,2018
2018-12-27,2.954913,26.19202691092857,21.390625,54.91721666666666,2,2018
2018-12-28,3.0192454,29.94466230940909,30.324125,54.91721666666666,2,2018
2018-12-29,-9.870529e-05,1.0451481868888888,3.606079166666667,54.91721666666666,2,2018
2018-12-30,0.5402951,,6.131912499999999,54.91721666666666,2,2018
2018-12-31,0.12427759,2.3515349025416667,3.102370833333333,54.91721666666666,2,2018
2019-01-01,0.42449665,-5.369030695966667,-2.6617875,54.91721666666666,2,2018
2019-01-02,1.959902,1.6130913782857144,6.143154166666666,54.91721666666666,2,2018
2019-01-03,1.5996387,25.9850464875,20.74059583333333,54.91721666666666,2,2018
2019-01-04,1.7325938,-4.380738653249999,4.5301125,54.91721666666666,2,2018
2019-01-05,1.7240155,2.7963399130416664,5.033554166666667,54.91721666666666,2,2018
2019-01-06,1.7797706,3.1412098474545456,3.1575166666666665,54.91721666666666,2,2018
2019-01-07,0.7290034,4.396572144333333,6.2659125,54.91721666666666,2,2018
2019-01-08,0.9777565,3.1346549570769238,3.106208333333333,54.91721666666666,2,2018
2019-01-09,3.8469918,16.851149742666667,11.953895833333334,54.91721666666666,2,2018
2019-01-10,2.6075165,7.1774120194375,6.562220833333334,54.91721666666666,2,2018
2019-01-11,2.1314552,-0.4730029913333335,1.5214875,54.91721666666666,2,2018
2019-01-12,1.4666848,5.846134107666667,5.821558333333333,54.91721666666666,2,2018
2019-01-13,1.393774,6.104765118727273,6.952233333333333,54.91721666666666,2,2018
2019-01-14,1.6897042,2.1329866241785718,2.909558333333333,54.91721666666666,2,2018
2019-01-15,3.4524186,2.2440845584,3.629925,54.91721666666666,2,2018
2019-01-16,3.5038836,7.618485403499999,7.1197875,54.91721666666666,2,2018
2019-01-17,1.52244,7.6029276680625,8.611983333333333,54.91721666666666,2,2018
2019-01-18,3.1436217,47.92393224357142,28.46534583333333,54.91721666666666,2,2018
2019-01-19,4.4238405,24.86850198355556,17.846983333333334,54.91721666666666,2,2018
2019-01-20,2.5774944,17.4627153565625,13.149675,54.91721666666666,2,2018
2019-01-21,2.6675603,-12.724279198928574,-4.2037125,54.91721666666666,2,2018
2019-01-22,3.2915866,4.337085952833333,6.4629625,54.91721666666666,2,2018
2019-01-23,3.2336872,1.5778612148928572,3.477591666666666,54.91721666666666,2,2018
2019-01-24,3.293731,,13.412779166666668,54.91721666666666,2,2018
2019-01-25,1.81408,4.680099354454547,5.937991666666666,54.91721666666666,2,2018
2019-01-26,1.9599016,-0.1596002495,8.154216666666667,54.91721666666666,2,2018
2019-01-27,0.26152086,5.2462252687,14.440466666666666,54.91721666666666,2,2018
2019-01-28,1.646816,2.2563893023,5.128345833333333,54.91721666666666,2,2018
2019-01-29,3.6604264,10.0498731726875,9.319275,54.91721666666666,2,2018
2019-01-30,4.3294864,15.474247531375,13.059829166666669,54.91721666666666,2,2018
2019-01-31,3.1436222,0.4904963130500012,6.3016125,54.91721666666666,2,2018
2019-02-01,2.5860727,8.4084680965,7.477216666666667,54.91721666666666,2,2018
2019-02-02,1.724015,2.5245367430714287,4.454875,54.91721666666666,2,2018
2019-02-03,6.045022,37.99870940657692,30.64916666666667,54.91721666666666,2,2018
2019-02-04,2.5903623,2.751413063416667,42.05817916666667,54.91721666666666,2,2018
2019-02-05,9.551151,13.844363808277778,14.795058333333335,54.91721666666666,2,2018
2019-02-06,9.525417,4.802799604607143,9.7471375,54.91721666666666,2,2018
2019-02-07,0.26580906,8.550348829666666,81.27637916666667,54.91721666666666,2,2018
2019-02-08,1.132155,10.0407205624375,99.99124166666668,54.91721666666666,2,2018
2019-02-09,0.7032709,4.558041702222223,42.32086666666667,54.91721666666666,2,2018
2019-02-10,0.40305185,-13.936746767458336,6.174041666666668,54.91721666666666,2,2018
2019-02-11,1.3508863,3.574882973166667,11.252024999999998,54.91721666666666,2,2018
2019-02-12,9.88568,7.3720592872,11.42425,54.91721666666666,2,2018
2019-02-13,10.880692,17.668619972,15.229354166666669,54.91721666666666,2,2018
2019-02-14,7.604016,,9.924945833333334,54.91721666666666,2,2018
2019-02-15,10.653381,,17.54305,54.91721666666666,2,2018
2019-02-16,10.115132,,20.577075,54.91721666666666,2,2018
2019-02-17,7.3809967,,26.980966666666664,54.91721666666666,2,2018
2019-02-18,3.7719371,,19.49338333333333,54.91721666666666,2,2018
2019-02-19,7.299508,-8.054775097375,9.620433333333333,54.91721666666666,2,2018
2019-02-20,8.470362,,28.917179166666667,54.91721666666666,2,2018
2019-02-21,6.82988,14.482375459785716,24.851904166666667,54.91721666666666,2,2018
2019-02-22,4.2608647,,18.7001375,54.91721666666666,2,2018
2019-02-23,4.8870363,,20.1319375,54.91721666666666,2,2018
2019-02-24,4.696182,16.341520738,19.9438875,54.91721666666666,2,2018
2019-02-25,3.7848036,34.227751317312496,28.408058333333333,54.91721666666666,2,2018
2019-02-26,4.3788075,,14.693295833333332,54.91721666666666,2,2018
2019-02-27,5.0971885,,23.190841666666667,54.91721666666666,2,2018
2019-02-28,1.3894858,,44.40732916666667,54.91721666666666,2,2018
2019-03-01,3.0106676,,18.09773333333333,54.91721666666666,2,2018
2019-03-02,1.7797706,,39.84482083333334,54.91721666666666,2,2018
2019-03-03,1.749749,,66.66335,54.91721666666666,2,2018
2019-03-04,1.6811271,,23.234841666666668,54.91721666666666,2,2018
2019-03-05,2.7447598,,39.91052916666667,54.91721666666666,2,2018
2019-03-06,2.5474722,,36.213725,54.91721666666666,2,2018
2019-03-07,1.7454593,,27.88972083333333,54.91721666666666,2,2018
2019-03-08,2.5474722,,26.92539583333333,54.91721666666666,2,2018
2019-03-09,2.6761377,,13.137116666666666,54.91721666666666,2,2018
2019-03-10,2.0199454,,52.637575,54.91721666666666,2,2018
2019-03-11,2.5474727,,13.2311125,54.91721666666666,2,2018
2019-03-12,3.1393325,,89.4043125,54.91721666666666,2,2018
2019-03-13,2.8005145,,17.736741666666667,54.91721666666666,2,2018
2019-03-14,2.984935,,53.478033333333336,54.91721666666666,2,2018
2019-03-15,3.3151758,,85.62972916666666,54.91721666666666,2,2018
2019-03-16,3.4266846,,40.35592916666666,54.91721666666666,2,2018
2019-03-17,2.646116,,8.507304166666666,54.91721666666666,2,2018
2019-03-18,2.7833598,,8.097033333333334,54.91721666666666,2,2018
2019-03-19,3.786948,,12.7325125,54.91721666666666,2,2018
