track,horizon,tower,model,RMSE,MAE,R2,MBE,n_test,skill_persist,skill_clim,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded,precision,recall,f1,rmse_spike,rmse_nonspike,n_spike_test,algo,threshold
A,24,4,Hurdle-RF-Recency,136.651,60.661,0.109,15.575,7109.0,0.208,0.062,1.2313,0.9147,1.3338,4.6256,446.0,0.394,0.059,0.102,373.001,69.315,734.0,,
A,24,4,Hurdle-XGB-Recency,138.048,59.266,0.091,6.243,7109.0,0.2,0.052,1.203,0.8937,1.3651,3.9722,446.0,0.335,0.245,0.283,375.456,70.857,734.0,,
A,24,4,RF-Recency,140.815,59.717,0.054,9.242,7109.0,0.184,0.033,1.2122,0.9005,1.3445,4.0916,446.0,,,,,,,,
A,24,4,XGB-Recency,140.786,60.438,0.054,8.095,7109.0,0.184,0.034,1.2268,0.9113,1.3729,4.1574,446.0,,,,,,,,
A,24,9,Hurdle-RF-Recency,130.613,66.908,0.087,22.718,5848.0,0.199,0.059,1.2383,0.9733,1.3203,4.9959,325.0,0.439,0.192,0.268,350.801,76.96,556.0,,
A,24,9,Hurdle-XGB-Recency,134.873,67.63,0.027,19.84,5848.0,0.173,0.028,1.2517,0.9838,1.3414,4.667,325.0,0.334,0.371,0.352,350.723,84.725,556.0,,
A,24,9,RF-Recency,130.552,58.981,0.088,4.85,5848.0,0.2,0.059,1.0916,0.858,1.3021,3.5583,325.0,,,,,,,,
A,24,9,XGB-Recency,132.461,61.243,0.061,6.76,5848.0,0.188,0.046,1.1335,0.8909,1.3377,3.9707,325.0,,,,,,,,
A,24,2,RF-Recency,113.754,46.394,-0.212,0.75,2880.0,0.112,-0.022,1.2781,1.0686,1.2074,4.9992,178.0,,,,,,,,
A,24,2,XGB-Recency,110.955,46.687,-0.153,2.587,2880.0,0.134,0.003,1.2861,1.0754,1.2859,4.61,178.0,,,,,,,,
A,24,2,Hurdle-RF-Recency,100.8,37.4,0.049,1.747,2880.0,0.213,0.094,1.0303,0.8615,1.1709,3.2465,178.0,,,,,,,,
A,24,2,Hurdle-XGB-Recency,103.497,33.704,-0.003,-16.407,2880.0,0.192,0.07,0.9285,0.7763,1.2244,1.497,178.0,,,,,,,,
A,48,4,Hurdle-RF-Recency,137.769,61.492,0.094,15.828,7109.0,0.169,0.054,1.2482,0.9178,1.3396,4.7401,446.0,0.344,0.03,0.055,378.628,68.261,734.0,,
A,48,4,Hurdle-XGB-Recency,139.97,59.577,0.065,4.357,7109.0,0.156,0.039,1.2093,0.8892,1.3919,3.9174,446.0,0.309,0.189,0.235,386.723,68.031,734.0,,
A,48,4,RF-Recency,141.699,60.747,0.042,10.746,7109.0,0.145,0.027,1.2331,0.9067,1.3636,4.2538,446.0,,,,,,,,
A,48,4,XGB-Recency,141.593,62.135,0.043,10.291,7109.0,0.146,0.028,1.2612,0.9274,1.3924,4.4429,446.0,,,,,,,,
A,48,9,Hurdle-RF-Recency,131.167,68.377,0.079,24.329,5848.0,0.249,0.055,1.2655,0.9176,1.3365,5.2509,325.0,0.441,0.147,0.221,352.363,77.25,556.0,,
A,48,9,Hurdle-XGB-Recency,137.497,70.502,-0.012,25.03,5848.0,0.213,0.009,1.3048,0.9461,1.3484,5.0171,325.0,0.333,0.43,0.375,347.635,90.524,556.0,,
A,48,9,RF-Recency,133.253,63.1,0.05,10.521,5848.0,0.237,0.04,1.1678,0.8468,1.3374,4.0769,325.0,,,,,,,,
A,48,9,XGB-Recency,134.407,64.369,0.033,10.873,5848.0,0.231,0.032,1.1913,0.8638,1.3544,4.2437,325.0,,,,,,,,
A,48,2,RF-Recency,103.712,39.273,-0.007,-8.111,2880.0,0.227,0.068,1.0819,0.8607,1.2231,3.0696,178.0,,,,,,,,
A,48,2,XGB-Recency,115.146,49.113,-0.241,5.982,2880.0,0.142,-0.035,1.3529,1.0763,1.27,5.3049,178.0,,,,,,,,
A,48,2,Hurdle-RF-Recency,101.139,38.236,0.042,3.264,2880.0,0.246,0.091,1.0533,0.838,1.1761,3.5017,178.0,,,,,,,,
A,48,2,Hurdle-XGB-Recency,104.087,33.761,-0.014,-19.414,2880.0,0.224,0.065,0.9301,0.7399,1.2783,1.3934,178.0,,,,,,,,
B,1,4,Hurdle-RF-Recency,59.205,39.479,0.258,17.957,567.0,-0.151,0.148,1.0346,1.3036,1.135,3.2473,29.0,0.441,0.776,0.562,113.478,47.427,67.0,,
B,1,4,Hurdle-XGB-Recency,64.04,43.716,0.131,26.125,567.0,-0.245,0.078,1.1456,1.4435,1.1661,3.7941,29.0,0.376,0.881,0.527,101.578,57.167,67.0,,
B,1,4,RF-Recency,55.027,32.394,0.359,3.164,567.0,-0.07,0.208,0.8489,1.0697,1.1062,2.3065,29.0,,,,,,,,
B,1,4,XGB-Recency,53.99,33.209,0.383,4.398,567.0,-0.05,0.223,0.8703,1.0966,1.1557,2.4699,29.0,,,,,,,,
B,1,9,Hurdle-RF-Recency,60.652,41.129,0.145,23.125,458.0,-0.055,0.054,1.0038,1.2795,1.0993,3.3708,25.0,0.37,0.86,0.517,103.723,54.268,43.0,,
B,1,9,Hurdle-XGB-Recency,76.3,52.747,-0.353,39.5,458.0,-0.327,-0.19,1.2874,1.6409,1.1534,4.2003,25.0,0.26,0.93,0.406,108.123,72.205,43.0,,
B,1,9,RF-Recency,51.841,30.38,0.375,0.586,458.0,0.099,0.191,0.7415,0.9451,1.0877,2.0804,25.0,,,,,,,,
B,1,9,XGB-Recency,54.238,31.448,0.316,0.222,458.0,0.057,0.154,0.7675,0.9783,1.0572,2.2973,25.0,,,,,,,,
B,1,2,RF-Recency,44.442,24.549,0.062,-6.818,247.0,0.071,0.189,0.8426,0.9269,1.0613,1.8035,16.0,,,,,,,,
B,1,2,XGB-Recency,47.397,25.846,-0.067,-11.252,247.0,0.01,0.135,0.8871,0.9759,1.1627,1.4378,16.0,,,,,,,,
B,1,2,Hurdle-RF-Recency,43.843,26.362,0.087,0.596,247.0,0.084,0.2,0.9048,0.9954,1.0539,2.6165,16.0,,,,,,,,
B,1,2,Hurdle-XGB-Recency,44.273,24.689,0.069,-5.591,247.0,0.075,0.192,0.8474,0.9322,1.0768,1.8115,16.0,,,,,,,,
B,3,4,Hurdle-RF-Recency,61.637,42.774,0.195,22.253,567.0,0.051,0.113,1.1209,1.1344,1.1597,3.7296,29.0,0.419,0.776,0.545,111.536,51.392,67.0,,
B,3,4,Hurdle-XGB-Recency,68.612,48.768,0.003,32.686,567.0,-0.056,0.012,1.278,1.2934,1.2032,4.4366,29.0,0.359,0.896,0.513,96.845,63.888,67.0,,
B,3,4,RF-Recency,55.711,33.859,0.343,5.964,567.0,0.142,0.198,0.8873,0.898,1.1026,2.5902,29.0,,,,,,,,
B,3,4,XGB-Recency,56.437,35.319,0.325,7.107,567.0,0.131,0.188,0.9256,0.9367,1.1655,2.7681,29.0,,,,,,,,
B,3,9,Hurdle-RF-Recency,61.862,42.101,0.111,25.024,458.0,0.151,0.035,1.0275,1.0489,1.1236,3.7543,25.0,0.333,0.814,0.473,105.786,55.352,43.0,,
B,3,9,Hurdle-XGB-Recency,77.401,55.51,-0.392,42.647,458.0,-0.062,-0.208,1.3548,1.3829,1.1723,4.934,25.0,0.264,0.907,0.408,104.246,74.065,43.0,,
B,3,9,RF-Recency,53.156,30.964,0.343,-0.306,458.0,0.271,0.171,0.7557,0.7714,1.0734,2.1222,25.0,,,,,,,,
B,3,9,XGB-Recency,56.104,33.525,0.268,0.494,458.0,0.23,0.125,0.8182,0.8352,1.0881,2.5519,25.0,,,,,,,,
B,3,2,RF-Recency,45.123,25.517,0.033,-5.246,247.0,0.122,0.177,0.8758,0.9213,1.0747,2.0521,16.0,,,,,,,,
B,3,2,XGB-Recency,46.557,26.653,-0.029,-6.303,247.0,0.094,0.151,0.9148,0.9623,1.1366,1.8321,16.0,,,,,,,,
B,3,2,Hurdle-RF-Recency,44.94,27.564,0.041,0.841,247.0,0.126,0.18,0.946,0.9952,1.077,2.7554,16.0,,,,,,,,
B,3,2,Hurdle-XGB-Recency,45.388,25.74,0.022,-4.381,247.0,0.117,0.172,0.8834,0.9294,1.0774,2.0594,16.0,,,,,,,,
B,7,4,Hurdle-RF-Recency,63.916,43.792,0.135,22.594,567.0,0.171,0.08,1.1476,0.9733,1.1583,3.7166,29.0,0.371,0.731,0.492,116.424,53.07,67.0,,
B,7,4,Hurdle-XGB-Recency,70.191,50.83,-0.043,34.09,567.0,0.09,-0.01,1.3321,1.1298,1.2164,4.6859,29.0,0.357,0.896,0.511,101.096,64.942,67.0,,
B,7,4,RF-Recency,59.184,36.575,0.258,7.922,567.0,0.233,0.148,0.9585,0.8129,1.1282,2.8695,29.0,,,,,,,,
B,7,4,XGB-Recency,58.843,36.973,0.267,6.988,567.0,0.237,0.153,0.9689,0.8218,1.1593,2.8375,29.0,,,,,,,,
B,7,9,Hurdle-RF-Recency,62.798,43.232,0.084,27.031,458.0,0.271,0.02,1.0551,0.9143,1.1074,4.0854,25.0,0.291,0.744,0.418,105.935,56.474,43.0,,
B,7,9,Hurdle-XGB-Recency,75.265,54.251,-0.317,42.209,458.0,0.127,-0.174,1.3241,1.1473,1.1687,5.0183,25.0,0.255,0.86,0.394,111.31,70.484,43.0,,
B,7,9,RF-Recency,53.255,31.681,0.341,0.758,458.0,0.382,0.169,0.7732,0.67,1.0892,2.3397,25.0,,,,,,,,
B,7,9,XGB-Recency,54.697,32.512,0.305,-0.415,458.0,0.365,0.147,0.7935,0.6876,1.0733,2.5178,25.0,,,,,,,,
B,7,2,RF-Recency,45.288,25.374,0.026,-6.056,247.0,0.208,0.174,0.8709,0.7902,1.0741,1.9632,16.0,,,,,,,,
B,7,2,XGB-Recency,46.775,26.27,-0.039,-10.11,247.0,0.182,0.147,0.9016,0.8181,1.1687,1.5563,16.0,,,,,,,,
B,7,2,Hurdle-RF-Recency,45.603,28.215,0.013,0.258,247.0,0.203,0.168,0.9684,0.8786,1.0986,2.788,16.0,,,,,,,,
B,7,2,Hurdle-XGB-Recency,47.577,27.934,-0.075,-5.522,247.0,0.168,0.132,0.9588,0.8699,1.1582,2.168,16.0,,,,,,,,
B,14,4,Hurdle-RF-Recency,63.704,44.28,0.141,23.605,567.0,0.37,0.083,1.1604,0.7814,1.1723,3.9509,29.0,0.387,0.791,0.52,117.423,52.483,67.0,,
B,14,4,Hurdle-XGB-Recency,69.895,51.117,-0.035,33.937,567.0,0.308,-0.006,1.3396,0.902,1.22,4.7036,29.0,0.346,0.925,0.504,106.178,63.476,67.0,,
B,14,4,RF-Recency,58.244,35.967,0.282,7.25,567.0,0.424,0.162,0.9426,0.6347,1.1221,2.7758,29.0,,,,,,,,
B,14,4,XGB-Recency,58.761,37.402,0.269,8.252,567.0,0.419,0.154,0.9802,0.66,1.1715,2.9191,29.0,,,,,,,,
B,14,9,Hurdle-RF-Recency,63.373,44.654,0.067,27.716,458.0,0.255,0.011,1.0898,0.9113,1.1199,4.3488,25.0,0.267,0.651,0.378,109.031,56.573,43.0,,
B,14,9,Hurdle-XGB-Recency,76.15,55.771,-0.348,44.933,458.0,0.105,-0.188,1.3612,1.1382,1.1769,5.2368,25.0,0.252,0.884,0.392,110.425,71.667,43.0,,
B,14,9,RF-Recency,53.283,31.395,0.34,-0.137,458.0,0.374,0.169,0.7662,0.6407,1.0913,2.2437,25.0,,,,,,,,
B,14,9,XGB-Recency,55.801,33.195,0.276,0.721,458.0,0.344,0.129,0.8102,0.6774,1.0728,2.6636,25.0,,,,,,,,
B,14,2,RF-Recency,45.731,25.979,0.007,-5.43,247.0,0.268,0.166,0.8917,0.6948,1.074,2.1019,16.0,,,,,,,,
B,14,2,XGB-Recency,46.836,26.489,-0.041,-7.143,247.0,0.25,0.146,0.9092,0.7084,1.1383,1.854,16.0,,,,,,,,
B,14,2,Hurdle-RF-Recency,45.595,28.456,0.013,1.803,247.0,0.27,0.168,0.9767,0.761,1.0904,2.972,16.0,,,,,,,,
B,14,2,Hurdle-XGB-Recency,46.76,27.656,-0.038,-3.162,247.0,0.252,0.147,0.9492,0.7396,1.1124,2.2813,16.0,,,,,,,,
B,1,4,early_warning_op_point,,,,,,,,,,,,,0.425,0.806,,,,,RF,0.459
B,1,9,early_warning_op_point,,,,,,,,,,,,,0.357,0.814,,,,,RF,0.513
B,1,4,early_warning_op_point,,,,,,,,,,,,,0.432,0.806,,,,,XGB,0.675
B,1,9,early_warning_op_point,,,,,,,,,,,,,0.324,0.814,,,,,XGB,0.656
B,14,4,early_warning_op_point,,,,,,,,,,,,,0.391,0.806,,,,,RF,0.498
B,14,9,early_warning_op_point,,,,,,,,,,,,,0.28,0.814,,,,,RF,0.397
B,14,4,early_warning_op_point,,,,,,,,,,,,,0.391,0.806,,,,,XGB,0.686
B,14,9,early_warning_op_point,,,,,,,,,,,,,0.302,0.814,,,,,XGB,0.613
