bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,config,anchor_year,tower
1-7,4,-55.291,27.882,27.432,1.1234,8.3771,0.55,Ensemble_MASEweighted,BASE+ALL,2020,9
8-30,19,0.012,151.057,58.308,0.9462,0.8947,0.376,Ensemble_MASEweighted,BASE+ALL,2020,9
31-90,24,-2.609,27.192,21.181,1.0162,1.7421,0.351,Ensemble_MASEweighted,BASE+ALL,2020,9
91-180,57,-0.082,21.11,15.233,0.8238,0.8201,0.159,Ensemble_MASEweighted,BASE+ALL,2020,9
181-270,64,0.211,85.435,56.669,0.9246,0.8367,0.479,Ensemble_MASEweighted,BASE+ALL,2020,9
271-365,86,0.133,49.464,29.741,0.8582,0.9035,0.398,Ensemble_MASEweighted,BASE+ALL,2020,9
1-7,0,,,,,,,RF,BASE+ALL,2021,2
8-30,0,,,,,,,RF,BASE+ALL,2021,2
31-90,0,,,,,,,RF,BASE+ALL,2021,2
91-180,0,,,,,,,RF,BASE+ALL,2021,2
181-270,0,,,,,,,RF,BASE+ALL,2021,2
271-365,0,,,,,,,RF,BASE+ALL,2021,2
1-7,0,,,,,,,XGB,BASE+ALL,2021,2
8-30,0,,,,,,,XGB,BASE+ALL,2021,2
31-90,0,,,,,,,XGB,BASE+ALL,2021,2
91-180,0,,,,,,,XGB,BASE+ALL,2021,2
181-270,0,,,,,,,XGB,BASE+ALL,2021,2
271-365,0,,,,,,,XGB,BASE+ALL,2021,2
1-7,0,,,,,,,LightGBM,BASE+ALL,2021,2
8-30,0,,,,,,,LightGBM,BASE+ALL,2021,2
31-90,0,,,,,,,LightGBM,BASE+ALL,2021,2
91-180,0,,,,,,,LightGBM,BASE+ALL,2021,2
181-270,0,,,,,,,LightGBM,BASE+ALL,2021,2
271-365,0,,,,,,,LightGBM,BASE+ALL,2021,2
1-7,0,,,,,,,SARIMAX,BASE+ALL,2021,2
8-30,0,,,,,,,SARIMAX,BASE+ALL,2021,2
31-90,0,,,,,,,SARIMAX,BASE+ALL,2021,2
91-180,0,,,,,,,SARIMAX,BASE+ALL,2021,2
181-270,0,,,,,,,SARIMAX,BASE+ALL,2021,2
271-365,0,,,,,,,SARIMAX,BASE+ALL,2021,2
1-7,0,,,,,,,Ensemble_unweighted,BASE+ALL,2021,2
8-30,0,,,,,,,Ensemble_unweighted,BASE+ALL,2021,2
31-90,0,,,,,,,Ensemble_unweighted,BASE+ALL,2021,2
91-180,0,,,,,,,Ensemble_unweighted,BASE+ALL,2021,2
181-270,0,,,,,,,Ensemble_unweighted,BASE+ALL,2021,2
271-365,0,,,,,,,Ensemble_unweighted,BASE+ALL,2021,2
1-7,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2021,2
8-30,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2021,2
31-90,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2021,2
91-180,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2021,2
181-270,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2021,2
271-365,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2021,2
1-7,3,-2.598,4.589,3.921,1.5797,0.4432,-0.999,RF,BASE+ALL,2021,4
8-30,19,-0.534,21.406,16.724,1.3159,1.1164,0.242,RF,BASE+ALL,2021,4
31-90,50,-0.182,22.298,17.599,1.3553,1.0194,0.099,RF,BASE+ALL,2021,4
91-180,90,0.189,89.519,53.148,0.819,0.7282,0.49,RF,BASE+ALL,2021,4
181-270,88,0.178,91.527,70.738,1.0432,0.9916,0.445,RF,BASE+ALL,2021,4
271-365,91,-1.002,46.242,37.604,1.8051,1.6943,0.489,RF,BASE+ALL,2021,4
1-7,3,-1.931,4.141,3.67,1.4785,0.4148,-0.851,XGB,BASE+ALL,2021,4
8-30,19,-0.115,18.256,14.638,1.1518,0.9771,0.382,XGB,BASE+ALL,2021,4
31-90,50,-0.079,21.304,15.134,1.1655,0.8766,0.11,XGB,BASE+ALL,2021,4
91-180,90,0.107,93.941,54.769,0.844,0.7504,0.357,XGB,BASE+ALL,2021,4
181-270,88,0.323,83.081,64.213,0.9469,0.9001,0.609,XGB,BASE+ALL,2021,4
271-365,91,-0.607,41.434,32.375,1.5541,1.4587,0.458,XGB,BASE+ALL,2021,4
1-7,3,-0.967,3.392,3.042,1.2256,0.3439,-0.965,LightGBM,BASE+ALL,2021,4
8-30,19,-0.062,17.809,14.049,1.1054,0.9378,0.456,LightGBM,BASE+ALL,2021,4
31-90,50,-0.058,21.089,14.718,1.1335,0.8526,0.121,LightGBM,BASE+ALL,2021,4
91-180,90,0.129,92.738,63.074,0.972,0.8642,0.372,LightGBM,BASE+ALL,2021,4
181-270,88,0.307,84.018,66.779,0.9848,0.9361,0.607,LightGBM,BASE+ALL,2021,4
271-365,91,-0.655,42.045,33.185,1.593,1.4952,0.484,LightGBM,BASE+ALL,2021,4
1-7,3,-5.791,6.304,5.263,2.1203,0.5949,-0.463,SARIMAX,BASE+ALL,2021,4
8-30,19,0.012,17.178,12.552,0.9876,0.8379,0.248,SARIMAX,BASE+ALL,2021,4
31-90,50,0.011,20.392,13.586,1.0462,0.7869,0.168,SARIMAX,BASE+ALL,2021,4
91-180,90,0.112,93.664,57.006,0.8785,0.7811,0.344,SARIMAX,BASE+ALL,2021,4
181-270,88,0.207,89.893,64.599,0.9526,0.9056,0.477,SARIMAX,BASE+ALL,2021,4
271-365,91,-0.267,36.779,28.419,1.3642,1.2804,0.509,SARIMAX,BASE+ALL,2021,4
1-7,3,-2.495,4.522,3.914,1.5767,0.4424,-0.819,Ensemble_unweighted,BASE+ALL,2021,4
8-30,19,-0.123,18.319,14.38,1.1315,0.9599,0.337,Ensemble_unweighted,BASE+ALL,2021,4
31-90,50,-0.033,20.837,14.967,1.1526,0.867,0.131,Ensemble_unweighted,BASE+ALL,2021,4
91-180,90,0.146,91.862,56.654,0.8731,0.7763,0.39,Ensemble_unweighted,BASE+ALL,2021,4
181-270,88,0.273,86.087,66.187,0.976,0.9278,0.551,Ensemble_unweighted,BASE+ALL,2021,4
271-365,91,-0.569,40.939,32.688,1.5691,1.4728,0.5,Ensemble_unweighted,BASE+ALL,2021,4
1-7,3,-2.457,4.498,3.897,1.5698,0.4405,-0.822,Ensemble_MASEweighted,BASE+ALL,2021,4
8-30,19,-0.123,18.316,14.387,1.132,0.9603,0.34,Ensemble_MASEweighted,BASE+ALL,2021,4
31-90,50,-0.033,20.847,14.973,1.1531,0.8673,0.13,Ensemble_MASEweighted,BASE+ALL,2021,4
91-180,90,0.146,91.873,56.692,0.8736,0.7768,0.39,Ensemble_MASEweighted,BASE+ALL,2021,4
181-270,88,0.275,85.993,66.176,0.9759,0.9277,0.553,Ensemble_MASEweighted,BASE+ALL,2021,4
271-365,91,-0.571,40.966,32.702,1.5698,1.4734,0.499,Ensemble_MASEweighted,BASE+ALL,2021,4
1-7,1,,,,,,,RF,BASE+ALL,2021,9
8-30,12,-0.387,21.589,18.024,0.7195,1.3123,-0.005,RF,BASE+ALL,2021,9
31-90,35,-0.399,18.169,15.53,0.6457,1.5218,0.086,RF,BASE+ALL,2021,9
91-180,85,0.233,89.415,53.214,0.6882,0.5782,0.524,RF,BASE+ALL,2021,9
181-270,47,0.042,60.931,44.537,0.9563,0.6905,0.25,RF,BASE+ALL,2021,9
271-365,0,,,,,,,RF,BASE+ALL,2021,9
1-7,1,,,,,,,XGB,BASE+ALL,2021,9
8-30,12,-0.038,18.68,14.138,0.5643,1.0293,0.15,XGB,BASE+ALL,2021,9
31-90,35,-0.124,16.289,12.732,0.5294,1.2476,0.016,XGB,BASE+ALL,2021,9
91-180,85,0.234,89.32,54.033,0.6988,0.5871,0.523,XGB,BASE+ALL,2021,9
181-270,47,-0.136,66.338,47.311,1.0159,0.7335,0.125,XGB,BASE+ALL,2021,9
271-365,0,,,,,,,XGB,BASE+ALL,2021,9
1-7,1,,,,,,,LightGBM,BASE+ALL,2021,9
8-30,12,0.053,17.835,13.06,0.5213,0.9508,0.365,LightGBM,BASE+ALL,2021,9
31-90,35,-0.073,15.911,11.932,0.4962,1.1693,0.074,LightGBM,BASE+ALL,2021,9
91-180,85,0.241,88.964,53.934,0.6975,0.586,0.51,LightGBM,BASE+ALL,2021,9
181-270,47,-0.021,62.886,45.381,0.9745,0.7036,0.173,LightGBM,BASE+ALL,2021,9
271-365,0,,,,,,,LightGBM,BASE+ALL,2021,9
1-7,1,,,,,,,SARIMAX,BASE+ALL,2021,9
8-30,12,-1.709,30.172,24.894,0.9937,1.8124,0.164,SARIMAX,BASE+ALL,2021,9
31-90,35,-2.93,30.453,24.64,1.0245,2.4144,-0.032,SARIMAX,BASE+ALL,2021,9
91-180,85,-0.005,102.337,63.906,0.8265,0.6944,0.483,SARIMAX,BASE+ALL,2021,9
181-270,47,-0.218,68.709,47.672,1.0237,0.7391,0.324,SARIMAX,BASE+ALL,2021,9
271-365,0,,,,,,,SARIMAX,BASE+ALL,2021,9
1-7,1,,,,,,,Ensemble_unweighted,BASE+ALL,2021,9
8-30,12,-0.002,18.349,13.355,0.5331,0.9723,0.156,Ensemble_unweighted,BASE+ALL,2021,9
31-90,35,-0.079,15.958,10.195,0.4239,0.999,0.021,Ensemble_unweighted,BASE+ALL,2021,9
91-180,85,0.204,91.07,52.86,0.6836,0.5743,0.521,Ensemble_unweighted,BASE+ALL,2021,9
181-270,47,-0.034,63.282,44.645,0.9587,0.6922,0.212,Ensemble_unweighted,BASE+ALL,2021,9
271-365,0,,,,,,,Ensemble_unweighted,BASE+ALL,2021,9
1-7,1,,,,,,,Ensemble_MASEweighted,BASE+ALL,2021,9
8-30,12,0.002,18.316,13.33,0.5321,0.9705,0.158,Ensemble_MASEweighted,BASE+ALL,2021,9
31-90,35,-0.074,15.918,10.243,0.4259,1.0037,0.022,Ensemble_MASEweighted,BASE+ALL,2021,9
91-180,85,0.206,90.978,52.822,0.6831,0.5739,0.521,Ensemble_MASEweighted,BASE+ALL,2021,9
181-270,47,-0.034,63.299,44.676,0.9593,0.6926,0.21,Ensemble_MASEweighted,BASE+ALL,2021,9
271-365,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2021,9
1-7,0,,,,,,,RF,BASE+ALL,2022,2
8-30,0,,,,,,,RF,BASE+ALL,2022,2
31-90,0,,,,,,,RF,BASE+ALL,2022,2
91-180,0,,,,,,,RF,BASE+ALL,2022,2
181-270,0,,,,,,,RF,BASE+ALL,2022,2
271-365,0,,,,,,,RF,BASE+ALL,2022,2
1-7,0,,,,,,,XGB,BASE+ALL,2022,2
8-30,0,,,,,,,XGB,BASE+ALL,2022,2
31-90,0,,,,,,,XGB,BASE+ALL,2022,2
91-180,0,,,,,,,XGB,BASE+ALL,2022,2
181-270,0,,,,,,,XGB,BASE+ALL,2022,2
271-365,0,,,,,,,XGB,BASE+ALL,2022,2
1-7,0,,,,,,,LightGBM,BASE+ALL,2022,2
8-30,0,,,,,,,LightGBM,BASE+ALL,2022,2
31-90,0,,,,,,,LightGBM,BASE+ALL,2022,2
91-180,0,,,,,,,LightGBM,BASE+ALL,2022,2
181-270,0,,,,,,,LightGBM,BASE+ALL,2022,2
271-365,0,,,,,,,LightGBM,BASE+ALL,2022,2
1-7,0,,,,,,,SARIMAX,BASE+ALL,2022,2
8-30,0,,,,,,,SARIMAX,BASE+ALL,2022,2
31-90,0,,,,,,,SARIMAX,BASE+ALL,2022,2
91-180,0,,,,,,,SARIMAX,BASE+ALL,2022,2
181-270,0,,,,,,,SARIMAX,BASE+ALL,2022,2
271-365,0,,,,,,,SARIMAX,BASE+ALL,2022,2
1-7,0,,,,,,,Ensemble_unweighted,BASE+ALL,2022,2
8-30,0,,,,,,,Ensemble_unweighted,BASE+ALL,2022,2
31-90,0,,,,,,,Ensemble_unweighted,BASE+ALL,2022,2
91-180,0,,,,,,,Ensemble_unweighted,BASE+ALL,2022,2
181-270,0,,,,,,,Ensemble_unweighted,BASE+ALL,2022,2
271-365,0,,,,,,,Ensemble_unweighted,BASE+ALL,2022,2
1-7,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2022,2
8-30,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2022,2
31-90,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2022,2
91-180,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2022,2
181-270,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2022,2
271-365,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2022,2
1-7,0,,,,,,,RF,BASE+ALL,2022,4
8-30,0,,,,,,,RF,BASE+ALL,2022,4
31-90,1,,,,,,,RF,BASE+ALL,2022,4
91-180,75,0.031,32.75,26.111,1.2041,1.3027,0.524,RF,BASE+ALL,2022,4
181-270,74,0.093,55.892,39.987,1.1238,1.1642,0.517,RF,BASE+ALL,2022,4
271-365,74,0.167,30.05,22.377,0.9896,1.058,0.51,RF,BASE+ALL,2022,4
1-7,0,,,,,,,XGB,BASE+ALL,2022,4
8-30,0,,,,,,,XGB,BASE+ALL,2022,4
31-90,1,,,,,,,XGB,BASE+ALL,2022,4
91-180,75,0.141,30.837,23.008,1.061,1.1479,0.464,XGB,BASE+ALL,2022,4
181-270,74,0.104,55.529,39.162,1.1006,1.1401,0.515,XGB,BASE+ALL,2022,4
271-365,74,0.18,29.815,22.005,0.9731,1.0404,0.495,XGB,BASE+ALL,2022,4
1-7,0,,,,,,,LightGBM,BASE+ALL,2022,4
8-30,0,,,,,,,LightGBM,BASE+ALL,2022,4
31-90,1,,,,,,,LightGBM,BASE+ALL,2022,4
91-180,75,0.124,31.139,23.543,1.0857,1.1746,0.483,LightGBM,BASE+ALL,2022,4
181-270,74,-0.985,82.668,65.121,1.8302,1.8959,0.532,LightGBM,BASE+ALL,2022,4
271-365,74,0.175,29.898,21.995,0.9727,1.0399,0.491,LightGBM,BASE+ALL,2022,4
1-7,0,,,,,,,SARIMAX,BASE+ALL,2022,4
8-30,0,,,,,,,SARIMAX,BASE+ALL,2022,4
31-90,1,,,,,,,SARIMAX,BASE+ALL,2022,4
91-180,75,0.202,29.723,23.245,1.072,1.1597,0.585,SARIMAX,BASE+ALL,2022,4
181-270,74,0.044,57.371,40.999,1.1522,1.1936,0.502,SARIMAX,BASE+ALL,2022,4
271-365,74,-0.058,33.86,25.481,1.1268,1.2047,0.432,SARIMAX,BASE+ALL,2022,4
1-7,0,,,,,,,Ensemble_unweighted,BASE+ALL,2022,4
8-30,0,,,,,,,Ensemble_unweighted,BASE+ALL,2022,4
31-90,1,,,,,,,Ensemble_unweighted,BASE+ALL,2022,4
91-180,75,0.141,30.85,23.746,1.0951,1.1847,0.541,Ensemble_unweighted,BASE+ALL,2022,4
181-270,74,-0.058,60.34,45.043,1.2659,1.3113,0.525,Ensemble_unweighted,BASE+ALL,2022,4
271-365,74,0.155,30.263,22.461,0.9933,1.0619,0.489,Ensemble_unweighted,BASE+ALL,2022,4
1-7,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2022,4
8-30,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2022,4
31-90,1,,,,,,,Ensemble_MASEweighted,BASE+ALL,2022,4
91-180,75,0.14,30.853,23.736,1.0946,1.1842,0.54,Ensemble_MASEweighted,BASE+ALL,2022,4
181-270,74,-0.061,60.447,45.17,1.2695,1.315,0.525,Ensemble_MASEweighted,BASE+ALL,2022,4
271-365,74,0.156,30.241,22.431,0.9919,1.0605,0.489,Ensemble_MASEweighted,BASE+ALL,2022,4
1-7,0,,,,,,,RF,BASE+ALL,2022,9
8-30,0,,,,,,,RF,BASE+ALL,2022,9
31-90,14,-0.779,20.033,14.744,1.1519,1.191,-0.22,RF,BASE+ALL,2022,9
91-180,84,-0.779,24.866,20.186,1.3139,1.3625,0.149,RF,BASE+ALL,2022,9
181-270,84,-0.505,58.917,49.483,1.3102,1.3267,0.611,RF,BASE+ALL,2022,9
271-365,89,0.125,45.331,29.342,0.9695,0.9883,0.417,RF,BASE+ALL,2022,9
1-7,0,,,,,,,XGB,BASE+ALL,2022,9
8-30,0,,,,,,,XGB,BASE+ALL,2022,9
31-90,14,-0.463,18.164,13.314,1.0402,1.0755,0.053,XGB,BASE+ALL,2022,9
91-180,84,-0.717,24.431,19.721,1.2836,1.3311,0.224,XGB,BASE+ALL,2022,9
181-270,84,0.066,46.424,39.495,1.0457,1.0589,0.563,XGB,BASE+ALL,2022,9
271-365,89,0.148,44.724,28.531,0.9427,0.961,0.435,XGB,BASE+ALL,2022,9
1-7,0,,,,,,,LightGBM,BASE+ALL,2022,9
8-30,0,,,,,,,LightGBM,BASE+ALL,2022,9
31-90,14,-0.42,17.896,13.292,1.0384,1.0737,-0.036,LightGBM,BASE+ALL,2022,9
91-180,84,-0.73,24.523,20.151,1.3116,1.36,0.223,LightGBM,BASE+ALL,2022,9
181-270,84,-0.558,59.942,50.262,1.3308,1.3475,0.6,LightGBM,BASE+ALL,2022,9
271-365,89,0.039,47.507,31.902,1.054,1.0745,0.331,LightGBM,BASE+ALL,2022,9
1-7,0,,,,,,,SARIMAX,BASE+ALL,2022,9
8-30,0,,,,,,,SARIMAX,BASE+ALL,2022,9
31-90,14,-1.224,22.4,20.934,1.6354,1.6909,-0.356,SARIMAX,BASE+ALL,2022,9
91-180,84,-0.308,21.322,16.109,1.0485,1.0872,0.083,SARIMAX,BASE+ALL,2022,9
181-270,84,-0.019,48.48,38.657,1.0235,1.0364,0.573,SARIMAX,BASE+ALL,2022,9
271-365,89,0.066,46.827,29.273,0.9672,0.9859,0.37,SARIMAX,BASE+ALL,2022,9
1-7,0,,,,,,,Ensemble_unweighted,BASE+ALL,2022,9
8-30,0,,,,,,,Ensemble_unweighted,BASE+ALL,2022,9
31-90,14,-0.425,17.931,14.156,1.1059,1.1435,-0.257,Ensemble_unweighted,BASE+ALL,2022,9
91-180,84,-0.39,21.98,17.074,1.1113,1.1524,0.176,Ensemble_unweighted,BASE+ALL,2022,9
181-270,84,-0.172,51.99,43.131,1.142,1.1564,0.6,Ensemble_unweighted,BASE+ALL,2022,9
271-365,89,0.119,45.476,29.102,0.9615,0.9802,0.398,Ensemble_unweighted,BASE+ALL,2022,9
1-7,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2022,9
8-30,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2022,9
31-90,14,-0.423,17.917,14.105,1.102,1.1394,-0.253,Ensemble_MASEweighted,BASE+ALL,2022,9
91-180,84,-0.399,22.052,17.164,1.1172,1.1585,0.178,Ensemble_MASEweighted,BASE+ALL,2022,9
181-270,84,-0.171,51.982,43.148,1.1424,1.1568,0.6,Ensemble_MASEweighted,BASE+ALL,2022,9
271-365,89,0.119,45.478,29.119,0.9621,0.9808,0.398,Ensemble_MASEweighted,BASE+ALL,2022,9
