bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,config,anchor_year,tower
8-30,7,-0.659,11.006,10.413,0.6864,1.489,0.661,Ensemble_MASEweighted,BASE+ALL,2018,4
31-90,33,-0.053,16.451,14.683,0.8939,1.2035,0.389,Ensemble_MASEweighted,BASE+ALL,2018,4
91-180,83,-0.476,23.304,17.212,0.9445,1.3931,0.205,Ensemble_MASEweighted,BASE+ALL,2018,4
181-270,72,0.11,75.223,57.993,0.9492,0.8301,0.334,Ensemble_MASEweighted,BASE+ALL,2018,4
271-365,67,0.023,61.277,34.128,1.1211,1.1104,0.196,Ensemble_MASEweighted,BASE+ALL,2018,4
1-7,0,,,,,,,RF,BASE+ALL,2018,9
8-30,0,,,,,,,RF,BASE+ALL,2018,9
31-90,0,,,,,,,RF,BASE+ALL,2018,9
91-180,0,,,,,,,RF,BASE+ALL,2018,9
181-270,0,,,,,,,RF,BASE+ALL,2018,9
271-365,0,,,,,,,RF,BASE+ALL,2018,9
1-7,0,,,,,,,XGB,BASE+ALL,2018,9
8-30,0,,,,,,,XGB,BASE+ALL,2018,9
31-90,0,,,,,,,XGB,BASE+ALL,2018,9
91-180,0,,,,,,,XGB,BASE+ALL,2018,9
181-270,0,,,,,,,XGB,BASE+ALL,2018,9
271-365,0,,,,,,,XGB,BASE+ALL,2018,9
1-7,0,,,,,,,LightGBM,BASE+ALL,2018,9
8-30,0,,,,,,,LightGBM,BASE+ALL,2018,9
31-90,0,,,,,,,LightGBM,BASE+ALL,2018,9
91-180,0,,,,,,,LightGBM,BASE+ALL,2018,9
181-270,0,,,,,,,LightGBM,BASE+ALL,2018,9
271-365,0,,,,,,,LightGBM,BASE+ALL,2018,9
1-7,0,,,,,,,SARIMAX,BASE+ALL,2018,9
8-30,0,,,,,,,SARIMAX,BASE+ALL,2018,9
31-90,0,,,,,,,SARIMAX,BASE+ALL,2018,9
91-180,0,,,,,,,SARIMAX,BASE+ALL,2018,9
181-270,0,,,,,,,SARIMAX,BASE+ALL,2018,9
271-365,0,,,,,,,SARIMAX,BASE+ALL,2018,9
1-7,0,,,,,,,Ensemble_unweighted,BASE+ALL,2018,9
8-30,0,,,,,,,Ensemble_unweighted,BASE+ALL,2018,9
31-90,0,,,,,,,Ensemble_unweighted,BASE+ALL,2018,9
91-180,0,,,,,,,Ensemble_unweighted,BASE+ALL,2018,9
181-270,0,,,,,,,Ensemble_unweighted,BASE+ALL,2018,9
271-365,0,,,,,,,Ensemble_unweighted,BASE+ALL,2018,9
1-7,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2018,9
8-30,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2018,9
31-90,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2018,9
91-180,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2018,9
181-270,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2018,9
271-365,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2018,9
1-7,0,,,,,,,RF,BASE+ALL,2019,2
8-30,0,,,,,,,RF,BASE+ALL,2019,2
31-90,0,,,,,,,RF,BASE+ALL,2019,2
91-180,0,,,,,,,RF,BASE+ALL,2019,2
181-270,0,,,,,,,RF,BASE+ALL,2019,2
271-365,0,,,,,,,RF,BASE+ALL,2019,2
1-7,0,,,,,,,XGB,BASE+ALL,2019,2
8-30,0,,,,,,,XGB,BASE+ALL,2019,2
31-90,0,,,,,,,XGB,BASE+ALL,2019,2
91-180,0,,,,,,,XGB,BASE+ALL,2019,2
181-270,0,,,,,,,XGB,BASE+ALL,2019,2
271-365,0,,,,,,,XGB,BASE+ALL,2019,2
1-7,0,,,,,,,LightGBM,BASE+ALL,2019,2
8-30,0,,,,,,,LightGBM,BASE+ALL,2019,2
31-90,0,,,,,,,LightGBM,BASE+ALL,2019,2
91-180,0,,,,,,,LightGBM,BASE+ALL,2019,2
181-270,0,,,,,,,LightGBM,BASE+ALL,2019,2
271-365,0,,,,,,,LightGBM,BASE+ALL,2019,2
1-7,0,,,,,,,SARIMAX,BASE+ALL,2019,2
8-30,0,,,,,,,SARIMAX,BASE+ALL,2019,2
31-90,0,,,,,,,SARIMAX,BASE+ALL,2019,2
91-180,0,,,,,,,SARIMAX,BASE+ALL,2019,2
181-270,0,,,,,,,SARIMAX,BASE+ALL,2019,2
271-365,0,,,,,,,SARIMAX,BASE+ALL,2019,2
1-7,0,,,,,,,Ensemble_unweighted,BASE+ALL,2019,2
8-30,0,,,,,,,Ensemble_unweighted,BASE+ALL,2019,2
31-90,0,,,,,,,Ensemble_unweighted,BASE+ALL,2019,2
91-180,0,,,,,,,Ensemble_unweighted,BASE+ALL,2019,2
181-270,0,,,,,,,Ensemble_unweighted,BASE+ALL,2019,2
271-365,0,,,,,,,Ensemble_unweighted,BASE+ALL,2019,2
1-7,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2019,2
8-30,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2019,2
31-90,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2019,2
91-180,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2019,2
181-270,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2019,2
271-365,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2019,2
1-7,0,,,,,,,RF,BASE+ALL,2019,4
8-30,8,-3.875,73.159,62.316,1.6295,1.628,-0.599,RF,BASE+ALL,2019,4
31-90,32,-0.579,28.167,21.948,1.0029,1.0048,0.173,RF,BASE+ALL,2019,4
91-180,62,0.169,79.849,49.469,0.6506,0.6511,0.467,RF,BASE+ALL,2019,4
181-270,61,0.524,25.001,18.529,0.6578,0.6587,0.759,RF,BASE+ALL,2019,4
271-365,66,0.197,47.267,20.013,0.7568,0.7583,0.514,RF,BASE+ALL,2019,4
1-7,0,,,,,,,XGB,BASE+ALL,2019,4
8-30,8,-3.018,66.414,53.662,1.4033,1.4019,-0.883,XGB,BASE+ALL,2019,4
31-90,32,-0.161,24.149,17.818,0.8142,0.8157,0.264,XGB,BASE+ALL,2019,4
91-180,62,0.168,79.88,48.262,0.6347,0.6353,0.471,XGB,BASE+ALL,2019,4
181-270,61,0.539,24.613,17.964,0.6378,0.6386,0.769,XGB,BASE+ALL,2019,4
271-365,66,0.147,48.74,21.371,0.8082,0.8098,0.391,XGB,BASE+ALL,2019,4
1-7,0,,,,,,,LightGBM,BASE+ALL,2019,4
8-30,8,-2.624,63.072,50.994,1.3335,1.3322,-0.752,LightGBM,BASE+ALL,2019,4
31-90,32,-0.287,25.426,18.575,0.8488,0.8504,0.27,LightGBM,BASE+ALL,2019,4
91-180,62,0.182,79.213,48.409,0.6366,0.6372,0.471,LightGBM,BASE+ALL,2019,4
181-270,61,0.552,24.254,17.582,0.6242,0.625,0.771,LightGBM,BASE+ALL,2019,4
271-365,66,0.092,50.264,22.257,0.8417,0.8434,0.305,LightGBM,BASE+ALL,2019,4
1-7,0,,,,,,,SARIMAX,BASE+ALL,2019,4
8-30,8,-1.688,54.327,42.894,1.1217,1.1206,-0.353,SARIMAX,BASE+ALL,2019,4
