date,RF,XGB,LightGBM,SARIMAX,Ensemble_unweighted,Ensemble_MASEweighted,y_true,y_gapfilled,persistence,tower,anchor_year,TFT,y_true_tft,TabPFN
2018-12-17,38.722095805395114,41.7848014831543,41.05945046249695,35.26832839596431,39.20866903675267,39.27936094616982,18.70908835605556,20.960429166666668,54.91721666666666,2,2018,8.923313569769675,18.70909,17.40030860900879
2018-12-18,55.91555668787454,53.04533386230469,47.385284363830834,37.0516666360365,48.34946038751164,48.44201823241369,35.149889121928574,32.9244375,54.91721666666666,2,2018,9.610669668371088,35.14989,17.434782028198242
2018-12-19,39.56951855283139,41.10360336303711,38.36879951826207,38.47844616983251,39.38009190099078,39.39580836075521,20.564511855705884,21.9152625,54.91721666666666,2,2018,-0.285246799633569,20.564512,15.80345344543457
2018-12-20,39.92348037067275,33.21474838256836,32.10457008831594,38.239119961341736,35.870479700724694,35.78182712926442,21.31585997685,59.83865,54.91721666666666,2,2018,-8.505230380806552,21.31586,16.765262603759766
2018-12-21,30.00390149885676,30.42963409423828,31.018368539778624,16.49782906978025,26.98743330066348,27.117024186230157,8.646292532607143,10.355054166666667,54.91721666666666,2,2018,-17.063883939407788,8.646293,-1.941825270652771
2018-12-22,17.129927895764524,16.906354904174805,20.643939967111404,20.752714458613806,18.858234306416136,18.844918528852702,4.645622667038461,5.962599999999999,54.91721666666666,2,2018,-5.458994730998256,4.6456227,-1.011710524559021
2018-12-23,30.39975293728323,23.083261489868164,24.24500371726907,22.48629318668642,25.05357783277672,25.024885896341313,,81.17115416666667,54.91721666666666,2,2018,-4.755265274709473,,-1.5239715576171875
2018-12-24,20.48128862152031,17.718393325805664,21.8286389922233,26.367200456415134,21.598880348991102,21.530933669701813,,11.309029166666669,54.91721666666666,2,2018,9.718678733253569,,0.10970121622085571
2018-12-25,14.969924005412814,17.819841384887695,17.82353864535984,26.951034791848386,19.391084706877184,19.32592552544176,23.430924851857142,21.3093375,54.91721666666666,2,2018,11.784529571353573,23.430925,0.9096419811248779
2018-12-26,13.64411314014064,15.706714630126953,15.641518546936943,24.570740477780618,17.39077169874629,17.323181080585286,20.941292970611112,14.657541666666669,54.91721666666666,2,2018,17.61709500839629,20.941294,3.0642004013061523
2018-12-27,13.399621362628336,14.318857192993164,13.780931889139499,26.1586936233051,16.914526017016524,16.81132633917947,26.19202691092857,21.390625,54.91721666666666,2,2018,22.836298785342365,26.192026,1.34523344039917
2018-12-28,12.707247946163198,12.441770553588867,13.491991244222763,25.791194453461145,16.108051049358995,15.994215697081543,29.94466230940909,30.324125,54.91721666666666,2,2018,28.116328738468496,29.944662,2.070396900177002
2018-12-29,15.596974003060867,13.461339950561523,14.950564003580071,22.638124558274917,16.661750628869342,16.577124508314206,1.0451481868888888,3.606079166666667,54.91721666666666,2,2018,-5.182102745948669,1.0451481,-1.549639105796814
