tower,multiplier,real_historical_mean,annual_mean,trend_mean,residual_mean,residual_RF,residual_XGB,residual_LightGBM,DJF,MAM,JJA,SON,aoa_flagged_pct,ensemble_disagreement,scenario_lsu_max
2,1.0,19.394835537790698,23.305015702806102,19.654458883966225,3.6505568188398745,6.106582082108434,4.033256,0.81183195009071,24.825425143009454,26.35843045770318,23.237023942333042,18.783084218132352,0.0,2.4422807687394634,0.7130325814536341
2,2.0,19.394835537790698,27.60764089073753,24.409159250294532,3.1984816404430005,4.750356546917812,4.033256,0.81183195009071,25.370380809920835,30.556165849039367,31.009345861940684,23.40030301995781,0.0,2.091618709375332,1.4260651629072683
2,3.0,19.394835537790698,31.19148711662926,29.163859616622847,2.027627500006423,1.23779412560808,4.033256,0.81183195009071,25.916768508477833,34.21757753951164,36.861864780365565,27.61620811404367,0.0,2.9178191696612736,2.1390977443609023
4,1.0,29.95318381782946,29.350240970599337,30.233361973902973,-0.8831210033036397,-4.359969094549154,2.2948701,-0.5842641623494009,16.676132603815727,33.10626472980588,39.287131648517686,28.041687396918395,0.0,3.691995170135386,2.4760752688172043
4,2.0,29.95318381782946,49.181146633362836,51.39659004254774,-2.215443409184912,-8.356936312192973,2.2948701,-0.5842641623494009,17.901220162731917,53.401582300557266,77.19579440612397,47.528022522163624,0.0,5.028543920072558,4.952150537634409
4,3.0,29.95318381782946,69.90210009306115,72.55981811119253,-2.657718018131381,-9.683760139032378,2.2948701,-0.5842641623494009,19.196455713870684,74.07235935064898,115.242385376669,69.99592312973297,5.47945205479452,5.586781840757971,7.4282258064516125
9,1.0,36.649051044516646,40.04290292332967,36.9279311931684,3.1149717301612663,-1.0005963189396945,7.636231,2.7092803855020957,29.611221988245365,40.01667973432709,52.65486607169858,37.63590520789983,0.0,4.263457312012667,2.5799999999999996
9,2.0,36.649051044516646,60.562418777025954,58.89271766360493,1.6697011134210231,-5.343310197596956,7.643133,2.7092803855020957,32.29247966163971,60.217999155791375,92.66705020205785,56.412474100491956,0.0,5.811321686674106,5.159999999999999
9,3.0,36.649051044516646,81.95947272757404,80.85750413404145,1.101968593532598,-7.04650775726223,7.643133,2.7092803855020957,34.63054065549449,80.85309348523401,133.37625267838817,77.90504439029432,6.027397260273973,6.50519553870284,7.739999999999998
