config,tower,scenario,R2,RMSE,MAE,MBE
E_production,2,vs,0.5740481961947477,88.49006571194093,31.25384142251714,1.8040501966484273
E_production,2,s,0.7301917892608962,90.4171160680605,32.29542882220963,-1.8789858520033138
E_production,2,m,0.7061037343358382,75.29403904717007,29.9937892086228,2.67597632351264
E_production,2,l,0.21959174555665995,74.35120718883311,34.13365890455648,11.881129198694222
E_production,2,m1,0.552066960220085,62.41088315914769,31.04050316991093,7.0200047378716475
E_production,4,vs,0.4275538510808019,94.72552229812338,40.28813773438274,4.149027728584793
E_production,4,s,0.4239809994420646,102.67927854606305,42.880276859131854,3.7221464603879184
E_production,4,m,0.4024057762174396,104.32795558734932,44.23337830000772,2.8359370838112223
E_production,4,l,0.2660809891616784,100.40395972772156,45.55491022366744,6.773057932993419
E_production,4,m1,0.3303340784687817,91.0907288984762,40.24977006497438,2.295701598648522
E_production,9,vs,0.4609367042416309,101.328793461352,46.6608332069803,1.173517783789204
E_production,9,s,0.3716551023492612,112.12130609855907,49.29680263484016,-0.3070326177729647
E_production,9,m,0.4244633461843902,113.52560630920492,50.33485698248496,1.2114909824963382
E_production,9,l,0.2372999673038237,107.25292915779374,49.212048135428304,-0.4047607463182804
E_production,9,m1,0.4184965150462639,102.05929994941904,49.35649054619431,0.6758590342059688
A_baseline,2,vs,0.5670475119135018,89.16580347886995,31.189551491268837,1.6810129172554171
A_baseline,2,s,0.7217788849091082,91.6542771138353,32.407171806604595,-2.2018415964012856
A_baseline,2,m,0.7035007520249075,75.64821032100406,30.341211672080792,2.871911492571159
A_baseline,2,l,0.23487095547581877,74.64632024662512,34.54842510435171,12.210424417192069
A_baseline,2,m1,0.5414791097345718,63.53203610329486,31.56779185261999,7.505625285043131
A_baseline,4,vs,0.43732630200001116,93.8806220611765,39.98610096223126,4.185189855422115
A_baseline,4,s,0.4283256631062683,102.28505448463818,42.82260076619614,3.599467170615241
A_baseline,4,m,0.4076962358176431,103.87481154971206,44.36937442845469,2.9899480784806345
A_baseline,4,l,0.27648592277100403,99.685585388324,45.257992545743754,6.3230767554420035
A_baseline,4,m1,0.3473481444058004,89.97845709958368,39.71327013231772,1.703240157840913
A_baseline,9,vs,0.4601776248542504,101.39951538490806,46.683579895342874,1.0817671122235164
A_baseline,9,s,0.374831895934786,111.85369243139527,49.0309864866879,-0.3410795861068717
A_baseline,9,m,0.4275898302507354,113.21816615446019,50.42374907514265,1.4044639792039284
A_baseline,9,l,0.23418816637017792,107.37970742104628,49.11338033117693,-0.5555034088058856
A_baseline,9,m1,0.41793465319380024,102.07520022882525,49.4299702030876,0.8489075445865886
B_truncate,2,vs,0.568289642527998,89.06209103229105,31.08896723678773,1.5748971817619681
B_truncate,2,s,0.7215004077988374,91.69969201297602,32.40637072574354,-2.1899718016058705
B_truncate,2,m,0.7044506014791896,75.53090204419351,30.2736662618078,2.768394926546948
B_truncate,2,l,0.23598885171483774,74.59799151296403,34.51449899559441,12.180337036583897
B_truncate,2,m1,0.5423522840497819,63.51580937839127,31.538875397540433,7.459112733783694
B_truncate,4,vs,0.4376485416431173,93.8556057774487,39.98874821600219,4.1843173866968115
B_truncate,4,s,0.4282449679128115,102.29173303312476,42.83261566855188,3.6146591659505622
B_truncate,4,m,0.4076695577688644,103.87884045026186,44.37115497401835,2.9872713184475836
B_truncate,4,l,0.27627712251130004,99.70007630844177,45.263726721685465,6.3458870964690215
B_truncate,4,m1,0.34717486168848194,89.98821881173458,39.6881435155134,1.7113209264922462
B_truncate,9,vs,0.4605172376980449,101.3674025901174,46.67690286909357,1.0890077658192236
B_truncate,9,s,0.37460720769396183,111.87366866534151,49.03183467938149,-0.32379613656178385
B_truncate,9,m,0.4272919027406251,113.24882779731718,50.44273090186455,1.427434724323767
B_truncate,9,l,0.23391401553688085,107.40095698083195,49.10614878119786,-0.5794526944153973
B_truncate,9,m1,0.4174013492673895,102.1091870973294,49.45503151857614,0.8915243796092356
C_winsorize,2,vs,0.5671341918134352,89.15410296269897,31.14717907320035,1.5971967490842522
C_winsorize,2,s,0.7212346215876565,91.7398225848153,32.32220734499474,-2.2689270440308427
C_winsorize,2,m,0.70411643980024,75.57554601357077,30.335691908690283,2.870424756228125
C_winsorize,2,l,0.22987412855456624,74.83932926183276,34.970599210909256,12.65180854846806
C_winsorize,2,m1,0.5408173275026934,63.59266936057665,31.635457150214,7.563128682721791
C_winsorize,4,vs,0.43837543294524034,93.79281827059155,39.936562770796,4.1919413763289395
C_winsorize,4,s,0.4289323738430531,102.22703083805553,42.777568379132106,3.6616667142680086
C_winsorize,4,m,0.40755783652133304,103.8892007996507,44.34918052601522,2.9172341662598456
C_winsorize,4,l,0.2765943903970532,99.6783896174683,45.28048072573466,6.5285741895086336
C_winsorize,4,m1,0.3466791330948889,90.02823035304188,39.75818821679799,1.770823650994891
C_winsorize,9,vs,0.4614032568749355,101.28475793191697,46.67939372553924,1.1328116828546428
