anchor_year,eval_tower,model,bin,date,feature,shap_value
2018,2,XGB,1-7,2018-12-18,fx_SWC_lag28,0.07992005348205566
2018,2,XGB,1-7,2018-12-18,fx_TS_lag28,0.39476916193962097
2018,2,XGB,1-7,2018-12-18,fx_SWC_roll7,0.04299100860953331
2018,2,XGB,1-7,2018-12-18,fx_TS_roll7,0.022821297869086266
2018,2,XGB,1-7,2018-12-18,fx_SWC_roll14,-0.21310700476169586
2018,2,XGB,1-7,2018-12-18,fx_TS_roll14,-0.07362201064825058
2018,2,XGB,1-7,2018-12-18,fx_DOY_sin,-0.035249389708042145
2018,2,XGB,1-7,2018-12-18,fx_DOY_cos,0.02855757623910904
2018,2,XGB,1-7,2018-12-18,fx_is_growing,0.0
2018,2,XGB,1-7,2018-12-18,fx_is_winter,0.0
2018,2,XGB,1-7,2018-12-18,fx_lsu_dens,1.4964858293533325
2018,2,XGB,1-7,2018-12-18,fx_grazing_active,0.026396121829748154
2018,2,XGB,1-7,2018-12-18,fx_days_since_grazing,0.11551540344953537
2018,2,XGB,1-7,2018-12-18,ar_fc_dlag1,0.14120365679264069
2018,2,XGB,1-7,2018-12-18,is_t2,0.0
2018,2,XGB,1-7,2018-12-18,is_t4,0.34666988253593445
2018,2,XGB,1-7,2018-12-18,is_t9,-1.3060249090194702
2018,2,LightGBM,1-7,2018-12-18,ar_ch4_dlag1,-1.6691059445655063
2018,2,LightGBM,1-7,2018-12-18,ar_ch4_dlag2,-0.748742763988153
2018,2,LightGBM,1-7,2018-12-18,ar_ch4_dlag3,0.30331608783376174
2018,2,LightGBM,1-7,2018-12-18,ar_ch4_dlag7,-0.0065326804852118
2018,2,LightGBM,1-7,2018-12-18,ar_ch4_dlag14,-0.05954706400517144
2018,2,LightGBM,1-7,2018-12-18,ar_ch4_drm7,1.0446286373097526
2018,2,LightGBM,1-7,2018-12-18,fx_WS_mean,2.0108886595519277
2018,2,LightGBM,1-7,2018-12-18,fx_USTAR_mean,5.171017477573728
2018,2,LightGBM,1-7,2018-12-18,fx_TA_mean,-0.36993120263207585
2018,2,LightGBM,1-7,2018-12-18,fx_TA_min,-0.044256584894521354
2018,2,LightGBM,1-7,2018-12-18,fx_TA_max,-0.5651205013270285
2018,2,LightGBM,1-7,2018-12-18,fx_VPD_mean,-0.813941061298878
2018,2,LightGBM,1-7,2018-12-18,fx_SWIN_mean,2.3980218102687587
2018,2,LightGBM,1-7,2018-12-18,fx_RN_mean,-0.20365629345242894
2018,2,LightGBM,1-7,2018-12-18,fx_PPFD_mean,-0.5879847124307431
2018,2,LightGBM,1-7,2018-12-18,fx_SWC_mean,-1.1491314387670564
2018,2,LightGBM,1-7,2018-12-18,fx_TS_mean,-0.302962975376438
