,RF,XGB,LightGBM,SARIMAX,DLinear,LSTM,Persistence,Climatology,y_true
2021-12-17,9.781996991946317,11.530311584472656,10.841061481100244,11.472218446592851,26.028677707067686,3.893834200710444,10.200595833333333,17.57330774735989,
2021-12-18,9.684641065893992,11.008074760437012,10.356673888877651,10.217999956696946,21.51843907360876,8.424555213589429,10.200595833333333,16.020939715189762,
2021-12-19,9.461940517480636,10.023368835449219,9.242541721571198,13.581969674878438,23.80181600981541,13.752611420918129,10.200595833333333,16.039157416730337,
2021-12-20,9.423250436750367,9.754522323608398,8.715448432029751,11.7030602284548,0.6604652809533036,14.295671065116949,10.200595833333333,15.702640496176539,
2021-12-21,12.50591568531156,12.130390167236328,10.275661049875575,16.09821890987271,-0.11793299364944687,18.665912106646374,10.200595833333333,7.573011233012279,8.671577
2021-12-22,13.559254410991086,11.940654754638672,10.67527441565056,13.733911479989365,43.969705470332656,19.259860297500836,10.200595833333333,8.69594085273218,5.9756374
2021-12-23,11.415901771405748,10.606619834899902,10.012291065209746,12.220597869990002,32.23126046284631,15.161317244527709,10.200595833333333,8.962001104645447,11.89314
2021-12-24,11.788154133289613,12.04050350189209,11.598602719825067,10.816014655581462,9.09995890907021,17.113926494909265,10.200595833333333,8.67478110658211,6.698134
2021-12-25,21.739208556283824,21.30893898010254,22.28643556549836,12.111840632114014,-4.769668949135848,29.886524405326213,10.200595833333333,11.241594069913306,
2021-12-26,12.96037802760398,15.048598289489746,15.184260346554789,8.117299262587075,-60.097680253911676,4.792972057640327,10.200595833333333,10.952796405577642,3.1120024
2021-12-27,12.892347953770457,12.411589622497559,12.679822889766367,13.58572294791024,-26.873468042464992,10.273408710359945,10.200595833333333,11.282129191542877,
2021-12-28,25.82385213238838,22.591964721679688,23.68048222559443,22.473739701265337,-24.649449931821437,16.944542552210805,10.200595833333333,10.388565116780972,50.81897
2021-12-29,29.671602220091717,28.904733657836914,26.33975073668817,19.477932049395434,-4.327849445701759,7.566739100434461,10.200595833333333,9.966899908097497,
2021-12-30,22.980137600824985,21.184673309326172,17.146486994642217,15.868481934554904,-35.41028579478916,0.7363801433684785,10.200595833333333,10.165429752685869,12.518671
2021-12-31,32.675403900625035,22.60488510131836,21.218875890103536,23.727061466033415,-24.507666923503166,-3.1142344138143017,10.200595833333333,10.640714617279766,-25.164667
2022-01-01,31.21232535508267,19.67399787902832,17.89707647594244,16.41342310940974,-44.554119550126416,-7.01278526207625,10.200595833333333,9.135935614264882,17.893316
2022-01-02,40.43671040967833,28.31126594543457,32.677948564596704,19.022061021113927,-47.355265272217366,-0.8166793734617386,10.200595833333333,7.955964676765574,9.990129
2022-01-03,28.638903585611164,22.64971160888672,21.761537928221504,14.999937639223512,-44.251168169757875,-18.619897675595894,10.200595833333333,6.84925650907231,6.0425463
2022-01-04,23.330942038855486,17.070871353149414,18.89975938946756,8.028396423745082,-42.0418897015461,-16.25197628247588,10.200595833333333,3.9352688992449676,20.13568
2022-01-05,15.911230416041983,15.535517692565918,16.289017502492854,6.343962831354153,-22.158359885330356,-22.9509333137903,10.200595833333333,1.8195842890089429,4.480103
2022-01-06,19.948991643860186,14.889933586120605,15.719501132522417,11.839997301999983,-20.341705839620772,-11.168325926209036,10.200595833333333,-1.7128177156221756,-17.609568
2022-01-07,30.752737412892014,19.01251792907715,26.11100358206679,14.210642433501596,-27.403233685703526,3.0919850645232145,10.200595833333333,-1.2706671080061787,-4.0945597
2022-01-08,52.09434103747635,33.670082092285156,40.59365735484735,25.806105711509097,-18.386927143602406,1.4291079341974182,10.200595833333333,-4.146916651350906,40.973732
2022-01-09,25.658941252325818,20.506786346435547,20.680900315194933,10.296464482448604,-24.084906285183024,-28.76562587702847,10.200595833333333,-6.09107014527377,3.9472969
2022-01-10,23.89661197419053,17.99264907836914,20.594450347941397,11.121753065126253,-5.44369190949692,-20.170262595397617,10.200595833333333,-6.105971108444679,
2022-01-11,18.523725258646547,17.9312801361084,17.1478537291462,12.483908287829793,-8.966525456466115,-10.651954593747178,10.200595833333333,-5.633921535874655,3.463858
2022-01-12,18.32433127770649,18.228275299072266,17.84049347595416,9.918038274544179,-1.9505972727984044,-0.7104571784830114,10.200595833333333,-5.2045914695881565,8.506978
2022-01-13,19.033225935222614,18.080982208251953,17.611515666286195,8.714719509038641,1.7643079371055137,19.142521414635212,10.200595833333333,-4.082510084167498,26.509586
2022-01-14,19.74731626244515,17.569637298583984,17.510484876630933,12.270940372486784,14.20659594816334,42.45938678615039,10.200595833333333,-2.6469054900866595,21.837656
2022-01-15,17.313166099847173,16.9638614654541,16.243089363468986,9.651875080942704,21.117781014929278,25.70073443097465,10.200595833333333,-3.236491514836114,0.8421891
2022-01-16,16.873240304957452,16.88804817199707,15.575698547519135,11.80087021978164,2.6847862157574127,-3.754195307504233,10.200595833333333,-2.750065924199766,3.6882195
2022-01-17,16.21653863186585,16.735767364501953,14.616300516476409,6.75372537245772,26.102171857590292,-10.827697392061054,10.200595833333333,-1.7673994089323282,41.675274
2022-01-18,17.36742718776442,16.122478485107422,12.849213302336818,9.955908088164056,38.9674545632065,10.053539427130545,10.200595833333333,-0.3382863391384082,19.155287
2022-01-19,16.24062860883286,14.29946517944336,11.088954536543845,10.190728080428567,30.381461398541887,0.6081881317413718,10.200595833333333,1.6899663557700733,-4.976576
2022-01-20,18.883955328182566,14.618971824645996,16.61852711472146,7.428685165369055,15.631667023287946,-1.7377005052376262,10.200595833333333,3.2371615862634946,12.884102
2022-01-21,17.82418350095057,14.058512687683105,14.134173027297534,7.00657799751842,-6.667617217021871,15.806838449020233,10.200595833333333,4.501569366223758,3.3485112
2022-01-22,22.472612016918905,13.484428405761719,15.31310001020172,6.299221293012783,9.615645774549648,7.030476921440368,10.200595833333333,4.349393580971398,12.541372
2022-01-23,24.596896111232684,15.024918556213379,18.55489368185115,11.638455180199207,20.991317872490526,19.416817624121904,10.200595833333333,5.890996452430815,37.636055
2022-01-24,19.744521458811363,13.188738822937012,16.09937173458959,15.26949005408327,30.038906571718883,27.14111947140134,10.200595833333333,5.627364720630787,5.44478
2022-01-25,21.167137345836053,13.400679588317871,17.202752546637907,12.577379083797068,36.91801880398134,16.90799437558053,10.200595833333333,6.710101249543653,22.079025
2022-01-26,16.777264441481506,10.928253173828125,14.58897215484937,10.373634928215953,-2.5931229508132674,15.771834256818693,10.200595833333333,6.399071030848709,13.351862
2022-01-27,17.14513465548097,10.24039077758789,11.754651784128475,13.0479938407342,26.986324214695287,15.654686159290122,10.200595833333333,6.016137023233263,15.1689205
2022-01-28,17.166132650016642,11.582788467407227,12.267595259203688,12.698002688017521,16.09695115632053,6.746427057454184,10.200595833333333,5.475713456650264,0.99091184
2022-01-29,22.657868592009336,12.383173942565918,12.675806994730092,18.32233536525657,22.07088948679484,17.392624535162213,10.200595833333333,3.8773265827758947,17.064316
2022-01-30,17.78904530772695,9.795888900756836,10.025502966274573,12.874939637813913,-7.086577883474092,2.228616508002233,10.200595833333333,3.933515689418473,37.305122
2022-01-31,24.729796331361108,15.680667877197266,13.672467262361213,8.630282417047791,-18.226993959095125,13.25059422649565,10.200595833333333,4.916449534038021,7.0781198
2022-02-01,31.376124580074784,23.041446685791016,17.971649910325475,16.352874966978945,11.014314715942874,24.995848500341594,10.200595833333333,5.392402229667992,
2022-02-02,21.57541059526808,15.277138710021973,13.759441998124755,13.028486083348342,17.552107308925315,8.999084604106429,10.200595833333333,10.414566109830972,11.70006
2022-02-03,19.3728261754557,14.250984191894531,11.996095515770044,18.88677723585925,9.130653712885305,6.971970729316581,10.200595833333333,13.734964690938341,9.286114
2022-02-04,24.674696295028667,14.081841468811035,13.710661305477213,16.039463197789594,9.119133818873706,8.979482885868492,10.200595833333333,13.499493332858055,3.3241656
2022-02-05,26.979162218259734,17.473831176757812,13.915772480230101,14.76904880052458,-6.911551021888954,8.807020808608286,10.200595833333333,14.661403459704232,-0.016776206
2022-02-06,46.812830521869614,41.42615509033203,39.026830595161,28.614028165234558,16.787784861792943,32.302118038685194,10.200595833333333,16.925493144146873,25.417486
2022-02-07,26.075071822519295,21.60661506652832,19.91294569563406,11.01744594539829,-10.275513488289107,-4.5052522731339195,10.200595833333333,18.41816779728952,25.336634
2022-02-08,24.04386565508794,17.838165283203125,17.03469964163513,19.945863013398615,10.29475306580025,4.703220341140877,10.200595833333333,19.095076775513213,24.708092
2022-02-09,19.658568989572412,16.49868392944336,15.841634471352517,18.038161878296975,-45.007165885559516,0.02286658509638073,10.200595833333333,18.724101726244488,
2022-02-10,16.858755092813134,14.795392990112305,14.083016079919156,7.175928000130561,-45.344033785022475,-8.133965781590632,10.200595833333333,20.379085378470055,5.6026525
2022-02-11,16.11511344457794,13.265045166015625,11.576095361880842,7.967840987487293,-38.670826873632905,-6.598021873039215,10.200595833333333,21.69566953411902,2.5936499
2022-02-12,16.501764039106632,13.134533882141113,11.603714877535515,13.179282910577536,-48.58799817499312,0.3891665648034177,10.200595833333333,23.442769933395095,-3.8349798
2022-02-13,30.802730992865627,23.966073989868164,22.5041592172327,24.861415720855543,-70.60871713804227,1.1010318951121008,10.200595833333333,24.403100690276833,6.697094
2022-02-14,21.273119852172428,15.926321983337402,14.7081219972174,14.243699707974523,-66.26749710319564,9.785275574641219,10.200595833333333,24.97264418012877,11.566345
2022-02-15,29.67380087781888,23.78653335571289,17.605876776320653,22.066540655878498,-70.6544741491889,12.503752240013455,10.200595833333333,24.219757439176963,5.38571
2022-02-16,66.19929073321293,61.93777847290039,54.54451433351511,30.27309161079322,-54.589986867162224,36.41378938473565,10.200595833333333,23.61910095724295,31.324316
2022-02-17,31.58225521750325,37.60422897338867,31.936785415007165,16.063113188294793,-68.10821763740205,10.798168697074743,10.200595833333333,17.738673174087968,17.672104
2022-02-18,52.86515624180017,51.298004150390625,50.457936969061805,23.838944697188055,-58.07785752597192,32.281950356728316,10.200595833333333,13.748265164952217,
2022-02-19,39.845603091749716,41.11164093017578,36.05636386447114,16.940427679867256,-55.987872998615785,20.853466615602883,10.200595833333333,16.783205484302375,
2022-02-20,70.93154290718925,89.0031967163086,50.95777445762993,30.315726659795544,-45.34137459145859,39.929663200620666,10.200595833333333,15.948271725834818,
2022-02-21,44.045195357947016,47.492759704589844,37.87877093353756,15.95708530291089,-33.565843963080624,25.078563778250214,10.200595833333333,15.777885062439758,
2022-02-22,34.27398440215702,39.43132781982422,25.49848827262166,18.4744324710678,-39.610151596611104,14.124865083256736,10.200595833333333,16.748362085805002,
2022-02-23,22.091091700546755,24.828203201293945,18.975352422300194,12.970258333579135,-70.90106321390158,-10.88119202708367,10.200595833333333,19.239300389875822,
