bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,real_frac
271-365,95,0.053,31.762,20.413,0.856,0.7549,0.421,TabICLv2,2020,9,0.9052631578947369
1-7,7,-8.083,7.878,7.525,3.7242,0.7496,0.696,TabICLv2,2021,2,0.0
8-30,23,-2.647,22.9,18.886,1.5668,0.8704,-0.476,TabICLv2,2021,2,0.0
31-90,60,-1.466,24.495,18.554,1.5479,0.8625,-0.197,TabICLv2,2021,2,0.0
91-180,90,-3.225,26.507,22.946,1.8318,1.038,-0.151,TabICLv2,2021,2,0.0
181-270,90,-1.173,26.5,20.599,1.111,0.7854,0.043,TabICLv2,2021,2,0.0
271-365,95,0.099,7.617,5.545,0.8478,0.6915,0.602,TabICLv2,2021,2,0.0
1-7,7,-38.707,11.673,11.394,7.1163,1.0424,-0.155,TabICLv2,2021,4,0.42857142857142855
8-30,23,0.163,8.473,6.768,0.9078,0.4996,0.462,TabICLv2,2021,4,0.8260869565217391
31-90,60,-0.299,14.829,10.086,1.0979,0.6082,0.588,TabICLv2,2021,4,0.8333333333333334
91-180,90,-0.102,74.766,44.177,0.7425,0.6413,0.557,TabICLv2,2021,4,1.0
181-270,90,0.067,79.863,56.374,0.9057,0.834,0.33,TabICLv2,2021,4,0.9777777777777777
271-365,95,0.402,25.398,16.985,0.7802,0.6653,0.639,TabICLv2,2021,4,0.9578947368421052
1-7,7,-0.405,11.645,10.52,0.9239,0.5645,0.935,TabICLv2,2021,9,0.14285714285714285
8-30,23,-0.863,18.09,14.056,0.9044,0.8189,0.057,TabICLv2,2021,9,0.5217391304347826
31-90,60,-1.015,12.865,9.992,0.5245,0.9065,0.302,TabICLv2,2021,9,0.5833333333333334
91-180,90,-0.345,78.01,54.842,0.8562,0.6676,0.537,TabICLv2,2021,9,0.9444444444444444
181-270,90,-0.543,44.122,33.696,1.2119,0.663,0.623,TabICLv2,2021,9,0.5222222222222223
271-365,95,-0.447,15.579,11.88,0.7058,0.7737,-0.011,TabICLv2,2021,9,0.0
1-7,7,-7.317,15.595,14.559,1.8031,1.1357,-0.354,TabICLv2,2022,2,0.0
8-30,23,0.132,15.529,12.968,0.7179,0.8211,0.715,TabICLv2,2022,2,0.0
31-90,60,-0.567,24.718,14.424,0.6376,0.8068,-0.16,TabICLv2,2022,2,0.0
91-180,90,-2.332,17.635,14.84,0.8259,1.1222,0.173,TabICLv2,2022,2,0.0
181-270,90,-2.242,27.909,22.787,0.766,0.9114,-0.096,TabICLv2,2022,2,0.0
271-365,95,-0.293,18.02,10.264,0.6549,0.8869,-0.063,TabICLv2,2022,2,0.0
1-7,7,-0.463,4.132,3.692,0.9764,1.1171,0.034,TabICLv2,2022,4,0.0
8-30,23,-3.773,4.329,3.818,0.7345,1.7561,0.154,TabICLv2,2022,4,0.0
31-90,60,-0.65,4.912,4.522,0.5324,0.9361,0.86,TabICLv2,2022,4,0.016666666666666666
91-180,90,0.213,35.882,21.849,0.8374,0.9293,0.467,TabICLv2,2022,4,0.8333333333333334
181-270,90,0.249,39.977,26.225,0.686,0.7291,0.671,TabICLv2,2022,4,0.8222222222222222
271-365,95,0.281,17.144,10.715,0.632,0.7432,0.53,TabICLv2,2022,4,0.7789473684210526
1-7,7,-7.01,5.568,5.205,3.4923,2.6203,-0.071,TabICLv2,2022,9,0.0
8-30,23,-0.102,3.204,2.378,0.5003,0.6491,-0.39,TabICLv2,2022,9,0.0
31-90,60,-0.118,6.917,5.51,0.6378,0.7296,-0.077,TabICLv2,2022,9,0.23333333333333334
91-180,90,-0.553,17.114,13.643,1.03,1.0993,0.351,TabICLv2,2022,9,0.9333333333333333
181-270,90,0.148,43.97,31.077,0.7222,0.7342,0.418,TabICLv2,2022,9,0.9333333333333333
271-365,95,0.093,32.752,22.912,0.8026,0.8311,0.347,TabICLv2,2022,9,0.9368421052631579
