Datetime,RF_tuned,XGB_tuned,LightGBM_tuned,SARIMAX,Ensemble_4model_tuned,anchor_year,eval_tower
2018-12-17,38.13468193245534,37.879478454589844,38.191773476784746,34.38972598780015,37.14891496290752,2018,2
2018-12-18,45.97695858447761,53.223785400390625,45.093325897165506,38.295677128770954,45.647436752701175,2018,2
2018-12-19,38.60020035002681,39.51964569091797,33.6443341312433,39.953681272137004,37.92946536108127,2018,2
2018-12-20,39.08539225821925,35.29774856567383,26.592312404337612,39.56153157251011,35.1342462001852,2018,2
2018-12-21,29.13339459996742,34.133766174316406,27.7808348879295,17.680662847401347,27.18216462740367,2018,2
2018-12-22,21.19833229254499,20.96571159362793,15.684591715567484,21.94692017742078,19.948888944790298,2018,2
2018-12-23,29.823150978852464,27.715394973754883,19.28194401489901,23.593638559795064,25.103532131825357,2018,2
2018-12-24,20.811683933727736,22.238008499145508,21.194284771930878,27.503542885328287,22.936880022533103,2018,2
2018-12-25,16.14865009201294,18.454620361328125,19.16889736824695,28.057107943065184,20.4573189411633,2018,2
2018-12-26,15.349399369603747,18.18968391418457,17.076697080603008,25.592732853569103,19.052128304490108,2018,2
2018-12-27,13.982465401175055,16.503297805786133,18.57065673965958,27.17213627609165,19.057139055678103,2018,2
2018-12-28,13.175220025507688,14.468149185180664,20.230781907564484,26.74484356258936,18.65474867021055,2018,2
2018-12-29,16.456548021855276,16.26374626159668,18.952194981644745,23.395306859422405,18.766949031129776,2018,2
2018-12-30,14.359282918708972,13.825289726257324,15.447663717994965,25.50825397476885,17.28512258443253,2018,2
2018-12-31,13.01833693061469,13.542811393737793,9.427341421396159,25.355803472488144,15.336073304559196,2018,2
2019-01-01,12.534085575911204,13.39645004272461,11.130981977574034,26.121713677084582,15.79580781832361,2018,2
2019-01-02,12.772107125230091,13.62916088104248,15.988863306315757,28.480946966706163,17.717769569823623,2018,2
2019-01-03,12.765873673277186,12.969746589660645,13.88283743312345,28.458678887841373,17.01928414597566,2018,2
2019-01-04,12.649952290695124,12.196462631225586,12.870084509061604,29.07875973201059,16.698814790748226,2018,2
2019-01-05,12.382217055589113,11.82115364074707,11.130308466561262,28.445685654572472,15.94484120436748,2018,2
2019-01-06,12.04631239279503,11.046067237854004,13.17877149525469,27.878599044960993,16.03743754271618,2018,2
2019-01-07,16.367035109488956,14.65536880493164,16.66327457196032,24.31844137956135,18.001029966485568,2018,2
2019-01-08,13.885217830037142,11.236045837402344,11.869485512204399,25.78209714204377,15.693211580421913,2018,2
2019-01-09,13.235784793665282,11.328436851501465,16.3398021894984,29.90988119533212,17.703476257499318,2018,2
2019-01-10,12.63951109351373,12.131600379943848,17.58983180335495,29.60361546403895,17.99113968521287,2018,2
2019-01-11,11.965209987544062,11.042044639587402,13.373968195503007,28.56279318276879,16.236004001350814,2018,2
2019-01-12,17.40572197819277,14.930974960327148,13.606754171365926,24.998372827029335,17.735455984228796,2018,2
2019-01-13,21.76673659778401,16.922765731811523,16.771692995656785,23.983968364794038,19.86129092251159,2018,2
2019-01-14,16.120676775972584,13.38974666595459,14.340245154704096,27.230078986400173,17.77018689575786,2018,2
2019-01-15,14.74166073978628,11.947790145874023,13.277622636830113,28.499066246298412,17.116534942197205,2018,2
