date,RF,XGB,LightGBM,SARIMAX,Ensemble_unweighted,Ensemble_MASEweighted,y_true,y_gapfilled,persistence,tower,anchor_year,variant
2021-12-17,11.656087065237843,12.18448543548584,11.366589139699851,11.271987463671824,11.619787276023839,11.626007720007022,,10.565391666666669,10.200595833333333,4,2021,A_removal
2021-12-18,11.654399518677039,11.526740074157715,10.888084906061222,10.914549943533896,11.245943610607469,11.246892500718717,,10.489670833333332,10.200595833333333,4,2021,A_removal
2021-12-19,11.164032919346909,11.336106300354004,10.888084906061222,10.947540524883715,11.083941162661462,11.085704792656058,,13.6321,10.200595833333333,4,2021,A_removal
2021-12-20,10.927003003365567,11.336106300354004,10.888084906061222,10.926231213966073,11.019356355936715,11.02263300527612,,12.296825,10.200595833333333,4,2021,A_removal
2021-12-21,11.46238855586635,11.336106300354004,10.888084906061222,10.934316470076915,11.155224058089622,11.155438879629086,8.671577857142855,9.860616666666669,10.200595833333333,4,2021,A_removal
2021-12-22,11.247038197462025,11.336106300354004,10.888084906061222,10.9442211657527,11.103862642407488,11.105192185097414,5.975637600000001,7.490925000000001,10.200595833333333,4,2021,A_removal
2021-12-23,11.885682707474437,11.336106300354004,10.72540151971573,10.957770432503576,11.226240240011936,11.222921090464663,11.893139375,12.177470833333333,10.200595833333333,4,2021,A_removal
2021-12-24,12.939416290117828,11.724777221679688,13.0859784210277,10.972295575588106,12.18061687710333,12.188562762200895,6.698133846153846,6.877666666666666,10.200595833333333,4,2021,A_removal
2021-12-25,17.4853849558499,11.825437545776367,13.809790248178885,10.987246052584744,13.526964700597473,13.514529239307565,,11.6384375,10.200595833333333,4,2021,A_removal
2021-12-26,16.025580441743603,10.937332153320312,10.109664611669974,11.002154449879239,12.018682914153281,11.984797848987826,3.1120022727272723,6.0317,10.200595833333333,4,2021,A_removal
2021-12-27,17.325768807479662,11.724777221679688,13.046128847603407,11.016821678312015,13.278374138768692,13.261192122541319,,22.56540833333333,10.200595833333333,4,2021,A_removal
2021-12-28,17.818120061788353,11.4603853225708,10.72540151971573,11.031134594373494,12.758760374612095,12.722721389474806,50.81897125,33.8627125,10.200595833333333,4,2021,A_removal
2021-12-29,22.417556991047974,11.825437545776367,13.108216627102236,11.045035552802537,14.59906167918228,14.554420635819248,,20.89150833333333,10.200595833333333,4,2021,A_removal
2021-12-30,17.553183345358885,11.613247871398926,10.825183121432566,11.058492691471733,12.762526757415527,12.729621971625452,12.518671363636363,10.541008333333332,10.200595833333333,4,2021,A_removal
2021-12-31,18.68915178413633,11.654808044433594,13.294869385117266,11.071487970257202,13.677579295986098,13.653169329458013,-25.1646675,20.43592083333333,10.200595833333333,4,2021,A_removal
2022-01-01,18.274343539701214,11.613247871398926,10.825183121432566,11.084010340477693,12.949196218252599,12.912037267876455,17.8933165,14.8086125,10.200595833333333,4,2021,A_removal
2022-01-02,18.4867366031425,11.724777221679688,12.90465835733569,11.096052422843782,13.553056151250415,13.527850427350174,9.990129833333333,14.461654166666667,10.200595833333333,4,2021,A_removal
2022-01-03,16.10207575535124,11.336106300354004,10.521843249949184,11.107608775074581,12.266908520182252,12.237507627390972,6.042546214285714,6.4486625,10.200595833333333,4,2021,A_removal
2022-01-04,18.362336989873075,11.374248504638672,10.521843249949184,11.11867501648516,12.844275940236521,12.802479966850708,20.135678928571423,17.9512875,10.200595833333333,4,2021,A_removal
2022-01-05,16.56904740418412,11.374248504638672,10.521843249949184,11.129247379699361,12.398596634617835,12.366721923600988,4.4801028125,6.0019375,10.200595833333333,4,2021,A_removal
2022-01-06,19.045060099400896,11.724777221679688,13.065116981981028,11.139322482701598,13.743569196440802,13.715809557993143,-17.609567535714287,-5.582829166666667,10.200595833333333,4,2021,A_removal
2022-01-07,23.138914373095847,11.825437545776367,13.127204761479856,11.148897212813837,14.810113473291477,14.760633607090604,-4.094559583333333,3.371204166666667,10.200595833333333,4,2021,A_removal
2022-01-08,22.88437619864413,11.825437545776367,13.127204761479856,11.1579686679035,14.748746793450966,14.700607904710713,40.973733525,32.45062083333333,10.200595833333333,4,2021,A_removal
2022-01-09,16.235967587724183,11.336106300354004,10.521843249949184,11.1665341267567,12.315112816196018,12.284440828459527,3.947296863636364,6.243099999999999,10.200595833333333,4,2021,A_removal
2022-01-10,19.494470130077556,11.548781394958496,11.772604340857994,11.174591034323527,13.497611725054393,13.457883040501114,,7.729070833333334,10.200595833333333,4,2021,A_removal
2022-01-11,17.33497972424478,11.336106300354004,10.521843249949184,11.18213699453163,12.593766567269899,12.556818244936448,3.463857857142857,7.868529166666668,10.200595833333333,4,2021,A_removal
2022-01-12,17.722564882344134,11.336106300354004,10.521843249949184,11.189169766941445,12.692421049897192,12.653245682499607,8.506978235294117,9.209708333333332,10.200595833333333,4,2021,A_removal
2022-01-13,20.52975368493953,11.396796226501465,10.70740697809949,11.195687265340268,13.457411038720188,13.404116310967117,26.50958576923077,21.45424583333333,10.200595833333333,4,2021,A_removal
2022-01-14,18.14274387575163,11.396796226501465,10.70740697809949,11.201687557303899,12.86215865941412,12.822141607357935,21.837656666666664,19.990441666666666,10.200595833333333,4,2021,A_removal
2022-01-15,17.73499617441975,11.336106300354004,10.521843249949184,11.207168864229935,12.700028647238218,12.66062399746014,0.842189076923077,5.178458333333333,10.200595833333333,4,2021,A_removal
2022-01-16,17.412347188120542,11.336106300354004,11.068572867035241,11.212129561589508,12.757288979274824,12.722874036913467,3.6882195416666663,5.166341666666667,10.200595833333333,4,2021,A_removal
2022-01-17,19.340879340177022,11.336106300354004,11.068572867035241,11.216568179268132,13.240531671708599,13.19530684698654,41.675272500000005,24.879470833333333,10.200595833333333,4,2021,A_removal
2022-01-18,21.38607674119011,11.396796226501465,11.622236419789411,11.2204834019296,13.906398197352646,13.85350860849984,19.155287666666663,17.7322625,10.200595833333333,4,2021,A_removal
2022-01-19,16.952887826355706,11.336106300354004,11.430482302141773,11.223874069369128,12.735837624555153,12.706023686845075,-4.9765758,5.7488,10.200595833333333,4,2021,A_removal
2022-01-20,19.883929024513712,11.336106300354004,11.430482302141773,11.226739176838452,13.469314200961986,13.423105545790095,12.884102142857143,13.995879166666668,10.200595833333333,4,2021,A_removal
2022-01-21,24.090744476286417,22.969135284423828,23.634658224134263,11.22907787533402,20.480903965044632,20.582841514014643,3.348511314705882,4.925583333333333,10.200595833333333,4,2021,A_removal
2022-01-22,18.839456951072748,18.250656127929688,19.18847300787853,11.230889471843703,16.877368889681165,16.941969138508227,12.541372272727273,12.584004166666666,10.200595833333333,4,2021,A_removal
2022-01-23,18.045864706035072,18.89398956298828,18.683798465887257,11.23217342954965,16.713956541115067,16.785497868648196,37.636055,28.78524583333333,10.200595833333333,4,2021,A_removal
2022-01-24,19.19330242257855,18.697174072265625,18.53299095696344,11.232929367986104,16.91409920494843,16.976650414245526,5.44478,11.689475,10.200595833333333,4,2021,A_removal
2022-01-25,18.501645742786657,19.08462142944336,18.53299095696344,11.23315706315149,16.838103798086237,16.90783033069816,22.079024444444443,18.5179625,10.200595833333333,4,2021,A_removal
2022-01-26,16.870400894273036,19.08462142944336,18.084486212523824,11.232856447574452,16.318091245953667,16.394279412965368,13.3518615625,15.442220833333332,10.200595833333333,4,2021,A_removal
