bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,real_frac
8-30,23,-0.513,35.771,22.226,1.2286,1.2279,0.342,LSTM,2019,4,0.34782608695652173
31-90,60,-0.365,27.968,20.935,0.7242,0.7257,0.245,LSTM,2019,4,0.5333333333333333
91-180,90,-0.667,62.737,47.95,0.6883,0.689,0.465,LSTM,2019,4,0.6888888888888889
181-270,90,-0.055,38.617,25.554,0.7362,0.7376,0.599,LSTM,2019,4,0.6777777777777778
271-365,95,-0.866,32.699,23.675,0.917,0.9193,0.212,LSTM,2019,4,0.6947368421052632
1-7,7,-5.426,29.951,28.412,3.6781,1.6706,0.65,DLinear,2019,9,0.0
8-30,23,-3.942,21.817,15.012,1.3923,0.7449,-0.048,DLinear,2019,9,0.0
31-90,60,-2.219,50.706,33.772,1.756,1.1968,-0.272,DLinear,2019,9,0.26666666666666666
91-180,90,0.015,52.747,39.726,0.7896,0.7005,0.422,DLinear,2019,9,0.9
181-270,90,-0.104,64.713,49.299,1.1562,1.0968,0.542,DLinear,2019,9,0.5444444444444444
271-365,95,-0.229,69.309,50.894,1.0971,0.9586,0.533,DLinear,2019,9,0.5157894736842106
1-7,7,-1.947,20.281,16.25,2.1037,0.9555,0.176,LSTM,2019,9,0.0
8-30,23,-5.045,24.128,21.613,2.0045,1.0725,-0.099,LSTM,2019,9,0.0
31-90,60,-0.849,38.434,28.25,1.4689,1.0012,0.499,LSTM,2019,9,0.26666666666666666
91-180,90,-0.168,57.431,39.363,0.7824,0.6941,0.373,LSTM,2019,9,0.9
181-270,90,-0.08,64.001,41.805,0.9804,0.9301,0.478,LSTM,2019,9,0.5444444444444444
271-365,95,-1.074,90.051,63.014,1.3584,1.1869,-0.143,LSTM,2019,9,0.5157894736842106
1-7,7,-0.522,30.184,24.334,1.4797,1.1049,0.274,DLinear,2020,2,0.0
8-30,23,-3.521,29.812,24.9,2.2584,0.898,0.221,DLinear,2020,2,0.0
31-90,60,-2.845,30.396,23.926,2.0845,0.9927,-0.278,DLinear,2020,2,0.0
91-180,90,-2.28,32.994,25.963,2.1647,1.6215,0.144,DLinear,2020,2,0.0
181-270,90,-2.154,24.978,19.632,1.4168,1.2087,0.14,DLinear,2020,2,0.0
271-365,95,-4.981,44.047,36.03,2.2779,2.5113,0.112,DLinear,2020,2,0.0
1-7,7,0.346,19.788,13.91,0.8458,0.6316,0.594,LSTM,2020,2,0.0
8-30,23,-1.072,20.183,16.661,1.5111,0.6008,0.374,LSTM,2020,2,0.0
31-90,60,-0.423,18.489,13.652,1.1894,0.5664,0.435,LSTM,2020,2,0.0
91-180,90,-0.781,24.313,17.06,1.4224,1.0654,0.164,LSTM,2020,2,0.0
181-270,90,-1.593,22.649,17.9,1.2918,1.102,-0.054,LSTM,2020,2,0.0
271-365,95,-0.816,24.275,18.597,1.1757,1.2962,0.145,LSTM,2020,2,0.0
1-7,7,-1.04,24.764,17.666,1.6421,0.8268,0.182,DLinear,2020,4,0.5714285714285714
8-30,23,-1.65,39.099,33.662,2.8976,2.2856,0.141,DLinear,2020,4,0.9130434782608695
31-90,60,-0.529,39.054,25.726,1.3766,0.9402,0.038,DLinear,2020,4,0.6166666666666667
91-180,90,-2.876,40.311,33.253,2.4171,1.3255,-0.079,DLinear,2020,4,0.4666666666666667
181-270,90,-0.157,66.633,50.541,1.0608,0.836,0.304,DLinear,2020,4,0.8777777777777778
271-365,95,-0.033,69.195,47.983,1.596,1.3276,0.375,DLinear,2020,4,0.8421052631578947
1-7,7,-0.61,21.999,19.17,1.7819,0.8972,0.354,LSTM,2020,4,0.5714285714285714
8-30,23,0.15,22.14,10.022,0.8627,0.6805,0.453,LSTM,2020,4,0.9130434782608695
31-90,60,-0.201,34.612,20.158,1.0787,0.7367,0.134,LSTM,2020,4,0.6166666666666667
91-180,90,-2.116,36.144,26.101,1.8972,1.0405,0.37,LSTM,2020,4,0.4666666666666667
181-270,90,-0.516,76.28,50.867,1.0677,0.8414,0.288,LSTM,2020,4,0.8777777777777778
271-365,95,-0.117,71.941,40.355,1.3423,1.1165,0.093,LSTM,2020,4,0.8421052631578947
1-7,7,-0.057,52.686,40.507,1.0743,1.0407,0.148,DLinear,2020,9,0.5714285714285714
8-30,23,-0.206,79.463,67.065,1.3512,1.1684,-0.016,DLinear,2020,9,0.8260869565217391
31-90,60,-0.46,55.558,41.013,1.3294,1.0265,-0.054,DLinear,2020,9,0.4
91-180,90,-2.847,31.395,22.642,1.6057,1.2458,-0.203,DLinear,2020,9,0.6333333333333333
181-270,90,0.125,69.874,44.069,0.7697,0.5897,0.38,DLinear,2020,9,0.7111111111111111
271-365,95,-0.428,38.992,33.918,1.4222,1.2543,0.534,DLinear,2020,9,0.9052631578947369
1-7,7,-0.503,62.837,51.409,1.3635,1.3208,0.011,LSTM,2020,9,0.5714285714285714
8-30,23,-0.671,93.507,81.418,1.6404,1.4184,0.156,LSTM,2020,9,0.8260869565217391
31-90,60,-0.44,55.181,44.249,1.4343,1.1076,0.246,LSTM,2020,9,0.4
91-180,90,-13.038,59.974,42.583,3.0198,2.343,0.186,LSTM,2020,9,0.6333333333333333
181-270,90,-0.097,78.224,52.706,0.9206,0.7052,0.425,LSTM,2020,9,0.7111111111111111
271-365,95,-0.979,45.905,34.181,1.4332,1.264,0.262,LSTM,2020,9,0.9052631578947369
1-7,7,-59.061,20.257,16.725,8.277,1.6659,-0.572,DLinear,2021,2,0.0
8-30,23,-10.472,40.618,37.279,3.0926,1.718,0.462,DLinear,2021,2,0.0
31-90,60,-3.408,32.748,26.116,2.1789,1.2141,0.345,DLinear,2021,2,0.0
91-180,90,-11.247,45.132,37.923,3.0274,1.7155,-0.164,DLinear,2021,2,0.0
181-270,90,-7.336,51.905,46.535,2.5098,1.7742,-0.541,DLinear,2021,2,0.0
271-365,95,-23.053,39.367,35.697,5.4577,4.4511,0.365,DLinear,2021,2,0.0
1-7,7,-38.885,16.507,15.556,7.6982,1.5494,0.321,LSTM,2021,2,0.0
8-30,23,-1.646,19.508,15.535,1.2888,0.716,0.126,LSTM,2021,2,0.0
31-90,60,-0.428,18.64,14.414,1.2025,0.6701,0.389,LSTM,2021,2,0.0
91-180,90,-2.642,24.61,17.688,1.4121,0.8002,-0.029,LSTM,2021,2,0.0
181-270,90,-2.515,33.708,28.251,1.5237,1.0771,-0.206,LSTM,2021,2,0.0
271-365,95,-6.789,22.402,18.916,2.8921,2.3587,0.107,LSTM,2021,2,0.0
1-7,7,-100.235,18.639,16.401,10.2434,1.5005,-0.336,DLinear,2021,4,0.42857142857142855
8-30,23,-17.01,39.296,33.832,4.5379,2.4973,0.014,DLinear,2021,4,0.8260869565217391
31-90,60,-10.101,43.345,33.506,3.6474,2.0204,0.183,DLinear,2021,4,0.8333333333333334
91-180,90,0.277,60.579,46.449,0.7807,0.6743,0.608,DLinear,2021,4,1.0
181-270,90,0.527,56.888,45.696,0.7341,0.676,0.729,DLinear,2021,4,0.9777777777777777
271-365,95,-0.956,45.926,36.727,1.687,1.4385,0.462,DLinear,2021,4,0.9578947368421052
1-7,7,-10.561,6.299,4.916,3.0705,0.4498,-0.239,LSTM,2021,4,0.42857142857142855
8-30,23,-3.778,20.239,17.586,2.3588,1.2981,0.351,LSTM,2021,4,0.8260869565217391
31-90,60,-0.532,16.103,11.796,1.2841,0.7113,0.29,LSTM,2021,4,0.8333333333333334
91-180,90,-0.296,81.096,52.117,0.876,0.7565,0.292,LSTM,2021,4,1.0
181-270,90,0.219,73.09,48.449,0.7784,0.7167,0.53,LSTM,2021,4,0.9777777777777777
271-365,95,-0.394,38.773,27.333,1.2556,1.0706,0.316,LSTM,2021,4,0.9578947368421052
1-7,7,-5.095,24.253,22.486,1.9749,1.2068,0.79,DLinear,2021,9,0.14285714285714285
8-30,23,-17.956,57.709,53.061,3.414,3.0913,-0.189,DLinear,2021,9,0.5217391304347826
31-90,60,-21.523,43.01,33.883,1.7786,3.0738,-0.245,DLinear,2021,9,0.5833333333333334
91-180,90,0.215,59.581,43.066,0.6724,0.5243,0.501,DLinear,2021,9,0.9444444444444444
181-270,90,-0.391,41.879,32.182,1.1575,0.6332,0.285,DLinear,2021,9,0.5222222222222223
271-365,95,-5.996,34.258,25.937,1.5409,1.6893,-0.085,DLinear,2021,9,0.0
1-7,7,-2.29,17.82,14.115,1.2396,0.7575,0.006,LSTM,2021,9,0.14285714285714285
8-30,23,-4.134,30.032,24.218,1.5583,1.411,-0.425,LSTM,2021,9,0.5217391304347826
