Datetime,RF_tuned,XGB_tuned,LightGBM_tuned,SARIMAX,Ensemble_4model_tuned,anchor_year
2018-12-17,48.560598433106165,46.60812759399414,39.38383269230241,75.36055559392074,52.478278578330865,2018
2018-12-18,63.44576466585168,74.50377655029297,88.66948632834696,96.95684499937398,80.89396813596639,2018
2018-12-19,54.484856034418776,42.74376678466797,47.06259398212714,81.5209569199962,56.45304343030252,2018
2018-12-20,55.48512390063276,40.723331451416016,52.892680680358524,87.35672241648736,59.11446461222366,2018
2018-12-21,65.21342399900985,69.32181549072266,95.4768524006855,101.56298515918249,82.89376926240013,2018
2018-12-22,53.86694639590865,50.94420623779297,49.7437206038768,83.00437898047025,59.38981305451217,2018
2018-12-23,51.74438172866953,54.10322570800781,71.60438316901067,94.27742162843633,67.93235305853109,2018
2018-12-24,55.563911438595525,51.87553024291992,77.96911863159374,75.29187406232539,65.17510859385865,2018
2018-12-25,52.23433985304189,42.57204818725586,48.220811928657284,67.38993272164902,52.60428317265101,2018
2018-12-26,51.98016654498072,47.413150787353516,55.998787849653745,67.69708575854672,55.77229773513368,2018
2018-12-27,52.02775656247718,49.89451217651367,53.57778359052854,57.37620754890639,53.21906496960645,2018
2018-12-28,47.88000046483861,48.889434814453125,51.559798631630024,61.73826187999287,52.51687394772866,2018
2018-12-29,47.598523407564784,48.97332763671875,52.65939586499768,84.86416120583561,58.5238520287792,2018
2018-12-30,43.49021879058481,47.080810546875,48.052469862811876,74.09068637636456,53.178546394159056,2018
2018-12-31,44.08184460051905,45.27547836303711,46.43818521349298,72.27632713416614,52.01795882780382,2018
2019-01-01,40.75234362983862,41.960140228271484,47.34471132676166,70.53016180855857,50.14683924835759,2018
2019-01-02,39.979542137247066,42.87729263305664,55.74300085418474,56.776597088171954,48.8441081781651,2018
2019-01-03,38.53634168170575,34.56464767456055,44.419385547616855,49.78167595336051,41.82551271431092,2018
2019-01-04,36.02330385938161,30.810665130615234,39.33623660192988,51.92356367031342,39.52344231556004,2018
2019-01-05,36.4338599819821,37.14336013793945,35.788761408052764,57.70910460707601,41.76877153376258,2018
2019-01-06,35.25120579034335,38.79520034790039,33.35917873374964,67.52369560482275,43.73232011920403,2018
2019-01-07,34.82455237948371,41.208831787109375,38.75719256624974,78.63155300917886,48.355532435505424,2018
2019-01-08,31.88288426883751,39.36198425292969,38.4324018929146,68.07194399314491,44.43730360195668,2018
2019-01-09,33.26004436046928,40.24101257324219,40.80429271135428,51.034314259564376,41.33491597615753,2018
2019-01-10,19.22690268504614,26.73541831970215,24.032968823177832,27.538642645236873,24.383483118290748,2018
2019-01-11,17.890648806958463,24.39948272705078,20.872883533798372,39.56117738876162,25.68104811414231,2018
2019-01-12,21.447140874284916,25.852542877197266,21.726614412741196,58.2049033319838,31.807800374051794,2018
2019-01-13,27.82511992009471,33.45132064819336,28.17228688106871,63.58300196981808,38.25793235479372,2018
2019-01-14,20.38186531998866,18.444856643676758,20.519574475082837,56.4900470936911,28.95908588310984,2018
2019-01-15,16.99912706850521,15.134516716003418,18.2048680710971,47.31924577134452,24.414439406737564,2018
2019-01-16,20.217785549335314,20.873353958129883,20.007563851039926,48.042591135064576,27.285323623392426,2018
2019-01-17,17.21120895277635,21.54275894165039,16.99119670247094,40.88822952123744,24.158348529533782,2018
2019-01-18,19.92623970331714,16.363887786865234,19.84529242204328,44.58565328849592,25.180268300180394,2018
2019-01-19,16.761923896812473,12.927756309509277,18.31623777402813,31.57462458297221,19.89513564083052,2018
2019-01-20,15.655936922675137,19.68981170654297,17.828219529284556,29.396798900988518,20.642691764872794,2018
2019-01-21,16.236807310506304,21.053695678710938,18.090095187137404,37.62157468711364,23.250543215867076,2018
2019-01-22,16.6602834441963,19.838621139526367,16.58183811098228,42.56911583197933,23.912464631671067,2018
2019-01-23,15.628658411832633,20.452537536621094,16.17625626223425,37.91790869513665,22.543840226456155,2018
